Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,372.00,374.72,365.00,371.83,1472100
2022-04-06 20:00:00-04:00,369.78,380.40,368.76,379.23,1265400
2022-04-07 20:00:00-04:00,376.54,378.22,369.08,369.46,1268100
2022-04-10 20:00:00-04:00,365.56,372.41,361.11,368.74,1269000
2022-04-11 20:00:00-04:00,373.26,390.76,372.46,376.16,1787300
2022-04-12 20:00:00-04:00,376.11,398.54,375.79,395.03,2184900
2022-04-13 20:00:00-04:00,394.86,398.00,390.17,390.78,1505200
2022-04-17 20:00:00-04:00,389.35,393.64,382.42,387.56,847100
2022-04-18 20:00:00-04:00,395.88,408.49,394.47,404.66,1951400
2022-04-19 20:00:00-04:00,410.32,410.70,384.87,385.40,2287300
2022-04-20 20:00:00-04:00,388.49,392.00,375.01,377.25,1747700
2022-04-21 20:00:00-04:00,373.73,376.51,362.66,363.66,1640000
2022-04-24 20:00:00-04:00,361.60,368.47,356.51,368.09,1350800
2022-04-25 20:00:00-04:00,364.24,366.79,352.44,352.53,1336600
2022-04-26 20:00:00-04:00,352.54,361.98,350.05,354.02,1124300
2022-04-27 20:00:00-04:00,359.35,367.32,352.09,362.43,1004900
2022-04-28 20:00:00-04:00,364.02,371.36,353.93,354.63,996900
2022-05-01 20:00:00-04:00,354.00,361.44,349.63,360.84,794100
2022-05-02 20:00:00-04:00,360.02,361.45,353.12,355.70,738800
2022-05-03 20:00:00-04:00,352.78,365.32,345.17,364.67,962000
2022-05-04 20:00:00-04:00,359.97,360.94,338.33,343.60,1181000
2022-05-05 20:00:00-04:00,336.26,336.75,309.53,317.05,2650800
2022-05-08 20:00:00-04:00,308.79,313.00,291.00,292.68,2201300
2022-05-09 20:00:00-04:00,301.42,307.84,288.72,302.11,1402100
2022-05-10 20:00:00-04:00,302.11,306.54,290.78,291.30,1456500
2022-05-11 20:00:00-04:00,285.00,302.79,281.55,294.00,1480300
2022-05-12 20:00:00-04:00,303.13,312.58,301.36,309.29,1076700
2022-05-15 20:00:00-04:00,302.11,308.66,300.53,304.15,758600
2022-05-16 20:00:00-04:00,314.88,316.49,300.77,305.48,1223600
2022-05-17 20:00:00-04:00,296.00,296.01,268.36,272.52,2832100
2022-05-18 20:00:00-04:00,267.70,278.71,264.24,271.22,1971100
2022-05-19 20:00:00-04:00,279.89,280.86,263.20,274.04,1846700
2022-05-22 20:00:00-04:00,269.92,273.36,265.53,272.84,1312100
2022-05-23 20:00:00-04:00,266.40,267.17,253.07,257.51,1861500
2022-05-24 20:00:00-04:00,254.88,264.60,251.51,260.66,2576400
2022-05-25 20:00:00-04:00,276.43,289.47,275.49,287.48,2340000
2022-05-26 20:00:00-04:00,288.82,297.56,288.82,293.65,1852600
2022-05-30 20:00:00-04:00,296.36,298.19,289.03,292.69,2958000
2022-05-31 20:00:00-04:00,297.85,299.70,286.87,289.96,2197000
2022-06-01 20:00:00-04:00,290.55,303.24,286.70,302.58,4300700
2022-06-02 20:00:00-04:00,303.45,305.81,293.57,300.80,3997300
2022-06-05 20:00:00-04:00,305.00,308.42,296.60,301.62,1850900
2022-06-06 20:00:00-04:00,295.00,307.86,294.68,306.19,1285500
2022-06-07 20:00:00-04:00,306.55,312.90,304.32,307.77,954200
2022-06-08 20:00:00-04:00,303.81,309.44,302.13,302.30,867000
2022-06-09 20:00:00-04:00,294.58,297.50,290.07,291.60,1184500
2022-06-12 20:00:00-04:00,280.42,282.37,273.34,278.58,1750200
2022-06-13 20:00:00-04:00,280.44,284.62,276.58,280.50,931000
2022-06-14 20:00:00-04:00,283.21,290.12,279.75,285.72,955300
2022-06-15 20:00:00-04:00,278.37,278.37,267.78,271.34,1269900
2022-06-16 20:00:00-04:00,271.27,281.23,271.15,278.13,1383900
2022-06-20 20:00:00-04:00,282.89,284.50,275.89,276.45,1128700
2022-06-21 20:00:00-04:00,274.12,280.59,271.35,277.88,979300
2022-06-22 20:00:00-04:00,282.14,288.41,278.00,286.33,972000
2022-06-23 20:00:00-04:00,289.92,295.71,288.47,293.36,1443300
2022-06-26 20:00:00-04:00,295.12,297.06,284.23,287.48,1010600
2022-06-27 20:00:00-04:00,288.37,294.06,278.16,278.56,939700
2022-06-28 20:00:00-04:00,280.46,286.46,276.53,282.98,819600
2022-06-29 20:00:00-04:00,277.49,279.83,271.00,272.61,1248200
2022-06-30 20:00:00-04:00,269.14,271.08,261.03,263.38,1867900
2022-07-04 20:00:00-04:00,263.17,283.84,258.79,283.62,2415000
2022-07-05 20:00:00-04:00,284.32,288.90,275.76,280.38,956600
2022-07-06 20:00:00-04:00,280.33,291.87,278.23,290.72,931500
