Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,45.64,46.51,45.52,46.46,5127500
2018-07-02 20:00:00-04:00,46.48,46.94,46.09,46.44,2470400
2018-07-04 20:00:00-04:00,46.67,46.92,46.48,46.75,4440900
2018-07-05 20:00:00-04:00,46.93,47.81,46.87,47.54,5796700
2018-07-08 20:00:00-04:00,47.69,48.24,47.40,48.01,4843600
2018-07-09 20:00:00-04:00,47.90,47.96,47.30,47.78,3484000
2018-07-10 20:00:00-04:00,47.36,47.47,46.54,47.35,5788300
2018-07-11 20:00:00-04:00,47.89,47.97,46.75,47.57,4102600
2018-07-12 20:00:00-04:00,47.48,48.00,47.44,47.86,3392100
2018-07-15 20:00:00-04:00,48.13,48.22,47.55,47.85,3713800
2018-07-16 20:00:00-04:00,47.70,48.43,47.70,47.97,3942600
2018-07-17 20:00:00-04:00,48.73,49.79,48.45,48.59,7258400
2018-07-18 20:00:00-04:00,48.70,48.77,48.15,48.48,4013500
2018-07-19 20:00:00-04:00,48.30,48.56,47.99,48.16,4674400
2018-07-22 20:00:00-04:00,48.01,48.42,47.58,48.28,3846100
2018-07-23 20:00:00-04:00,48.44,48.45,46.73,46.79,5782100
2018-07-24 20:00:00-04:00,46.87,47.43,46.57,47.14,5445700
2018-07-25 20:00:00-04:00,46.96,51.27,46.90,51.11,11997000
2018-07-26 20:00:00-04:00,51.01,52.67,50.94,52.63,8891400
2018-07-29 20:00:00-04:00,52.36,52.67,51.85,52.19,5492200
2018-07-30 20:00:00-04:00,52.41,53.48,52.38,52.43,5138600
2018-07-31 20:00:00-04:00,52.39,52.59,50.88,50.95,4292400
2018-08-01 20:00:00-04:00,50.67,51.17,50.13,51.10,3507500
2018-08-02 20:00:00-04:00,51.23,51.82,51.20,51.75,3826900
2018-08-05 20:00:00-04:00,51.57,52.21,51.47,52.09,2989000
2018-08-06 20:00:00-04:00,52.42,52.86,52.14,52.36,2557900
2018-08-07 20:00:00-04:00,52.98,53.48,52.83,53.02,4003800
2018-08-08 20:00:00-04:00,53.06,53.44,53.01,53.18,2763500
2018-08-09 20:00:00-04:00,52.99,53.27,52.55,53.18,3218700
2018-08-12 20:00:00-04:00,53.23,53.52,52.75,53.04,2972900
2018-08-13 20:00:00-04:00,53.13,53.94,53.12,53.27,3298100
2018-08-14 20:00:00-04:00,53.22,54.52,53.10,54.38,6499100
2018-08-15 20:00:00-04:00,54.58,54.95,53.48,53.65,5345000
2018-08-16 20:00:00-04:00,53.72,53.93,53.23,53.80,3166000
2018-08-19 20:00:00-04:00,54.04,55.93,53.99,55.56,6106000
2018-08-20 20:00:00-04:00,55.56,56.22,55.09,55.13,4150800
2018-08-21 20:00:00-04:00,54.96,55.13,54.47,54.78,2176900
2018-08-22 20:00:00-04:00,54.81,55.43,54.55,55.14,3031900
2018-08-23 20:00:00-04:00,54.67,55.19,54.16,55.12,2702000
2018-08-26 20:00:00-04:00,55.28,55.47,54.86,55.05,2706700
2018-08-27 20:00:00-04:00,55.16,55.61,54.95,55.43,4382000
2018-08-28 20:00:00-04:00,55.43,55.64,54.98,55.33,3136500
2018-08-29 20:00:00-04:00,55.18,55.50,54.72,54.97,3083500
2018-08-30 20:00:00-04:00,55.00,55.81,54.96,55.40,3292300
2018-09-03 20:00:00-04:00,55.52,56.53,55.25,56.03,5588200
2018-09-04 20:00:00-04:00,56.17,56.70,55.40,55.49,4870600
2018-09-05 20:00:00-04:00,55.49,55.81,54.82,55.16,2512500
2018-09-06 20:00:00-04:00,55.53,56.68,55.32,55.94,3836500
2018-09-09 20:00:00-04:00,55.94,56.69,55.70,56.50,3674800
2018-09-10 20:00:00-04:00,56.31,57.16,56.29,56.92,3074100
2018-09-11 20:00:00-04:00,56.89,56.94,55.36,55.47,5364300
2018-09-12 20:00:00-04:00,55.63,56.79,55.60,56.36,3968500
2018-09-13 20:00:00-04:00,56.23,56.54,56.06,56.42,2936400
