Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,62.42,62.72,60.08,61.11,9066100
2018-07-02 20:00:00-04:00,60.91,61.76,60.54,60.84,2532700
2018-07-04 20:00:00-04:00,61.22,62.07,60.72,61.93,3638800
2018-07-05 20:00:00-04:00,61.88,62.13,61.49,62.05,3287100
2018-07-08 20:00:00-04:00,63.24,63.53,62.20,62.87,4075100
2018-07-09 20:00:00-04:00,62.98,63.25,62.04,63.14,3487200
2018-07-10 20:00:00-04:00,61.93,62.64,61.41,61.99,4176600
2018-07-11 20:00:00-04:00,62.38,62.90,62.17,62.75,2948300
2018-07-12 20:00:00-04:00,62.80,63.26,62.43,63.22,1971500
2018-07-15 20:00:00-04:00,63.14,63.84,62.90,63.52,3475400
2018-07-16 20:00:00-04:00,63.24,64.10,63.01,63.87,2679800
2018-07-17 20:00:00-04:00,63.81,64.17,63.20,64.03,2717800
2018-07-18 20:00:00-04:00,63.88,64.28,63.39,63.50,4403700
2018-07-19 20:00:00-04:00,63.67,63.68,63.08,63.32,3114200
2018-07-22 20:00:00-04:00,63.22,63.73,62.49,63.33,4004500
2018-07-23 20:00:00-04:00,64.06,65.25,63.38,63.88,3925100
2018-07-24 20:00:00-04:00,64.40,64.93,64.14,64.41,3544600
2018-07-25 20:00:00-04:00,62.17,62.59,60.23,61.14,7859200
2018-07-26 20:00:00-04:00,60.86,62.09,60.45,61.33,4228700
2018-07-29 20:00:00-04:00,61.30,61.31,60.11,60.25,3161800
2018-07-30 20:00:00-04:00,60.43,61.94,60.43,61.65,3767900
2018-07-31 20:00:00-04:00,61.58,61.82,58.85,59.17,5459400
2018-08-01 20:00:00-04:00,58.08,58.86,57.69,58.68,7001300
2018-08-02 20:00:00-04:00,58.74,59.11,58.38,58.86,4341400
2018-08-05 20:00:00-04:00,58.86,59.53,58.54,59.34,3015900
2018-08-06 20:00:00-04:00,59.66,59.78,59.13,59.19,2621000
2018-08-07 20:00:00-04:00,59.29,59.71,58.74,58.87,2152900
2018-08-08 20:00:00-04:00,59.04,59.47,58.71,58.75,2265000
2018-08-09 20:00:00-04:00,58.52,58.71,57.76,58.18,4125600
2018-08-12 20:00:00-04:00,58.02,58.31,57.48,57.53,3357100
2018-08-13 20:00:00-04:00,57.45,57.57,56.65,57.21,5588900
2018-08-14 20:00:00-04:00,56.70,56.70,54.89,55.27,5858500
2018-08-15 20:00:00-04:00,55.74,56.58,55.58,55.83,3369100
2018-08-16 20:00:00-04:00,55.84,56.55,55.60,56.47,2662600
2018-08-19 20:00:00-04:00,56.81,57.44,56.14,56.28,3151700
2018-08-20 20:00:00-04:00,56.41,56.94,56.19,56.82,4662100
2018-08-21 20:00:00-04:00,56.76,56.77,56.22,56.28,1971600
2018-08-22 20:00:00-04:00,56.32,56.67,56.01,56.17,2062200
2018-08-23 20:00:00-04:00,56.27,56.49,56.15,56.20,1571300
2018-08-26 20:00:00-04:00,56.62,57.90,56.59,57.21,3265800
2018-08-27 20:00:00-04:00,57.45,57.45,56.55,56.76,2949700
2018-08-28 20:00:00-04:00,56.93,57.30,56.47,56.78,4214600
2018-08-29 20:00:00-04:00,56.81,56.90,56.25,56.34,4605100
2018-08-30 20:00:00-04:00,56.23,56.49,55.79,56.10,3416900
2018-09-03 20:00:00-04:00,56.00,56.10,55.13,55.31,3337700
2018-09-04 20:00:00-04:00,55.02,55.06,54.06,54.11,8560000
2018-09-05 20:00:00-04:00,53.81,53.87,51.94,52.37,10044900
2018-09-06 20:00:00-04:00,51.75,52.49,51.23,51.98,7472300
2018-09-09 20:00:00-04:00,52.10,52.69,52.05,52.48,5747700
2018-09-10 20:00:00-04:00,51.68,51.96,50.68,51.88,6141900
2018-09-11 20:00:00-04:00,51.38,52.70,51.29,52.51,6287900
2018-09-12 20:00:00-04:00,52.94,53.46,52.37,52.52,3753500
2018-09-13 20:00:00-04:00,53.39,53.76,52.26,52.66,4549300
2018-09-16 20:00:00-04:00,52.59,52.98,52.38,52.50,3887500
2018-09-17 20:00:00-04:00,52.64,52.78,51.95,52.44,3881600
2018-09-18 20:00:00-04:00,52.73,53.08,52.59,52.91,5247600
2018-09-19 20:00:00-04:00,53.26,53.51,52.84,52.93,5494300
2018-09-20 20:00:00-04:00,53.26,53.65,52.86,52.91,4294200
2018-09-23 20:00:00-04:00,52.48,52.62,51.95,52.49,3784200
2018-09-24 20:00:00-04:00,52.52,52.88,52.34,52.66,3237800
2018-09-25 20:00:00-04:00,52.61,52.87,51.86,51.93,3083000
2018-09-26 20:00:00-04:00,51.61,52.11,51.25,51.88,2676300
2018-09-27 20:00:00-04:00,51.76,52.01,51.26,51.50,5002000
2018-09-30 20:00:00-04:00,51.24,52.20,50.90,51.87,6229400
2018-10-01 20:00:00-04:00,51.58,52.07,51.32,51.39,3341600
2018-10-02 20:00:00-04:00,52.25,53.36,52.13,52.80,6531100
2018-10-03 20:00:00-04:00,52.55,53.01,51.35,51.52,3771800
2018-10-04 20:00:00-04:00,51.37,51.90,50.14,50.96,4778100
2018-10-07 20:00:00-04:00,50.31,51.28,50.01,50.62,3510700
2018-10-08 20:00:00-04:00,50.55,50.72,50.14,50.59,4086900
2018-10-09 20:00:00-04:00,50.49,50.57,48.80,48.90,6780700
2018-10-10 20:00:00-04:00,48.60,49.15,47.79,48.17,7758500
2018-10-11 20:00:00-04:00,49.18,49.54,48.30,48.74,5193800
2018-10-14 20:00:00-04:00,48.41,48.87,48.25,48.46,4002800
2018-10-15 20:00:00-04:00,49.48,49.87,48.69,49.72,4428700
2018-10-16 20:00:00-04:00,49.65,50.43,49.26,49.79,2941400
2018-10-17 20:00:00-04:00,49.74,50.07,48.55,48.65,5580700
2018-10-18 20:00:00-04:00,48.43,49.09,48.01,48.32,7139200
2018-10-21 20:00:00-04:00,48.67,48.73,47.57,47.65,4811900
2018-10-22 20:00:00-04:00,46.49,46.87,45.67,46.33,5928600
2018-10-23 20:00:00-04:00,46.44,46.63,45.04,45.14,7276400
2018-10-24 20:00:00-04:00,45.27,47.35,45.23,47.10,9833200
2018-10-25 20:00:00-04:00,46.46,46.59,44.90,45.48,4746000
2018-10-28 20:00:00-04:00,45.93,45.97,43.41,44.04,7298900
2018-10-29 20:00:00-04:00,43.65,44.29,42.78,44.18,6268800
2018-10-30 20:00:00-04:00,45.07,45.52,43.73,44.30,5829700
2018-10-31 20:00:00-04:00,44.53,49.87,44.39,49.53,12596800
2018-11-01 20:00:00-04:00,49.98,50.25,48.17,48.83,7360000
2018-11-04 19:00:00-05:00,48.50,48.83,47.44,47.85,4870900
2018-11-05 19:00:00-05:00,47.68,48.22,47.12,48.10,4833000
2018-11-06 19:00:00-05:00,48.53,49.38,47.98,49.11,5417900
2018-11-07 19:00:00-05:00,46.65,47.20,45.84,46.63,8911400
2018-11-08 19:00:00-05:00,46.49,46.72,45.02,45.22,4708000
