Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,66.77,66.92,65.71,65.89,2360800
2018-07-02 20:00:00-04:00,66.45,66.72,65.33,65.40,878800
2018-07-04 20:00:00-04:00,65.68,66.27,65.52,66.06,1430400
2018-07-05 20:00:00-04:00,65.82,66.77,65.37,66.51,1967600
2018-07-08 20:00:00-04:00,66.94,67.87,66.53,67.71,2444900
2018-07-09 20:00:00-04:00,67.95,68.52,67.02,67.51,1981600
2018-07-10 20:00:00-04:00,66.78,66.78,64.58,65.36,3300600
2018-07-11 20:00:00-04:00,65.86,65.94,64.73,65.38,2094600
2018-07-12 20:00:00-04:00,65.47,66.09,65.19,65.78,1694500
2018-07-15 20:00:00-04:00,65.46,65.96,64.83,65.07,2232100
2018-07-16 20:00:00-04:00,65.12,66.40,65.12,66.23,1709400
2018-07-17 20:00:00-04:00,66.09,66.92,65.96,66.54,1514100
2018-07-18 20:00:00-04:00,66.48,66.80,66.08,66.51,1378700
2018-07-19 20:00:00-04:00,66.25,66.54,65.88,66.12,1283300
2018-07-22 20:00:00-04:00,66.42,66.48,65.58,65.91,1460700
2018-07-23 20:00:00-04:00,65.90,67.02,65.90,66.39,2452900
2018-07-24 20:00:00-04:00,66.32,67.15,65.90,67.03,1408400
2018-07-25 20:00:00-04:00,67.01,68.12,67.01,67.97,1642000
2018-07-26 20:00:00-04:00,68.12,68.16,66.76,67.08,1098000
2018-07-29 20:00:00-04:00,67.09,67.54,66.78,66.84,1282500
2018-07-30 20:00:00-04:00,67.15,67.98,66.89,67.87,1872400
2018-07-31 20:00:00-04:00,67.86,68.31,67.41,67.46,1511000
2018-08-01 20:00:00-04:00,66.62,66.80,65.90,66.45,1874000
2018-08-02 20:00:00-04:00,67.76,69.10,66.56,68.71,2851100
2018-08-05 20:00:00-04:00,68.66,69.61,68.31,69.23,1713300
2018-08-06 20:00:00-04:00,69.67,70.07,69.11,69.47,1179400
2018-08-07 20:00:00-04:00,69.23,69.49,68.54,69.27,1469000
2018-08-08 20:00:00-04:00,69.43,70.12,69.36,69.46,1119300
2018-08-09 20:00:00-04:00,68.95,69.23,68.56,68.96,1766500
2018-08-12 20:00:00-04:00,69.34,70.05,68.33,68.36,1997200
2018-08-13 20:00:00-04:00,68.86,69.75,68.72,69.34,1319800
2018-08-14 20:00:00-04:00,68.43,68.55,66.65,67.86,2469600
2018-08-15 20:00:00-04:00,68.34,69.02,68.31,68.58,1642300
2018-08-16 20:00:00-04:00,68.54,69.45,68.38,69.29,1769000
2018-08-19 20:00:00-04:00,69.75,70.42,69.50,69.83,1405000
2018-08-20 20:00:00-04:00,69.97,71.03,69.97,70.42,1486000
2018-08-21 20:00:00-04:00,70.91,71.15,70.13,70.31,1151700
2018-08-22 20:00:00-04:00,70.39,70.39,69.41,69.86,1132100
2018-08-23 20:00:00-04:00,70.34,70.70,69.69,70.53,1091700
2018-08-26 20:00:00-04:00,70.63,71.45,70.26,71.03,1693800
2018-08-27 20:00:00-04:00,71.10,71.40,69.88,70.43,1875100
2018-08-28 20:00:00-04:00,70.58,70.67,69.80,70.44,1305700
2018-08-29 20:00:00-04:00,70.15,70.16,68.95,69.63,1983600
2018-08-30 20:00:00-04:00,69.45,69.70,68.82,69.09,1651800
2018-09-03 20:00:00-04:00,69.20,69.38,68.33,68.62,2010900
2018-09-04 20:00:00-04:00,68.30,69.07,68.02,69.02,2652800
2018-09-05 20:00:00-04:00,69.23,70.00,68.83,69.38,2136900
2018-09-06 20:00:00-04:00,68.41,68.44,66.48,67.15,2708800
2018-09-09 20:00:00-04:00,67.74,68.42,65.93,66.06,3232700
2018-09-10 20:00:00-04:00,65.59,66.24,64.84,65.85,2638600
2018-09-11 20:00:00-04:00,65.76,66.40,65.54,65.58,3217300
2018-09-12 20:00:00-04:00,66.16,66.44,64.86,64.88,2654500
2018-09-13 20:00:00-04:00,64.92,65.56,64.19,65.09,3381600
2018-09-16 20:00:00-04:00,64.32,64.92,63.72,63.95,3579400
2018-09-17 20:00:00-04:00,63.76,64.04,62.26,63.11,3874500
2018-09-18 20:00:00-04:00,61.61,63.62,61.26,63.49,4317900
2018-09-19 20:00:00-04:00,64.31,65.12,64.13,64.59,3520800
2018-09-20 20:00:00-04:00,64.90,65.30,64.75,65.03,4733800
2018-09-23 20:00:00-04:00,65.14,65.20,63.87,64.50,1752900
2018-09-24 20:00:00-04:00,64.44,64.95,64.15,64.78,2078400
2018-09-25 20:00:00-04:00,64.56,65.18,64.28,64.46,2375400
2018-09-26 20:00:00-04:00,64.18,64.53,63.42,63.53,1900700
2018-09-27 20:00:00-04:00,63.21,63.57,62.39,63.36,2441100
2018-09-30 20:00:00-04:00,63.63,64.90,63.63,64.31,2411900
2018-10-01 20:00:00-04:00,64.54,65.72,64.46,65.35,2443000
2018-10-02 20:00:00-04:00,65.50,65.90,64.64,65.38,2321600
2018-10-03 20:00:00-04:00,65.50,65.50,63.75,64.23,2641600
2018-10-04 20:00:00-04:00,64.25,64.66,63.78,63.97,2565500
2018-10-07 20:00:00-04:00,63.60,64.75,63.39,64.42,1929700
2018-10-08 20:00:00-04:00,64.13,64.18,61.51,61.63,3310000
2018-10-09 20:00:00-04:00,62.11,62.11,60.26,60.34,5274500
2018-10-10 20:00:00-04:00,60.30,61.60,59.84,59.98,3704400
2018-10-11 20:00:00-04:00,60.64,61.34,59.98,60.27,3335100
2018-10-14 20:00:00-04:00,60.28,60.80,59.91,59.92,2051000
2018-10-15 20:00:00-04:00,60.19,60.49,59.98,60.35,2636900
2018-10-16 20:00:00-04:00,60.35,60.78,59.27,59.48,2408400
2018-10-17 20:00:00-04:00,59.37,60.17,58.23,58.59,3205700
2018-10-18 20:00:00-04:00,59.00,59.34,57.41,57.85,3203000
2018-10-21 20:00:00-04:00,58.27,58.41,56.40,56.83,3513700
2018-10-22 20:00:00-04:00,55.68,56.08,54.96,55.63,3388000
2018-10-23 20:00:00-04:00,55.89,56.03,53.41,53.51,3708100
2018-10-24 20:00:00-04:00,54.17,55.68,54.13,55.14,3399100
2018-10-25 20:00:00-04:00,54.47,55.95,54.09,55.15,3358800
2018-10-28 20:00:00-04:00,56.08,56.51,54.51,54.67,3172900
2018-10-29 20:00:00-04:00,55.06,55.63,52.91,54.90,5161400
2018-10-30 20:00:00-04:00,55.65,56.35,54.81,55.18,4470200
2018-10-31 20:00:00-04:00,56.37,57.44,55.70,57.19,3317500
2018-11-01 20:00:00-04:00,57.97,58.28,57.02,57.55,3815800
2018-11-04 19:00:00-05:00,57.82,58.08,57.26,57.79,1882300
2018-11-05 19:00:00-05:00,58.24,59.06,58.11,58.77,2539400
2018-11-06 19:00:00-05:00,59.08,59.92,58.43,59.86,3615800
2018-11-07 19:00:00-05:00,59.25,59.70,58.66,59.67,3906500
2018-11-08 19:00:00-05:00,58.89,59.65,58.66,59.38,3141600
2018-11-11 19:00:00-05:00,59.44,59.86,58.71,58.87,3014800
2018-11-12 19:00:00-05:00,58.78,59.37,56.73,56.91,4514000
2018-11-13 19:00:00-05:00,56.98,58.02,56.23,56.79,4797300
2018-11-14 19:00:00-05:00,56.79,58.13,56.69,57.76,3332700
2018-11-15 19:00:00-05:00,57.60,59.53,57.40,58.99,3096400
2018-11-18 19:00:00-05:00,58.49,58.66,57.21,57.35,2780300
2018-11-19 19:00:00-05:00,57.18,57.65,56.29,56.50,3156200
2018-11-20 19:00:00-05:00,56.92,57.91,56.71,57.10,2158000
2018-11-22 19:00:00-05:00,56.26,56.75,56.01,56.15,1079200
2018-11-25 19:00:00-05:00,56.64,57.18,56.44,56.93,1946300
2018-11-26 19:00:00-05:00,56.45,56.97,55.77,56.36,2359700
2018-11-27 19:00:00-05:00,56.56,56.92,55.34,56.88,2074700
2018-11-28 19:00:00-05:00,57.14,58.02,56.82,57.50,2503700
2018-11-29 19:00:00-05:00,57.01,57.81,56.57,57.68,3189400
2018-12-02 19:00:00-05:00,59.33,59.81,57.49,58.30,3184800
2018-12-03 19:00:00-05:00,58.15,58.42,55.20,55.98,4164800
2018-12-05 19:00:00-05:00,54.88,54.93,53.39,54.54,3870600
2018-12-06 19:00:00-05:00,55.19,56.25,52.62,52.75,3944400
2018-12-09 19:00:00-05:00,52.60,53.11,51.52,52.79,3363700
2018-12-10 19:00:00-05:00,53.87,54.24,52.57,53.03,2536000
2018-12-11 19:00:00-05:00,54.35,54.49,53.29,53.42,2577700
