Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,191.69,195.73,190.55,195.64,13961600
2018-07-02 20:00:00-04:00,192.86,193.70,190.84,191.05,13489500
2018-07-04 20:00:00-04:00,193.04,196.92,192.34,196.72,19684200
2018-07-05 20:00:00-04:00,196.72,201.87,195.98,201.46,19740100
2018-07-08 20:00:00-04:00,203.15,204.01,200.36,202.96,18149400
2018-07-09 20:00:00-04:00,202.72,203.13,200.50,201.77,13190100
2018-07-10 20:00:00-04:00,200.46,202.72,199.99,200.78,12927400
2018-07-11 20:00:00-04:00,201.66,205.28,201.42,205.12,15454700
2018-07-12 20:00:00-04:00,206.00,206.62,204.65,205.52,11486800
2018-07-15 20:00:00-04:00,205.69,206.90,205.04,205.43,11078200
2018-07-16 20:00:00-04:00,203.12,208.63,203.06,208.16,15349900
2018-07-17 20:00:00-04:00,207.99,209.15,206.63,207.54,15334900
2018-07-18 20:00:00-04:00,206.95,208.16,205.95,206.28,11350400
2018-07-19 20:00:00-04:00,207.03,209.66,206.68,208.11,16163900
2018-07-22 20:00:00-04:00,208.75,209.78,206.98,209.07,16732000
2018-07-23 20:00:00-04:00,213.24,214.32,210.75,212.80,28468700
2018-07-24 20:00:00-04:00,213.84,216.72,212.40,215.61,58954200
2018-07-25 20:00:00-04:00,173.37,178.56,172.24,174.73,169803700
2018-07-26 20:00:00-04:00,178.30,178.36,171.49,173.37,60073700
2018-07-29 20:00:00-04:00,173.77,173.77,165.11,169.57,65280800
2018-07-30 20:00:00-04:00,169.18,172.72,168.52,171.08,40356500
2018-07-31 20:00:00-04:00,172.42,173.56,169.41,170.16,34042100
2018-08-01 20:00:00-04:00,169.19,175.25,168.79,174.83,32400000
2018-08-02 20:00:00-04:00,176.14,177.29,174.62,176.23,24763400
2018-08-05 20:00:00-04:00,177.41,184.17,176.83,184.07,49716200
2018-08-06 20:00:00-04:00,184.88,186.66,182.12,182.21,33398600
2018-08-07 20:00:00-04:00,183.14,185.22,182.16,183.57,22205200
2018-08-08 20:00:00-04:00,184.23,184.95,180.89,181.50,19732100
2018-08-09 20:00:00-04:00,180.46,180.51,177.86,178.69,21500400
2018-08-12 20:00:00-04:00,178.53,181.02,177.34,178.48,17423300
2018-08-13 20:00:00-04:00,179.14,180.41,177.07,179.53,19102000
2018-08-14 20:00:00-04:00,177.78,179.30,173.26,177.97,33020200
2018-08-15 20:00:00-04:00,178.85,178.93,172.50,173.18,31351800
2018-08-16 20:00:00-04:00,172.98,174.69,170.54,172.29,24893200
2018-08-19 20:00:00-04:00,172.52,173.05,169.42,171.00,21518000
2018-08-20 20:00:00-04:00,171.31,172.65,169.90,171.12,19578500
2018-08-21 20:00:00-04:00,170.71,172.72,170.63,172.13,16894100
2018-08-22 20:00:00-04:00,171.58,174.02,171.33,171.39,18053600
2018-08-23 20:00:00-04:00,172.19,173.30,171.41,173.13,14631600
2018-08-26 20:00:00-04:00,174.46,177.11,174.26,175.92,17921900
2018-08-27 20:00:00-04:00,176.55,176.69,174.30,174.73,15910700
2018-08-28 20:00:00-04:00,174.77,175.25,173.23,174.37,18494100
2018-08-29 20:00:00-04:00,174.37,178.22,174.17,176.09,24216500
2018-08-30 20:00:00-04:00,175.61,176.07,173.46,174.20,18065200
2018-09-03 20:00:00-04:00,171.99,172.38,167.33,169.67,29809000
2018-09-04 20:00:00-04:00,168.01,169.64,165.22,165.72,31226700
2018-09-05 20:00:00-04:00,165.53,165.53,158.61,161.12,41514800
2018-09-06 20:00:00-04:00,158.91,163.20,158.77,161.62,24300600
2018-09-09 20:00:00-04:00,162.09,163.57,160.75,162.75,20197700
2018-09-10 20:00:00-04:00,162.51,165.73,162.29,164.50,20457100
2018-09-11 20:00:00-04:00,161.83,163.06,160.39,160.59,24078100
2018-09-12 20:00:00-04:00,160.59,161.90,159.46,159.96,25453800
2018-09-13 20:00:00-04:00,160.31,161.42,158.94,160.91,21770400
2018-09-16 20:00:00-04:00,160.51,160.65,158.38,159.18,21005300
2018-09-17 20:00:00-04:00,158.00,160.35,157.49,158.90,22465200
2018-09-18 20:00:00-04:00,158.69,162.02,158.09,161.64,19629000
2018-09-19 20:00:00-04:00,163.07,165.00,163.04,164.57,18936000
2018-09-20 20:00:00-04:00,165.19,165.79,161.39,161.51,45994800
2018-09-23 20:00:00-04:00,159.63,164.26,159.48,163.97,19222800
2018-09-24 20:00:00-04:00,160.58,164.15,159.75,163.47,27622800
2018-09-25 20:00:00-04:00,162.87,167.83,162.78,165.50,25252200
2018-09-26 20:00:00-04:00,166.09,170.27,165.75,167.37,27266900
2018-09-27 20:00:00-04:00,166.86,167.32,161.14,163.03,34265600
2018-09-30 20:00:00-04:00,161.61,164.44,159.86,161.03,26407700
2018-10-01 20:00:00-04:00,160.17,160.87,157.29,157.94,36031000
2018-10-02 20:00:00-04:00,158.61,162.24,158.14,161.02,23109500
2018-10-03 20:00:00-04:00,160.05,160.05,155.98,157.47,25739600
2018-10-04 20:00:00-04:00,157.82,159.50,154.84,155.96,25744000
2018-10-07 20:00:00-04:00,154.19,156.96,153.05,155.88,24046000
2018-10-08 20:00:00-04:00,156.32,159.19,156.05,156.53,18844400
2018-10-09 20:00:00-04:00,155.45,156.32,149.99,150.06,30610000
2018-10-10 20:00:00-04:00,148.82,153.46,147.86,152.02,35338900
2018-10-11 20:00:00-04:00,155.37,155.52,149.98,152.40,25293500
2018-10-14 20:00:00-04:00,151.99,154.22,151.22,152.18,15433500
2018-10-15 20:00:00-04:00,154.05,158.07,153.66,157.40,19180100
2018-10-16 20:00:00-04:00,158.17,159.09,156.58,158.03,17592000
2018-10-17 20:00:00-04:00,157.13,157.28,151.95,153.57,21675100
2018-10-18 20:00:00-04:00,154.50,155.98,152.21,152.71,19761300
2018-10-21 20:00:00-04:00,153.41,155.97,153.12,153.43,15424700
2018-10-22 20:00:00-04:00,149.90,153.42,149.54,153.05,19095000
2018-10-23 20:00:00-04:00,152.94,153.30,144.33,144.77,27744600
2018-10-24 20:00:00-04:00,146.44,150.89,145.72,149.64,22105700
2018-10-25 20:00:00-04:00,144.55,147.70,142.55,144.10,31303300
2018-10-28 20:00:00-04:00,147.21,147.53,137.82,140.85,31336800
2018-10-29 20:00:00-04:00,138.72,145.36,138.52,144.95,50528300
2018-10-30 20:00:00-04:00,153.65,155.04,147.66,150.47,60101300
2018-10-31 20:00:00-04:00,150.20,151.42,148.05,150.43,25640800
2018-11-01 20:00:00-04:00,150.48,152.79,147.66,149.04,24708700
2018-11-04 19:00:00-05:00,148.79,148.88,146.16,147.39,15971200
2018-11-05 19:00:00-05:00,148.01,149.66,146.71,148.63,16667100
2018-11-06 19:00:00-05:00,150.25,151.68,148.53,150.21,21877400
2018-11-07 19:00:00-05:00,149.18,149.63,145.46,146.58,24145800
2018-11-08 19:00:00-05:00,145.47,146.47,142.82,143.70,17326900
2018-11-11 19:00:00-05:00,143.22,143.78,139.27,140.32,18542100
2018-11-12 19:00:00-05:00,140.76,143.62,140.39,140.92,15141700
2018-11-13 19:00:00-05:00,142.45,144.31,140.32,142.96,22068400
2018-11-14 19:00:00-05:00,141.09,143.58,139.60,142.60,30320300
2018-11-15 19:00:00-05:00,139.84,140.54,136.57,138.32,37250600
2018-11-18 19:00:00-05:00,136.41,136.55,130.07,130.40,44362700
2018-11-19 19:00:00-05:00,125.92,132.99,125.75,131.28,41939500
2018-11-20 19:00:00-05:00,133.23,136.00,132.96,133.65,25469700
2018-11-22 19:00:00-05:00,132.49,133.33,130.12,130.58,11886100
2018-11-25 19:00:00-05:00,131.84,135.81,131.62,135.19,24263600
2018-11-26 19:00:00-05:00,134.57,135.42,132.55,133.82,20750300
2018-11-27 19:00:00-05:00,135.09,135.60,130.70,135.57,29847500
2018-11-28 19:00:00-05:00,134.74,138.77,134.48,137.47,24238700
2018-11-29 19:00:00-05:00,137.06,139.74,136.16,139.39,25732600
2018-12-02 19:00:00-05:00,141.76,142.43,139.53,139.86,24819200
2018-12-03 19:00:00-05:00,139.50,142.14,135.97,136.73,30307400
2018-12-05 19:00:00-05:00,132.66,138.48,132.51,138.41,28218100
2018-12-06 19:00:00-05:00,138.04,139.64,135.47,136.22,21195500
2018-12-09 19:00:00-05:00,138.38,141.80,137.80,140.62,26422200
2018-12-10 19:00:00-05:00,142.63,142.63,139.87,140.84,20300300
2018-12-11 19:00:00-05:00,141.83,145.91,141.27,143.24,23696900
2018-12-12 19:00:00-05:00,144.30,144.58,141.94,143.75,18148600
2018-12-13 19:00:00-05:00,142.09,144.74,141.27,142.81,21785800
