Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,62.00,62.63,61.75,62.01,4109400
2022-04-06 20:00:00-04:00,61.86,62.02,60.33,61.55,3482400
2022-04-07 20:00:00-04:00,62.05,62.97,61.74,62.49,2954900
2022-04-10 20:00:00-04:00,62.55,63.53,62.32,62.46,2650300
2022-04-11 20:00:00-04:00,62.65,63.31,61.69,62.09,2719400
2022-04-12 20:00:00-04:00,61.76,62.42,61.32,62.35,2146500
2022-04-13 20:00:00-04:00,62.33,62.94,62.08,62.51,2847700
2022-04-17 20:00:00-04:00,62.24,63.40,62.08,63.04,3041100
2022-04-18 20:00:00-04:00,63.29,63.80,63.04,63.58,2662300
2022-04-19 20:00:00-04:00,63.85,64.68,63.79,64.11,2843400
2022-04-20 20:00:00-04:00,64.60,64.76,63.20,63.35,2226200
2022-04-21 20:00:00-04:00,63.21,63.28,61.51,61.56,3113900
2022-04-24 20:00:00-04:00,60.75,61.28,58.95,61.13,7028400
2022-04-25 20:00:00-04:00,60.11,60.90,59.03,59.05,3484700
2022-04-26 20:00:00-04:00,59.14,59.82,58.64,59.20,3282900
2022-04-27 20:00:00-04:00,59.83,60.12,58.55,59.97,3222500
2022-04-28 20:00:00-04:00,59.66,60.24,57.90,58.12,3872900
2022-05-01 20:00:00-04:00,58.54,58.85,57.42,58.53,3255000
2022-05-02 20:00:00-04:00,58.71,59.63,58.36,58.97,3623200
2022-05-03 20:00:00-04:00,58.90,60.77,58.74,60.45,3823300
2022-05-04 20:00:00-04:00,59.51,61.51,58.91,59.74,4689200
2022-05-05 20:00:00-04:00,59.78,59.94,58.75,59.77,4833600
2022-05-08 20:00:00-04:00,59.37,59.90,58.28,58.52,7275800
2022-05-09 20:00:00-04:00,58.93,59.78,57.30,57.78,5521400
2022-05-10 20:00:00-04:00,57.97,59.12,57.11,57.17,5219000
2022-05-11 20:00:00-04:00,57.11,57.15,54.76,56.09,6862500
2022-05-12 20:00:00-04:00,56.44,57.09,56.01,56.54,4477700
2022-05-15 20:00:00-04:00,56.43,57.07,55.98,56.72,4237300
2022-05-16 20:00:00-04:00,57.77,58.34,57.55,57.94,4562500
2022-05-17 20:00:00-04:00,57.58,57.60,56.14,56.45,5096500
2022-05-18 20:00:00-04:00,55.64,56.70,55.11,55.63,4455700
2022-05-19 20:00:00-04:00,55.81,56.40,54.24,55.32,5405400
2022-05-22 20:00:00-04:00,56.17,57.42,56.05,57.02,4983900
2022-05-23 20:00:00-04:00,56.89,57.19,55.61,56.95,3738800
2022-05-24 20:00:00-04:00,56.66,58.01,56.66,57.60,5900800
2022-05-25 20:00:00-04:00,58.52,59.77,58.47,59.66,6343000
2022-05-26 20:00:00-04:00,59.66,60.57,59.49,60.38,4197500
2022-05-30 20:00:00-04:00,59.51,61.10,59.46,60.08,10013500
2022-05-31 20:00:00-04:00,60.45,60.47,58.83,59.43,3694200
2022-06-01 20:00:00-04:00,59.54,59.78,58.55,59.76,3102800
2022-06-02 20:00:00-04:00,59.41,59.96,58.83,59.01,2452000
2022-06-05 20:00:00-04:00,59.49,60.40,59.06,59.63,3267100
2022-06-06 20:00:00-04:00,59.45,60.54,59.20,60.35,3692800
2022-06-07 20:00:00-04:00,60.13,60.41,59.58,59.95,3099500
2022-06-08 20:00:00-04:00,59.87,60.23,58.83,58.85,3906500
2022-06-09 20:00:00-04:00,57.46,57.80,56.41,56.59,5246300
2022-06-12 20:00:00-04:00,55.54,55.60,53.98,54.42,6042200
2022-06-13 20:00:00-04:00,54.75,55.67,54.41,55.15,4773700
2022-06-14 20:00:00-04:00,55.81,56.45,54.68,55.55,4716900
2022-06-15 20:00:00-04:00,54.65,54.72,53.68,54.64,6145400
2022-06-16 20:00:00-04:00,54.12,55.10,53.84,54.27,9326700
2022-06-20 20:00:00-04:00,55.57,56.21,54.79,55.75,5463500
2022-06-21 20:00:00-04:00,54.73,55.66,54.70,55.05,4455300
2022-06-22 20:00:00-04:00,55.46,55.72,54.15,54.68,4429600
2022-06-23 20:00:00-04:00,54.99,57.58,54.86,57.26,6159400
2022-06-26 20:00:00-04:00,57.55,57.74,56.45,56.69,3166200
2022-06-27 20:00:00-04:00,57.52,58.12,56.80,56.83,2994500
2022-06-28 20:00:00-04:00,56.93,57.02,55.91,56.11,2303500
