Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,49.83,50.43,49.25,49.62,3173800
2018-07-02 20:00:00-04:00,49.82,50.02,49.31,49.46,1892000
2018-07-04 20:00:00-04:00,49.76,50.69,49.58,50.67,3281600
2018-07-05 20:00:00-04:00,50.96,51.64,50.60,51.43,2583400
2018-07-08 20:00:00-04:00,51.64,51.80,51.35,51.56,2304400
2018-07-09 20:00:00-04:00,51.49,51.70,50.60,50.80,2063600
2018-07-10 20:00:00-04:00,50.78,51.10,50.44,50.97,1667800
2018-07-11 20:00:00-04:00,51.32,51.53,50.66,50.86,1224800
2018-07-12 20:00:00-04:00,50.67,51.39,50.66,51.33,1086400
2018-07-15 20:00:00-04:00,51.33,51.41,50.89,51.04,1434200
2018-07-16 20:00:00-04:00,50.89,51.48,50.89,51.45,1242800
2018-07-17 20:00:00-04:00,51.40,51.40,50.50,50.63,1251200
2018-07-18 20:00:00-04:00,50.52,51.23,50.48,50.89,1332200
2018-07-19 20:00:00-04:00,51.02,51.02,50.49,50.76,1222800
2018-07-22 20:00:00-04:00,50.77,50.86,50.17,50.49,1104400
2018-07-23 20:00:00-04:00,50.51,50.68,49.95,50.48,1716200
2018-07-24 20:00:00-04:00,50.40,50.77,50.13,50.70,1589000
2018-07-25 20:00:00-04:00,51.03,51.51,50.70,51.17,1550400
2018-07-26 20:00:00-04:00,51.30,51.33,50.68,50.73,1160600
2018-07-29 20:00:00-04:00,50.49,50.51,49.98,50.27,1865400
2018-07-30 20:00:00-04:00,50.46,50.80,50.13,50.64,1947600
2018-07-31 20:00:00-04:00,50.70,51.01,50.26,50.61,1364800
2018-08-01 20:00:00-04:00,50.61,51.67,50.61,51.54,1430800
2018-08-02 20:00:00-04:00,51.72,52.81,51.65,52.35,1691800
2018-08-05 20:00:00-04:00,52.53,52.69,52.31,52.50,978200
2018-08-06 20:00:00-04:00,52.48,52.50,51.90,52.12,2723400
2018-08-07 20:00:00-04:00,52.12,52.47,51.82,52.28,1210200
2018-08-08 20:00:00-04:00,52.26,52.44,51.81,52.05,1110000
2018-08-09 20:00:00-04:00,51.83,52.32,51.54,52.13,928200
2018-08-12 20:00:00-04:00,52.21,52.36,51.85,52.16,800000
2018-08-13 20:00:00-04:00,52.16,52.65,52.08,52.59,1156800
2018-08-14 20:00:00-04:00,52.60,53.50,52.59,53.48,1563600
2018-08-15 20:00:00-04:00,53.64,54.22,53.64,54.02,2529200
2018-08-16 20:00:00-04:00,53.98,54.52,53.86,54.46,1259400
2018-08-19 20:00:00-04:00,54.53,54.66,54.27,54.51,1606600
2018-08-20 20:00:00-04:00,54.50,54.65,52.99,53.36,1491400
2018-08-21 20:00:00-04:00,53.21,53.35,52.70,53.24,929200
2018-08-22 20:00:00-04:00,53.06,53.41,52.98,53.40,893000
2018-08-23 20:00:00-04:00,53.38,53.64,53.10,53.53,625400
2018-08-26 20:00:00-04:00,53.73,53.81,52.95,53.31,894800
2018-08-27 20:00:00-04:00,53.15,53.36,52.80,53.05,814800
2018-08-28 20:00:00-04:00,53.30,53.57,53.03,53.52,910800
2018-08-29 20:00:00-04:00,53.30,53.62,53.10,53.28,832000
2018-08-30 20:00:00-04:00,53.45,53.85,53.30,53.80,1093000
2018-09-03 20:00:00-04:00,53.65,54.64,53.65,54.39,1198600
2018-09-04 20:00:00-04:00,54.38,55.09,54.25,55.03,1179000
2018-09-05 20:00:00-04:00,54.93,55.90,54.62,55.82,2016200
2018-09-06 20:00:00-04:00,55.64,56.38,55.36,56.27,1981800
2018-09-09 20:00:00-04:00,56.37,56.79,56.27,56.66,1162400
2018-09-10 20:00:00-04:00,56.64,56.82,56.01,56.09,1852800
2018-09-11 20:00:00-04:00,56.22,56.61,55.89,56.51,1618400
2018-09-12 20:00:00-04:00,56.66,56.66,55.98,56.56,1572200
2018-09-13 20:00:00-04:00,56.55,57.02,56.36,56.99,1081200
2018-09-16 20:00:00-04:00,56.96,57.23,56.62,57.16,1183200
2018-09-17 20:00:00-04:00,56.99,56.99,55.79,56.54,1138200
2018-09-18 20:00:00-04:00,56.48,56.74,55.84,55.96,1215000
2018-09-19 20:00:00-04:00,56.01,56.11,55.47,56.05,1458000
2018-09-20 20:00:00-04:00,56.07,56.41,55.92,56.10,2203200
2018-09-23 20:00:00-04:00,56.01,56.36,55.74,55.84,1120200
2018-09-24 20:00:00-04:00,55.92,56.30,55.65,55.69,1516800
2018-09-25 20:00:00-04:00,55.71,56.28,55.62,55.96,2526800
2018-09-26 20:00:00-04:00,53.64,55.82,52.56,55.27,3519000
2018-09-27 20:00:00-04:00,55.37,56.86,55.23,56.76,2262400
2018-09-30 20:00:00-04:00,56.87,57.35,56.35,57.14,1656800
2018-10-01 20:00:00-04:00,57.18,58.47,56.95,57.47,3472600
2018-10-02 20:00:00-04:00,57.66,58.09,57.22,57.74,2540600
2018-10-03 20:00:00-04:00,57.46,58.50,57.22,58.47,2310400
2018-10-04 20:00:00-04:00,58.38,58.92,58.38,58.71,1647200
2018-10-07 20:00:00-04:00,58.66,59.00,58.46,58.85,1690800
2018-10-08 20:00:00-04:00,59.00,59.31,58.51,58.74,1367800
2018-10-09 20:00:00-04:00,58.88,59.39,58.01,58.08,2075400
2018-10-10 20:00:00-04:00,58.24,58.34,56.82,56.95,2164800
2018-10-11 20:00:00-04:00,57.24,57.64,56.62,57.44,2492000
2018-10-14 20:00:00-04:00,57.43,58.52,57.33,58.07,1212000
2018-10-15 20:00:00-04:00,58.33,59.44,58.12,59.27,1497600
2018-10-16 20:00:00-04:00,59.22,59.60,58.46,59.55,1916000
2018-10-17 20:00:00-04:00,59.70,60.04,59.09,59.45,1237800
2018-10-18 20:00:00-04:00,59.90,61.02,59.87,60.83,2645600
2018-10-21 20:00:00-04:00,60.84,61.43,60.33,61.16,1963000
2018-10-22 20:00:00-04:00,60.54,61.25,60.02,60.99,2067600
2018-10-23 20:00:00-04:00,61.12,62.11,60.76,61.11,2365400
2018-10-24 20:00:00-04:00,60.76,60.85,59.96,60.41,3044600
2018-10-25 20:00:00-04:00,60.06,60.18,59.10,59.85,2443600
2018-10-28 20:00:00-04:00,60.28,61.25,60.13,60.73,1595000
2018-10-29 20:00:00-04:00,60.73,62.73,60.63,62.60,3325800
2018-10-30 20:00:00-04:00,62.06,62.68,61.20,62.28,3973800
2018-10-31 20:00:00-04:00,62.40,63.39,62.01,62.80,2551400
2018-11-01 20:00:00-04:00,62.90,63.13,61.45,62.04,2704200
2018-11-04 19:00:00-05:00,62.31,63.66,62.28,63.51,1947000
2018-11-05 19:00:00-05:00,63.52,64.26,63.21,64.22,1816800
2018-11-06 19:00:00-05:00,64.56,65.13,64.29,64.88,2170600
2018-11-07 19:00:00-05:00,64.87,65.49,64.35,65.45,2089800
2018-11-08 19:00:00-05:00,65.28,65.44,64.51,65.05,2343400
2018-11-11 19:00:00-05:00,65.06,65.45,64.17,64.54,2529400
2018-11-12 19:00:00-05:00,64.44,64.67,63.54,64.10,3250000
2018-11-13 19:00:00-05:00,64.13,64.50,63.51,63.87,2702000
2018-11-14 19:00:00-05:00,63.87,65.05,63.43,64.28,2781200
2018-11-15 19:00:00-05:00,64.22,65.18,63.97,64.87,3743600
2018-11-18 19:00:00-05:00,64.84,65.46,64.33,64.51,1870600
