Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,61.42,65.17,61.42,62.43,13999300
2022-04-06 20:00:00-04:00,62.93,65.11,62.10,64.53,9956800
2022-04-07 20:00:00-04:00,66.08,67.44,64.43,66.64,8347200
2022-04-10 20:00:00-04:00,66.47,67.05,63.70,66.68,8307200
2022-04-11 20:00:00-04:00,67.33,68.48,65.31,68.10,8360000
2022-04-12 20:00:00-04:00,68.62,69.46,65.34,67.71,9350800
2022-04-13 20:00:00-04:00,67.33,69.52,67.13,68.62,6263200
2022-04-17 20:00:00-04:00,68.56,71.53,67.87,70.51,6319500
2022-04-18 20:00:00-04:00,69.96,71.39,68.90,70.36,8032200
2022-04-19 20:00:00-04:00,69.01,70.43,66.24,68.36,9163300
2022-04-20 20:00:00-04:00,68.68,68.87,61.59,61.95,13000600
2022-04-21 20:00:00-04:00,61.62,64.08,59.73,60.24,10089900
2022-04-24 20:00:00-04:00,57.86,58.45,54.78,57.39,14476800
2022-04-25 20:00:00-04:00,58.96,59.23,55.76,57.45,11203600
2022-04-26 20:00:00-04:00,58.31,59.49,56.20,58.51,7014200
2022-04-27 20:00:00-04:00,58.74,59.46,57.16,58.93,5735000
2022-04-28 20:00:00-04:00,59.99,60.31,55.98,56.32,6945700
2022-05-01 20:00:00-04:00,55.95,57.52,54.70,56.30,7929400
2022-05-02 20:00:00-04:00,54.41,61.58,53.39,61.20,14941100
2022-05-03 20:00:00-04:00,61.66,62.02,57.94,60.56,7789000
2022-05-04 20:00:00-04:00,61.46,61.94,57.14,58.40,6474400
2022-05-05 20:00:00-04:00,58.32,58.87,56.10,57.79,5845600
2022-05-08 20:00:00-04:00,56.03,56.18,49.93,50.40,10565400
2022-05-09 20:00:00-04:00,52.98,54.58,50.53,52.01,8552700
2022-05-10 20:00:00-04:00,52.83,56.16,52.24,53.65,8585000
2022-05-11 20:00:00-04:00,53.48,53.81,50.80,53.00,6960000
2022-05-12 20:00:00-04:00,55.12,57.24,55.04,56.20,5408900
2022-05-15 20:00:00-04:00,57.78,59.06,56.55,56.91,6249100
2022-05-16 20:00:00-04:00,57.98,60.09,56.52,59.22,8153300
2022-05-17 20:00:00-04:00,58.56,59.32,54.50,55.44,7720300
2022-05-18 20:00:00-04:00,55.00,56.80,53.80,55.19,6997900
2022-05-19 20:00:00-04:00,56.16,57.08,50.70,52.28,11768300
2022-05-22 20:00:00-04:00,52.48,55.74,52.43,55.04,9105000
2022-05-23 20:00:00-04:00,54.03,54.46,52.20,52.51,12203600
2022-05-24 20:00:00-04:00,51.55,54.55,51.32,53.97,8980700
2022-05-25 20:00:00-04:00,53.39,54.12,52.47,53.20,6654200
2022-05-26 20:00:00-04:00,52.97,54.02,51.02,54.00,6649400
2022-05-30 20:00:00-04:00,55.40,58.30,54.60,56.53,13129400
2022-05-31 20:00:00-04:00,55.89,56.29,52.08,53.08,8540800
2022-06-01 20:00:00-04:00,53.69,55.49,53.40,54.35,6763200
2022-06-02 20:00:00-04:00,53.60,54.36,53.03,53.98,3522600
2022-06-05 20:00:00-04:00,54.62,54.93,53.16,53.87,7728500
2022-06-06 20:00:00-04:00,53.70,53.78,50.38,51.71,10939900
2022-06-07 20:00:00-04:00,51.02,53.34,50.60,51.37,7347000
2022-06-08 20:00:00-04:00,50.48,50.82,48.48,48.53,9049400
2022-06-09 20:00:00-04:00,48.05,50.31,47.51,48.26,7646200
2022-06-12 20:00:00-04:00,46.64,47.54,45.78,46.51,7597800
2022-06-13 20:00:00-04:00,46.88,48.54,46.25,47.69,7439200
2022-06-14 20:00:00-04:00,48.38,49.29,47.20,48.49,8638800
2022-06-15 20:00:00-04:00,46.95,48.32,45.38,46.07,10042500
2022-06-16 20:00:00-04:00,45.84,46.50,44.33,45.76,12381500
2022-06-20 20:00:00-04:00,46.71,47.45,45.84,46.65,8730300
2022-06-21 20:00:00-04:00,44.78,46.11,44.36,45.25,8589900
2022-06-22 20:00:00-04:00,45.27,45.27,40.83,40.92,12948900
2022-06-23 20:00:00-04:00,41.50,43.19,40.82,42.15,9921700
2022-06-26 20:00:00-04:00,42.69,44.36,41.77,44.08,8010300
2022-06-27 20:00:00-04:00,45.17,46.44,44.24,44.57,8233300
2022-06-28 20:00:00-04:00,44.98,45.36,43.12,43.54,5585300
