Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,74.70,75.76,74.49,75.24,13924300
2022-04-06 20:00:00-04:00,75.93,77.14,75.23,76.86,13104300
2022-04-07 20:00:00-04:00,76.72,77.78,76.38,77.64,11409300
2022-04-10 20:00:00-04:00,78.21,79.24,76.31,76.71,14381000
2022-04-11 20:00:00-04:00,76.15,76.64,75.46,75.83,12543000
2022-04-12 20:00:00-04:00,75.98,76.37,75.12,76.27,12743800
2022-04-13 20:00:00-04:00,76.27,77.49,75.63,76.96,22096100
2022-04-17 20:00:00-04:00,76.53,77.44,75.87,76.22,7995100
2022-04-18 20:00:00-04:00,76.13,76.23,75.37,75.97,8494700
2022-04-19 20:00:00-04:00,75.73,76.88,75.69,76.56,8719400
2022-04-20 20:00:00-04:00,76.52,77.24,75.61,76.36,8562400
2022-04-21 20:00:00-04:00,76.03,76.28,74.83,74.91,7914000
2022-04-24 20:00:00-04:00,74.91,75.99,73.97,75.66,10573400
2022-04-25 20:00:00-04:00,75.94,76.33,74.73,74.81,9009600
2022-04-26 20:00:00-04:00,74.65,75.38,74.03,74.75,10781300
2022-04-27 20:00:00-04:00,75.93,79.14,75.27,78.44,21092300
2022-04-28 20:00:00-04:00,78.51,79.70,78.00,78.54,15914200
2022-05-01 20:00:00-04:00,78.56,78.67,76.71,77.61,12124900
2022-05-02 20:00:00-04:00,77.03,78.14,76.53,77.13,8425600
2022-05-03 20:00:00-04:00,76.66,78.61,76.47,78.39,10763500
2022-05-04 20:00:00-04:00,78.30,78.51,77.07,77.93,9548300
2022-05-05 20:00:00-04:00,77.69,78.74,77.46,78.27,12227400
2022-05-08 20:00:00-04:00,77.48,77.98,76.96,77.61,11901500
2022-05-09 20:00:00-04:00,78.03,79.07,77.28,77.76,12370800
2022-05-10 20:00:00-04:00,77.41,80.41,77.41,78.98,16338600
2022-05-11 20:00:00-04:00,79.56,80.45,78.24,80.43,14210200
2022-05-12 20:00:00-04:00,80.32,80.63,79.04,80.06,10308100
2022-05-15 20:00:00-04:00,80.40,82.24,80.30,81.75,13999000
2022-05-16 20:00:00-04:00,81.74,83.73,81.03,82.35,17582800
2022-05-17 20:00:00-04:00,81.96,82.49,81.26,81.56,12717600
2022-05-18 20:00:00-04:00,80.80,82.01,80.47,81.55,11121600
2022-05-19 20:00:00-04:00,81.87,83.31,81.87,82.84,11757100
2022-05-22 20:00:00-04:00,82.87,84.05,82.71,83.09,9067000
2022-05-23 20:00:00-04:00,83.46,83.95,82.86,83.80,9021000
2022-05-24 20:00:00-04:00,83.56,83.91,82.48,83.02,11177700
2022-05-25 20:00:00-04:00,83.45,83.46,80.58,81.74,17249500
2022-05-26 20:00:00-04:00,81.71,82.45,81.25,82.42,9802000
2022-05-30 20:00:00-04:00,81.39,82.02,80.47,81.49,22860800
2022-05-31 20:00:00-04:00,81.17,81.40,79.73,80.71,10492500
2022-06-01 20:00:00-04:00,80.70,80.71,78.58,79.70,11066200
2022-06-02 20:00:00-04:00,79.47,80.30,79.41,79.62,7051600
2022-06-05 20:00:00-04:00,79.85,80.28,79.42,79.55,8336900
2022-06-06 20:00:00-04:00,79.83,80.42,79.32,80.12,10243300
2022-06-07 20:00:00-04:00,80.21,80.27,79.05,79.24,10266000
2022-06-08 20:00:00-04:00,79.03,79.51,77.85,77.92,7381100
2022-06-09 20:00:00-04:00,77.19,77.96,76.78,77.20,8861600
2022-06-12 20:00:00-04:00,75.90,76.61,74.94,75.27,12016100
2022-06-13 20:00:00-04:00,75.68,75.92,74.88,75.44,11226900
2022-06-14 20:00:00-04:00,75.49,76.21,74.77,75.55,11357100
2022-06-15 20:00:00-04:00,74.79,76.05,74.14,75.79,12925200
2022-06-16 20:00:00-04:00,75.56,76.56,74.45,75.54,32989100
