Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,71.60,72.45,70.47,70.81,6880200
2022-04-06 20:00:00-04:00,71.10,72.65,70.79,72.13,6027600
2022-04-07 20:00:00-04:00,72.93,73.57,72.45,73.10,4196700
2022-04-10 20:00:00-04:00,74.11,74.70,71.50,72.41,5318800
2022-04-11 20:00:00-04:00,73.19,74.56,72.59,73.44,4882500
2022-04-12 20:00:00-04:00,74.16,75.06,73.54,75.05,6379600
2022-04-13 20:00:00-04:00,74.55,75.93,74.32,75.46,5672400
2022-04-17 20:00:00-04:00,76.16,76.89,75.76,76.04,5513800
2022-04-18 20:00:00-04:00,74.61,75.51,73.58,73.76,6192800
2022-04-19 20:00:00-04:00,73.33,73.92,72.24,73.52,6728400
2022-04-20 20:00:00-04:00,72.30,72.46,67.75,68.60,15828400
2022-04-21 20:00:00-04:00,63.41,67.35,62.85,66.34,12371800
2022-04-24 20:00:00-04:00,63.25,65.89,63.13,64.64,9151500
2022-04-25 20:00:00-04:00,65.01,65.82,64.20,64.21,5167000
2022-04-26 20:00:00-04:00,64.64,65.60,64.06,64.21,5416300
2022-04-27 20:00:00-04:00,64.79,65.57,64.10,65.24,3913500
2022-04-28 20:00:00-04:00,65.97,66.76,64.75,64.85,5684000
2022-05-01 20:00:00-04:00,63.38,64.66,62.63,64.37,5837600
2022-05-02 20:00:00-04:00,64.85,65.85,64.25,64.31,5472900
2022-05-03 20:00:00-04:00,64.69,65.51,63.69,65.33,5996100
2022-05-04 20:00:00-04:00,66.11,66.21,63.11,64.40,5325900
2022-05-05 20:00:00-04:00,63.94,65.15,63.75,64.87,4929100
2022-05-08 20:00:00-04:00,63.31,63.65,61.25,61.35,7648200
2022-05-09 20:00:00-04:00,62.06,62.81,60.00,60.78,7249600
2022-05-10 20:00:00-04:00,61.67,62.25,60.62,60.91,6009500
2022-05-11 20:00:00-04:00,59.25,60.53,57.26,58.18,9765900
2022-05-12 20:00:00-04:00,57.94,58.68,57.43,58.09,6361900
2022-05-15 20:00:00-04:00,58.37,58.50,57.58,58.26,5961700
2022-05-16 20:00:00-04:00,59.47,59.47,57.82,58.31,4289400
2022-05-17 20:00:00-04:00,58.18,58.39,56.69,56.87,5246100
2022-05-18 20:00:00-04:00,58.02,59.14,57.86,58.85,7863800
2022-05-19 20:00:00-04:00,59.29,59.88,58.32,59.81,6135100
2022-05-22 20:00:00-04:00,60.84,61.09,59.49,60.03,5417400
2022-05-23 20:00:00-04:00,60.21,61.80,60.05,61.44,6255500
2022-05-24 20:00:00-04:00,60.69,62.39,60.69,61.91,8617300
2022-05-25 20:00:00-04:00,61.87,62.46,60.94,61.17,5303800
2022-05-26 20:00:00-04:00,61.99,62.02,60.53,61.17,4590300
2022-05-30 20:00:00-04:00,61.38,62.21,59.85,60.40,9582600
2022-05-31 20:00:00-04:00,61.02,61.02,59.80,60.37,4633600
2022-06-01 20:00:00-04:00,61.39,62.29,61.05,61.74,4423800
2022-06-02 20:00:00-04:00,61.03,61.86,60.70,60.87,3578600
2022-06-05 20:00:00-04:00,61.19,61.38,60.21,60.90,3517300
2022-06-06 20:00:00-04:00,60.72,61.54,60.42,61.37,3452000
2022-06-07 20:00:00-04:00,60.96,61.24,60.19,60.28,4063600
2022-06-08 20:00:00-04:00,59.96,60.10,57.86,57.96,6004800
2022-06-09 20:00:00-04:00,57.08,60.55,56.36,60.00,7317000
2022-06-12 20:00:00-04:00,58.41,59.62,57.57,58.02,8118400
2022-06-13 20:00:00-04:00,58.19,58.20,56.11,56.62,4779100
2022-06-14 20:00:00-04:00,57.67,57.74,55.02,56.25,6262900
2022-06-15 20:00:00-04:00,55.71,58.37,55.57,58.08,8092000
2022-06-16 20:00:00-04:00,58.04,58.11,56.43,57.22,11358900
2022-06-20 20:00:00-04:00,57.61,58.99,57.15,58.49,7811300
2022-06-21 20:00:00-04:00,58.34,59.45,57.92,57.96,5416200
2022-06-22 20:00:00-04:00,57.94,58.73,55.76,56.42,6693900
2022-06-23 20:00:00-04:00,56.43,57.80,55.54,57.60,7670300
2022-06-26 20:00:00-04:00,57.52,57.80,56.77,57.29,7195700
2022-06-27 20:00:00-04:00,57.58,57.67,56.34,56.51,5575200
2022-06-28 20:00:00-04:00,57.10,57.38,55.17,55.64,4120000
2022-06-29 20:00:00-04:00,55.20,55.51,53.24,53.55,7690600
2022-06-30 20:00:00-04:00,53.34,55.12,52.13,54.90,6914200
2022-07-04 20:00:00-04:00,54.53,55.09,52.46,53.59,7685000
2022-07-05 20:00:00-04:00,53.38,53.88,51.66,53.36,7427400
2022-07-06 20:00:00-04:00,54.04,54.65,53.37,53.73,5153900
2022-07-07 20:00:00-04:00,53.89,54.21,53.18,53.28,3516400
2022-07-10 20:00:00-04:00,53.03,53.43,52.60,52.76,4106300
2022-07-11 20:00:00-04:00,52.46,53.20,51.93,52.00,4886200
2022-07-12 20:00:00-04:00,51.62,53.43,51.48,52.23,5534400
2022-07-13 20:00:00-04:00,50.77,50.97,49.18,49.35,10717600
2022-07-14 20:00:00-04:00,49.92,50.06,48.39,49.12,6697500
2022-07-17 20:00:00-04:00,49.94,50.30,49.15,49.19,4662400
2022-07-18 20:00:00-04:00,49.21,49.86,48.76,49.05,7348700
2022-07-19 20:00:00-04:00,48.99,49.24,46.88,46.95,11676600
2022-07-20 20:00:00-04:00,46.98,47.26,46.25,46.75,13188800
2022-07-21 20:00:00-04:00,47.33,47.71,45.63,46.12,11524700
2022-07-24 20:00:00-04:00,44.55,44.77,39.49,40.02,36693000
2022-07-25 20:00:00-04:00,40.33,41.89,40.33,41.41,16460700
2022-07-26 20:00:00-04:00,41.79,42.13,40.60,40.93,20877600
2022-07-27 20:00:00-04:00,41.71,41.87,40.58,41.11,18108300
2022-07-28 20:00:00-04:00,41.35,41.46,40.05,40.64,15753200
2022-07-31 20:00:00-04:00,40.70,41.01,39.93,40.33,8683400
2022-08-01 20:00:00-04:00,40.57,41.87,40.21,40.24,14346200
2022-08-02 20:00:00-04:00,40.56,40.56,39.40,39.85,11024900
2022-08-03 20:00:00-04:00,40.04,41.18,39.79,40.64,10434300
2022-08-04 20:00:00-04:00,39.79,40.23,39.42,40.18,8146000
2022-08-07 20:00:00-04:00,40.84,41.15,40.07,40.19,10451100
2022-08-08 20:00:00-04:00,40.54,40.68,39.68,40.66,8517800
2022-08-09 20:00:00-04:00,40.84,41.64,40.51,41.05,8396800
2022-08-10 20:00:00-04:00,41.39,41.73,40.58,40.66,7851200
2022-08-11 20:00:00-04:00,40.70,41.82,40.70,41.78,8332900
2022-08-14 20:00:00-04:00,40.98,41.38,40.71,41.23,9029500
2022-08-15 20:00:00-04:00,41.11,41.45,40.76,41.33,4959400
2022-08-16 20:00:00-04:00,41.15,41.20,40.25,40.30,6209500
2022-08-17 20:00:00-04:00,40.51,40.69,40.04,40.07,6239300
2022-08-18 20:00:00-04:00,39.94,40.05,38.97,39.07,8273700
2022-08-21 20:00:00-04:00,38.65,39.40,38.48,39.33,6427300
2022-08-22 20:00:00-04:00,39.49,40.38,39.48,39.98,8941100
2022-08-23 20:00:00-04:00,39.71,40.30,39.32,40.21,7787300
2022-08-24 20:00:00-04:00,40.58,40.71,40.10,40.51,5495600
2022-08-25 20:00:00-04:00,40.67,40.75,38.48,38.79,8324500
2022-08-28 20:00:00-04:00,38.61,39.26,38.36,38.42,10252100
2022-08-29 20:00:00-04:00,38.39,38.47,37.75,37.87,8960800
2022-08-30 20:00:00-04:00,37.77,38.03,36.94,37.12,13755400
2022-08-31 20:00:00-04:00,36.61,37.01,36.14,36.72,10440800
2022-09-01 20:00:00-04:00,37.52,38.21,36.81,37.40,10425900
2022-09-05 20:00:00-04:00,37.93,38.55,37.29,37.43,11968700
2022-09-06 20:00:00-04:00,37.50,38.90,37.20,38.52,8663400
2022-09-07 20:00:00-04:00,38.34,38.86,38.13,38.55,9129100
2022-09-08 20:00:00-04:00,39.18,39.48,38.86,39.26,7920300
2022-09-11 20:00:00-04:00,40.40,40.56,39.86,39.97,10767900
2022-09-12 20:00:00-04:00,38.83,39.84,38.73,39.14,10574800
2022-09-13 20:00:00-04:00,39.26,39.71,38.94,39.04,10266900
2022-09-14 20:00:00-04:00,38.84,39.40,38.15,38.56,10461600
2022-09-15 20:00:00-04:00,38.09,40.11,37.84,39.75,18207600
2022-09-18 20:00:00-04:00,39.30,40.27,39.04,40.26,9830900
2022-09-19 20:00:00-04:00,39.64,39.70,38.45,38.93,9205200
2022-09-20 20:00:00-04:00,39.20,39.47,38.09,38.56,10081500
2022-09-21 20:00:00-04:00,38.81,39.18,38.13,38.65,7662000
2022-09-22 20:00:00-04:00,37.73,37.85,36.83,37.52,11665100
2022-09-25 20:00:00-04:00,37.33,37.68,36.38,36.92,8349800
2022-09-26 20:00:00-04:00,37.46,37.72,36.60,36.62,7705500
2022-09-27 20:00:00-04:00,37.46,38.39,37.28,38.37,9165400
2022-09-28 20:00:00-04:00,37.91,38.28,37.42,37.98,8372500
2022-09-29 20:00:00-04:00,38.00,38.86,37.78,38.23,12612800
2022-10-02 20:00:00-04:00,38.91,40.05,38.53,39.75,12915400
2022-10-03 20:00:00-04:00,40.28,41.14,39.96,40.50,10705200
2022-10-04 20:00:00-04:00,39.85,40.08,39.01,39.93,9238800
2022-10-05 20:00:00-04:00,39.70,40.87,39.56,40.83,9552500
2022-10-06 20:00:00-04:00,40.29,40.65,38.73,38.74,9018200
2022-10-09 20:00:00-04:00,38.60,39.01,38.25,38.45,5587800
2022-10-10 20:00:00-04:00,38.41,39.07,37.87,38.03,7907300
2022-10-11 20:00:00-04:00,37.86,38.49,37.63,38.12,6090500
2022-10-12 20:00:00-04:00,37.21,38.07,36.42,37.85,7882600
2022-10-13 20:00:00-04:00,37.73,38.02,36.98,37.05,9793000
2022-10-16 20:00:00-04:00,37.84,38.18,37.51,37.57,7143400
2022-10-17 20:00:00-04:00,38.10,38.29,37.43,37.93,6404200
2022-10-18 20:00:00-04:00,37.39,37.43,36.68,36.72,7281400
2022-10-19 20:00:00-04:00,36.83,38.28,36.73,37.42,5802900
2022-10-20 20:00:00-04:00,37.64,38.72,37.43,38.53,10170400
2022-10-23 20:00:00-04:00,38.19,38.57,37.76,38.27,7132300
2022-10-24 20:00:00-04:00,38.40,39.08,38.24,38.85,8649200
2022-10-25 20:00:00-04:00,39.25,40.24,39.15,39.81,9087600
2022-10-26 20:00:00-04:00,39.99,39.99,39.08,39.16,7619400
2022-10-27 20:00:00-04:00,38.83,39.14,38.51,38.98,6940500
2022-10-30 20:00:00-04:00,38.55,38.96,38.17,38.49,7480300
2022-10-31 20:00:00-04:00,39.13,39.33,37.91,37.93,7684100
2022-11-01 20:00:00-04:00,38.12,38.81,35.88,35.95,14402400
2022-11-02 20:00:00-04:00,35.47,35.65,34.06,34.37,11497100
2022-11-03 20:00:00-04:00,35.71,37.42,35.52,37.28,11062800
2022-11-06 19:00:00-05:00,37.43,37.90,37.04,37.58,6176700
2022-11-07 19:00:00-05:00,37.56,40.76,37.40,39.79,11896700
2022-11-08 19:00:00-05:00,39.71,40.21,39.20,39.41,8827400
2022-11-09 19:00:00-05:00,41.63,42.67,41.40,42.21,11839200
2022-11-10 19:00:00-05:00,42.40,42.44,41.40,42.32,6814600
2022-11-13 19:00:00-05:00,41.99,42.66,41.92,42.10,6629600
2022-11-14 19:00:00-05:00,42.58,42.70,41.02,41.55,9158800
2022-11-15 19:00:00-05:00,41.58,42.24,41.36,41.37,5144000
2022-11-16 19:00:00-05:00,40.45,40.93,40.19,40.63,5938800
2022-11-17 19:00:00-05:00,40.80,41.05,40.30,41.05,6156000
2022-11-20 19:00:00-05:00,40.81,41.00,40.06,40.93,4503400
2022-11-21 19:00:00-05:00,41.28,42.01,41.07,41.95,6372200
2022-11-22 19:00:00-05:00,41.59,42.08,41.29,42.06,6395600
2022-11-24 19:00:00-05:00,42.17,42.37,41.65,41.70,2673200
2022-11-27 19:00:00-05:00,41.66,41.72,40.22,40.31,9250700
2022-11-28 19:00:00-05:00,40.74,41.66,40.68,41.62,5953400
2022-11-29 19:00:00-05:00,42.00,43.18,41.21,43.17,13739100
2022-11-30 19:00:00-05:00,44.04,45.16,43.80,44.17,10497300
2022-12-01 19:00:00-05:00,43.28,44.34,42.92,44.26,8205500
2022-12-04 19:00:00-05:00,43.99,44.28,42.89,43.17,7320500
2022-12-05 19:00:00-05:00,43.72,44.02,42.56,42.85,5537500
2022-12-06 19:00:00-05:00,43.25,43.88,43.00,43.43,7350100
2022-12-07 19:00:00-05:00,43.73,43.88,43.25,43.36,4621500
2022-12-08 19:00:00-05:00,43.60,44.08,42.68,42.70,9182000
2022-12-11 19:00:00-05:00,42.53,42.76,41.72,42.70,6633600
2022-12-12 19:00:00-05:00,44.46,44.86,42.97,43.39,8143600
2022-12-13 19:00:00-05:00,43.36,43.79,42.67,43.35,7553900
2022-12-14 19:00:00-05:00,42.15,42.92,41.86,41.93,7637300
2022-12-15 19:00:00-05:00,41.77,42.84,41.64,42.46,11664700
2022-12-18 19:00:00-05:00,42.38,42.75,41.71,41.96,6277700
2022-12-19 19:00:00-05:00,42.70,44.20,42.63,43.82,6202500
2022-12-20 19:00:00-05:00,44.08,44.58,43.30,43.55,6265000
2022-12-21 19:00:00-05:00,43.19,43.72,42.74,43.71,4673600
2022-12-22 19:00:00-05:00,43.83,44.52,43.27,44.03,4600000
2022-12-26 19:00:00-05:00,44.23,45.20,44.15,44.86,5575300
2022-12-27 19:00:00-05:00,44.52,44.57,43.28,43.59,5282900
2022-12-28 19:00:00-05:00,43.79,44.03,43.47,43.58,3899700
2022-12-29 19:00:00-05:00,43.79,43.80,42.93,43.43,3921900
2023-01-02 19:00:00-05:00,44.42,45.76,44.27,45.62,8431400
2023-01-03 19:00:00-05:00,46.56,47.72,46.31,47.40,11532000
2023-01-04 19:00:00-05:00,46.52,47.17,46.03,47.12,7037000
2023-01-05 19:00:00-05:00,48.14,49.04,47.32,48.49,7424900
2023-01-08 19:00:00-05:00,48.58,48.85,47.89,48.05,7561800
2023-01-09 19:00:00-05:00,48.30,48.98,48.05,48.91,4132300
2023-01-10 19:00:00-05:00,49.09,49.37,47.91,48.28,6124700
2023-01-11 19:00:00-05:00,49.30,49.31,48.41,49.14,6115600
2023-01-12 19:00:00-05:00,49.10,50.14,49.00,50.01,6547300
2023-01-16 19:00:00-05:00,49.43,49.58,48.06,48.28,7040800
2023-01-17 19:00:00-05:00,48.79,49.00,47.34,47.42,8275900
2023-01-18 19:00:00-05:00,47.27,48.65,46.82,48.28,6940000
2023-01-19 19:00:00-05:00,47.91,49.20,47.79,49.08,4858400
2023-01-22 19:00:00-05:00,48.57,49.45,48.22,49.35,4695400
2023-01-23 19:00:00-05:00,47.04,50.70,47.04,49.13,4508800
2023-01-24 19:00:00-05:00,48.82,50.99,48.73,50.70,6053700
2023-01-25 19:00:00-05:00,50.50,50.50,49.30,49.81,5633600
2023-01-26 19:00:00-05:00,49.75,49.75,48.97,49.07,5690200
2023-01-29 19:00:00-05:00,48.93,49.32,48.46,48.53,4590700
2023-01-30 19:00:00-05:00,48.29,48.71,48.03,48.71,7919700
2023-01-31 19:00:00-05:00,48.54,50.40,48.36,49.87,6598200
