Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,128.01,130.07,127.60,129.58,901900
2018-07-02 20:00:00-04:00,130.07,130.91,128.23,128.49,622400
2018-07-04 20:00:00-04:00,129.15,130.44,129.00,130.32,1174800
2018-07-05 20:00:00-04:00,130.57,132.19,129.68,131.54,1232200
2018-07-08 20:00:00-04:00,132.48,133.97,131.64,133.77,1114200
2018-07-09 20:00:00-04:00,133.74,135.39,133.39,135.11,2365900
2018-07-10 20:00:00-04:00,133.78,133.95,131.62,132.60,1647900
2018-07-11 20:00:00-04:00,133.98,134.79,133.00,134.09,2080900
2018-07-12 20:00:00-04:00,133.83,136.52,133.69,135.75,1748800
2018-07-15 20:00:00-04:00,136.47,136.47,131.10,132.15,2167700
2018-07-16 20:00:00-04:00,132.12,132.60,130.44,131.92,2105600
2018-07-17 20:00:00-04:00,134.89,137.06,134.63,136.13,2202400
2018-07-18 20:00:00-04:00,134.38,136.92,133.53,136.62,1916000
2018-07-19 20:00:00-04:00,135.75,138.48,135.72,137.78,1662900
2018-07-22 20:00:00-04:00,137.82,139.57,136.98,138.75,1546600
2018-07-23 20:00:00-04:00,139.52,140.00,135.95,136.62,2865200
2018-07-24 20:00:00-04:00,133.44,143.67,132.25,143.33,3612300
2018-07-25 20:00:00-04:00,145.15,147.11,143.18,144.36,2470300
2018-07-26 20:00:00-04:00,144.37,144.50,141.98,143.22,1862800
2018-07-29 20:00:00-04:00,143.29,145.52,143.25,143.43,1294800
2018-07-30 20:00:00-04:00,144.07,145.89,143.78,143.87,1687000
2018-07-31 20:00:00-04:00,143.91,144.50,142.65,142.96,1728500
2018-08-01 20:00:00-04:00,142.30,144.48,141.96,144.14,1310400
2018-08-02 20:00:00-04:00,145.02,146.87,144.43,146.80,1667100
2018-08-05 20:00:00-04:00,146.67,148.40,146.15,147.71,1646900
2018-08-06 20:00:00-04:00,148.03,149.20,147.86,148.12,1260700
2018-08-07 20:00:00-04:00,147.85,148.39,147.09,147.84,901200
2018-08-08 20:00:00-04:00,147.57,148.13,146.85,146.86,952900
2018-08-09 20:00:00-04:00,146.27,147.65,145.57,147.07,1191800
2018-08-12 20:00:00-04:00,147.86,148.17,146.22,146.37,1408000
2018-08-13 20:00:00-04:00,146.83,148.62,146.83,147.28,1634600
2018-08-14 20:00:00-04:00,147.55,147.96,145.97,147.00,2003100
2018-08-15 20:00:00-04:00,147.75,148.98,146.92,148.38,1370400
2018-08-16 20:00:00-04:00,148.65,149.69,148.61,148.89,1136600
2018-08-19 20:00:00-04:00,149.19,150.64,148.91,149.58,1039800
2018-08-20 20:00:00-04:00,149.97,151.13,149.74,150.61,1278700
2018-08-21 20:00:00-04:00,150.45,150.75,148.93,148.93,1174400
2018-08-22 20:00:00-04:00,148.93,149.53,148.08,148.52,1603800
