Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,21.02,21.11,20.67,20.91,2584200
2022-04-06 20:00:00-04:00,20.80,20.91,20.19,20.55,2221700
2022-04-07 20:00:00-04:00,20.50,20.76,20.26,20.59,1568600
2022-04-10 20:00:00-04:00,20.40,20.73,20.31,20.36,2195100
2022-04-11 20:00:00-04:00,20.47,20.73,20.08,20.22,2562800
2022-04-12 20:00:00-04:00,20.22,20.90,20.03,20.87,2358800
2022-04-13 20:00:00-04:00,20.92,21.06,20.32,20.43,2699500
2022-04-17 20:00:00-04:00,20.41,20.59,20.22,20.44,1769700
2022-04-18 20:00:00-04:00,20.48,21.02,20.37,20.97,2199700
2022-04-19 20:00:00-04:00,21.05,21.23,20.73,21.10,3122600
2022-04-20 20:00:00-04:00,21.28,21.42,20.57,20.60,1997100
2022-04-21 20:00:00-04:00,20.48,20.57,20.01,20.13,2423400
2022-04-24 20:00:00-04:00,20.03,20.18,19.60,20.15,2756400
2022-04-25 20:00:00-04:00,19.91,19.97,19.35,19.35,1906100
2022-04-26 20:00:00-04:00,19.26,19.64,19.21,19.55,2536700
2022-04-27 20:00:00-04:00,19.62,19.81,19.33,19.70,1872900
2022-04-28 20:00:00-04:00,19.60,19.83,19.14,19.16,2537700
2022-05-01 20:00:00-04:00,19.23,19.60,19.07,19.51,2881800
2022-05-02 20:00:00-04:00,19.58,19.70,19.21,19.50,3285400
2022-05-03 20:00:00-04:00,19.50,20.17,19.43,20.12,2381600
2022-05-04 20:00:00-04:00,20.02,20.07,18.72,19.04,3161000
2022-05-05 20:00:00-04:00,18.46,18.54,15.96,16.51,7510500
2022-05-08 20:00:00-04:00,16.32,17.02,16.32,16.89,6307700
2022-05-09 20:00:00-04:00,16.98,17.37,16.60,16.95,5591500
2022-05-10 20:00:00-04:00,16.82,17.33,16.28,16.31,5200600
2022-05-11 20:00:00-04:00,16.10,16.78,16.08,16.77,6613300
2022-05-12 20:00:00-04:00,16.89,17.33,16.72,17.21,3456400
2022-05-15 20:00:00-04:00,17.20,17.27,16.87,17.01,2717100
2022-05-16 20:00:00-04:00,17.38,17.73,17.38,17.62,3726200
2022-05-17 20:00:00-04:00,17.39,17.75,16.81,16.87,3229900
2022-05-18 20:00:00-04:00,16.74,17.09,16.65,16.89,4818400
2022-05-19 20:00:00-04:00,17.05,17.26,16.61,16.99,4727300
2022-05-22 20:00:00-04:00,17.23,17.27,16.69,16.81,3395500
2022-05-23 20:00:00-04:00,16.61,16.61,15.80,15.97,4137800
2022-05-24 20:00:00-04:00,15.92,16.40,15.80,16.26,2626100
2022-05-25 20:00:00-04:00,16.35,16.67,16.29,16.62,3346800
2022-05-26 20:00:00-04:00,16.73,17.06,16.65,17.06,1947300
2022-05-30 20:00:00-04:00,16.80,16.92,16.55,16.79,4435800
2022-05-31 20:00:00-04:00,16.87,17.01,16.32,16.61,4350500
