Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,45.89,46.84,45.50,46.74,7447500
2022-04-06 20:00:00-04:00,46.36,48.56,46.36,48.46,11257500
2022-04-07 20:00:00-04:00,48.33,49.80,48.23,49.10,7150500
2022-04-10 20:00:00-04:00,48.92,49.29,48.07,48.26,5473500
2022-04-11 20:00:00-04:00,48.34,48.81,47.61,47.84,6838500
2022-04-12 20:00:00-04:00,48.01,48.33,47.54,48.27,5769000
2022-04-13 20:00:00-04:00,48.30,48.63,47.52,47.59,6118500
2022-04-17 20:00:00-04:00,47.33,48.49,47.33,48.11,7045500
2022-04-18 20:00:00-04:00,48.21,48.89,48.15,48.69,7126500
2022-04-19 20:00:00-04:00,48.94,49.65,48.89,49.59,6474000
2022-04-20 20:00:00-04:00,49.77,49.91,48.44,48.54,6505500
2022-04-21 20:00:00-04:00,48.35,48.37,47.08,47.18,7246500
2022-04-24 20:00:00-04:00,47.13,47.73,46.61,47.56,7068000
2022-04-25 20:00:00-04:00,47.58,48.17,47.16,47.62,8266500
2022-04-26 20:00:00-04:00,47.62,48.17,47.17,47.55,9658500
2022-04-27 20:00:00-04:00,43.61,44.43,41.44,41.55,29757000
2022-04-28 20:00:00-04:00,41.66,42.02,40.40,40.44,17241000
2022-05-01 20:00:00-04:00,40.21,41.65,40.11,40.71,13764000
2022-05-02 20:00:00-04:00,40.81,40.92,39.75,40.23,10149000
2022-05-03 20:00:00-04:00,40.12,41.97,39.99,41.87,12252000
2022-05-04 20:00:00-04:00,41.62,41.83,39.80,40.24,10246500
2022-05-05 20:00:00-04:00,39.94,40.63,39.12,40.56,10252500
2022-05-08 20:00:00-04:00,40.25,40.97,40.01,40.67,13087500
2022-05-09 20:00:00-04:00,41.49,41.87,40.28,40.79,12642000
2022-05-10 20:00:00-04:00,40.54,41.32,40.25,40.50,12151500
2022-05-11 20:00:00-04:00,40.42,41.88,40.42,41.49,11563500
2022-05-12 20:00:00-04:00,41.30,42.88,41.27,42.37,8919000
2022-05-15 20:00:00-04:00,42.29,42.93,41.98,42.59,8491500
2022-05-16 20:00:00-04:00,43.27,43.49,42.41,43.22,8005500
2022-05-17 20:00:00-04:00,42.49,42.57,39.50,39.99,14455500
2022-05-18 20:00:00-04:00,39.84,40.66,39.09,40.10,12082500
2022-05-19 20:00:00-04:00,40.15,40.17,37.53,38.17,22702500
2022-05-22 20:00:00-04:00,38.70,38.88,37.84,38.61,13134000
2022-05-23 20:00:00-04:00,39.04,40.77,38.54,40.55,11533500
2022-05-24 20:00:00-04:00,40.54,41.27,40.27,41.05,10351500
2022-05-25 20:00:00-04:00,41.33,42.85,41.17,42.61,7884000
2022-05-26 20:00:00-04:00,42.60,43.33,42.60,43.16,7702500
2022-05-30 20:00:00-04:00,42.75,43.16,42.28,42.48,9886500
2022-05-31 20:00:00-04:00,42.67,42.73,41.60,41.64,8173500
2022-06-01 20:00:00-04:00,41.66,42.30,40.91,42.27,7531500
2022-06-02 20:00:00-04:00,42.12,42.52,40.83,42.11,5262000
2022-06-05 20:00:00-04:00,42.30,42.64,41.94,42.52,4720500
2022-06-06 20:00:00-04:00,42.16,42.47,41.74,42.32,4960500
2022-06-07 20:00:00-04:00,42.34,42.40,41.61,41.66,6090000
2022-06-08 20:00:00-04:00,41.33,42.24,41.24,41.28,8190000
2022-06-09 20:00:00-04:00,40.83,41.01,40.36,40.50,7881000
2022-06-12 20:00:00-04:00,39.73,40.31,39.33,39.62,11266500
2022-06-13 20:00:00-04:00,39.92,40.53,39.59,39.78,8221500
2022-06-14 20:00:00-04:00,40.48,40.48,39.59,39.93,7299000
2022-06-15 20:00:00-04:00,39.45,39.54,38.67,39.00,9601500
2022-06-16 20:00:00-04:00,39.00,39.52,38.75,39.11,16387500
2022-06-20 20:00:00-04:00,39.67,39.96,39.36,39.82,8235000
2022-06-21 20:00:00-04:00,39.55,40.93,39.45,40.59,9313500
2022-06-22 20:00:00-04:00,41.37,41.89,41.00,41.88,9957000
2022-06-23 20:00:00-04:00,42.01,42.68,41.72,42.60,13174500
2022-06-26 20:00:00-04:00,42.60,42.98,42.31,42.74,7155000
2022-06-27 20:00:00-04:00,42.81,43.37,42.00,42.03,6864000
2022-06-28 20:00:00-04:00,42.69,43.09,42.04,42.48,9526500
2022-06-29 20:00:00-04:00,42.17,42.66,41.73,42.12,9543000
2022-06-30 20:00:00-04:00,41.79,42.55,41.66,42.41,7987500
2022-07-04 20:00:00-04:00,42.26,43.29,41.76,43.17,6964500
2022-07-05 20:00:00-04:00,43.40,44.10,42.95,43.85,7246500
2022-07-06 20:00:00-04:00,43.84,44.29,43.65,44.11,7650000
2022-07-07 20:00:00-04:00,43.91,44.20,43.83,43.86,7201500
2022-07-10 20:00:00-04:00,43.98,44.13,43.63,43.69,4737000
2022-07-11 20:00:00-04:00,43.81,44.28,43.37,43.55,5202000
2022-07-12 20:00:00-04:00,43.17,44.70,43.17,44.48,5427000
2022-07-13 20:00:00-04:00,44.13,45.04,43.74,44.92,5359500
2022-07-14 20:00:00-04:00,45.14,45.60,44.95,45.55,5853000
2022-07-17 20:00:00-04:00,45.43,45.61,44.76,44.85,5760000
2022-07-18 20:00:00-04:00,45.37,46.03,45.15,45.95,5446500
2022-07-19 20:00:00-04:00,46.07,46.13,45.66,46.00,6175500
2022-07-20 20:00:00-04:00,45.90,45.97,45.18,45.72,7138500
2022-07-21 20:00:00-04:00,46.00,46.35,45.78,45.88,5076000
2022-07-24 20:00:00-04:00,45.94,46.07,45.54,45.68,4890000
2022-07-25 20:00:00-04:00,45.10,45.46,44.83,45.02,8347500
2022-07-26 20:00:00-04:00,45.05,46.01,44.36,45.96,11632500
2022-07-27 20:00:00-04:00,44.93,47.46,44.75,47.13,12786000
2022-07-28 20:00:00-04:00,46.82,47.13,46.53,46.91,7089000
2022-07-31 20:00:00-04:00,46.75,47.41,46.64,47.27,6636000
2022-08-01 20:00:00-04:00,47.11,47.44,46.74,47.23,6741000
2022-08-02 20:00:00-04:00,47.31,47.51,46.75,47.02,7600500
2022-08-03 20:00:00-04:00,47.20,47.45,46.90,47.13,7095000
2022-08-04 20:00:00-04:00,46.82,47.32,46.52,47.27,4954500
2022-08-07 20:00:00-04:00,47.62,47.83,47.21,47.48,4840500
2022-08-08 20:00:00-04:00,47.35,48.36,47.31,47.80,10008000
2022-08-09 20:00:00-04:00,48.20,48.65,47.85,47.99,8419500
2022-08-10 20:00:00-04:00,48.19,48.33,47.62,47.96,6127500
2022-08-11 20:00:00-04:00,48.08,48.83,47.91,48.77,7729500
2022-08-14 20:00:00-04:00,48.68,49.28,48.57,49.20,4657500
2022-08-15 20:00:00-04:00,48.95,50.06,48.95,49.51,7134000
2022-08-16 20:00:00-04:00,49.51,49.87,49.26,49.58,6369000
2022-08-17 20:00:00-04:00,49.61,49.80,49.04,49.11,4567500
2022-08-18 20:00:00-04:00,49.01,49.30,48.77,49.10,5061000
2022-08-21 20:00:00-04:00,49.00,49.00,48.24,48.29,5097000
2022-08-22 20:00:00-04:00,48.41,48.65,47.91,48.01,4128000
2022-08-23 20:00:00-04:00,47.67,47.85,47.29,47.41,7870500
2022-08-24 20:00:00-04:00,47.41,47.62,46.66,47.58,6222000
2022-08-25 20:00:00-04:00,47.90,47.93,46.50,46.59,5530500
2022-08-28 20:00:00-04:00,46.31,47.20,46.15,46.98,6528000
2022-08-29 20:00:00-04:00,46.95,47.11,46.42,46.55,6013500
2022-08-30 20:00:00-04:00,46.37,46.87,46.28,46.47,6531000
2022-08-31 20:00:00-04:00,46.62,47.15,46.42,47.10,5542500
2022-09-01 20:00:00-04:00,47.35,47.50,46.60,46.85,6316500
2022-09-05 20:00:00-04:00,46.80,47.57,46.80,47.17,7018500
2022-09-06 20:00:00-04:00,47.41,48.45,47.34,48.29,6589500
2022-09-07 20:00:00-04:00,48.12,48.58,47.97,48.58,4510500
2022-09-08 20:00:00-04:00,48.60,48.60,48.03,48.07,5286000
2022-09-11 20:00:00-04:00,48.27,48.64,48.25,48.49,7074000
2022-09-12 20:00:00-04:00,47.69,48.06,46.28,46.38,8440500
2022-09-13 20:00:00-04:00,46.66,46.66,45.44,45.96,7191000
2022-09-14 20:00:00-04:00,46.22,46.30,45.54,45.92,7444500
2022-09-15 20:00:00-04:00,45.81,46.34,45.56,46.23,16401000
2022-09-18 20:00:00-04:00,46.22,46.88,45.73,46.35,12132000
2022-09-19 20:00:00-04:00,46.04,46.93,45.90,46.74,6786000
2022-09-20 20:00:00-04:00,47.09,47.40,46.36,46.36,7302000
2022-09-21 20:00:00-04:00,46.25,46.44,45.61,46.24,5785500
2022-09-22 20:00:00-04:00,45.97,46.36,45.33,45.88,6930000
2022-09-25 20:00:00-04:00,45.86,46.90,45.86,46.25,8008500
2022-09-26 20:00:00-04:00,46.31,46.96,46.08,46.21,7546500
2022-09-27 20:00:00-04:00,46.74,48.14,46.45,47.84,8002500
2022-09-28 20:00:00-04:00,47.31,47.59,46.76,47.45,6673500
2022-09-29 20:00:00-04:00,47.50,47.57,46.73,46.89,7758000
2022-10-02 20:00:00-04:00,47.24,48.35,47.15,47.88,7171500
2022-10-03 20:00:00-04:00,48.17,49.05,48.17,48.65,7581000
2022-10-04 20:00:00-04:00,48.42,49.26,48.34,48.81,5238000
2022-10-05 20:00:00-04:00,49.09,49.32,48.74,48.83,4512000
2022-10-06 20:00:00-04:00,48.56,48.62,47.05,47.38,7000500
2022-10-09 20:00:00-04:00,47.48,48.51,47.21,48.30,5634000
2022-10-10 20:00:00-04:00,48.47,49.64,48.46,48.73,9796500
2022-10-11 20:00:00-04:00,49.04,49.04,48.38,48.50,6043500
2022-10-12 20:00:00-04:00,47.70,49.50,47.65,49.20,7878000
2022-10-13 20:00:00-04:00,49.67,49.76,48.76,48.79,7299000
2022-10-16 20:00:00-04:00,49.15,49.45,48.79,49.08,7189500
2022-10-17 20:00:00-04:00,49.86,49.87,49.00,49.47,5742000
2022-10-18 20:00:00-04:00,49.31,49.89,48.94,49.18,5592000
2022-10-19 20:00:00-04:00,49.28,49.47,48.50,48.73,6418500
2022-10-20 20:00:00-04:00,48.74,49.65,48.64,49.60,6274500
2022-10-23 20:00:00-04:00,50.00,51.34,49.99,51.23,8712000
2022-10-24 20:00:00-04:00,51.44,51.90,50.78,51.72,9780000
2022-10-25 20:00:00-04:00,51.90,52.04,51.22,51.83,11017500
2022-10-26 20:00:00-04:00,54.47,54.61,53.46,54.21,14197500
2022-10-27 20:00:00-04:00,54.09,55.95,53.98,55.75,8512500
2022-10-30 20:00:00-04:00,55.48,56.35,55.44,55.81,8023500
2022-10-31 20:00:00-04:00,55.90,55.96,55.26,55.60,8430000
2022-11-01 20:00:00-04:00,55.83,56.16,54.26,54.34,10336500
2022-11-02 20:00:00-04:00,54.16,54.94,53.91,54.62,5094000
2022-11-03 20:00:00-04:00,54.77,55.15,53.68,54.38,7101000
2022-11-06 19:00:00-05:00,54.42,55.40,54.39,55.35,5596500
2022-11-07 19:00:00-05:00,55.66,56.04,55.08,55.57,4642500
2022-11-08 19:00:00-05:00,55.35,56.08,55.16,55.25,6414000
2022-11-09 19:00:00-05:00,56.53,56.58,55.62,56.26,7015500
2022-11-10 19:00:00-05:00,55.96,56.15,53.92,54.37,9784500
2022-11-13 19:00:00-05:00,54.81,55.53,54.64,54.99,8434500
2022-11-14 19:00:00-05:00,55.04,55.20,53.88,55.01,8524500
2022-11-15 19:00:00-05:00,54.31,56.12,54.28,55.60,9468000
2022-11-16 19:00:00-05:00,55.60,55.72,54.81,55.33,5371500
2022-11-17 19:00:00-05:00,55.33,55.97,55.19,55.88,5991000
2022-11-20 19:00:00-05:00,56.13,56.82,56.02,56.43,7404000
2022-11-21 19:00:00-05:00,56.73,56.93,56.30,56.81,4992000
2022-11-22 19:00:00-05:00,56.72,57.01,56.67,56.72,3387000
2022-11-24 19:00:00-05:00,56.68,57.23,56.56,57.06,2313000
2022-11-27 19:00:00-05:00,56.75,57.43,56.75,56.84,6345000
2022-11-28 19:00:00-05:00,56.80,57.01,56.21,56.65,6174000
2022-11-29 19:00:00-05:00,56.49,58.06,56.35,57.64,11962500
2022-11-30 19:00:00-05:00,57.94,58.00,56.92,57.15,5092500
2022-12-01 19:00:00-05:00,56.60,57.28,56.45,57.23,5484000
2022-12-04 19:00:00-05:00,56.65,56.76,56.02,56.21,4974000
2022-12-05 19:00:00-05:00,56.00,56.08,54.72,55.31,10225500
2022-12-06 19:00:00-05:00,55.25,55.63,54.77,55.25,8370000
2022-12-07 19:00:00-05:00,55.47,55.98,55.44,55.76,4861500
2022-12-08 19:00:00-05:00,55.62,55.76,55.11,55.19,4908000
2022-12-11 19:00:00-05:00,55.40,55.66,54.94,55.62,5143500
2022-12-12 19:00:00-05:00,56.31,56.34,54.38,54.58,7816500
2022-12-13 19:00:00-05:00,54.73,55.08,53.81,54.30,7942500
