Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,53.99,55.09,52.31,52.81,27903000
2022-04-06 20:00:00-04:00,53.38,54.50,51.87,54.30,24408300
2022-04-07 20:00:00-04:00,54.32,58.45,54.19,58.18,41639000
2022-04-10 20:00:00-04:00,57.00,57.05,54.23,54.53,27618000
2022-04-11 20:00:00-04:00,55.53,57.77,55.45,55.68,26820900
2022-04-12 20:00:00-04:00,56.48,57.45,54.79,56.13,21358400
2022-04-13 20:00:00-04:00,55.76,56.83,55.27,55.86,18789400
2022-04-17 20:00:00-04:00,56.68,59.32,56.42,57.77,30802500
2022-04-18 20:00:00-04:00,56.52,57.87,56.32,56.84,19514600
2022-04-19 20:00:00-04:00,57.19,58.22,56.35,57.87,20837800
2022-04-20 20:00:00-04:00,58.09,59.84,55.09,55.73,32050400
2022-04-21 20:00:00-04:00,55.75,55.75,53.02,53.30,22816900
2022-04-24 20:00:00-04:00,51.42,52.06,48.51,51.70,32977000
2022-04-25 20:00:00-04:00,52.63,53.56,51.46,51.61,27151300
2022-04-26 20:00:00-04:00,51.59,53.10,50.09,52.33,20688500
2022-04-27 20:00:00-04:00,52.24,54.15,50.76,53.69,20633100
2022-04-28 20:00:00-04:00,53.87,54.34,51.47,51.86,19208600
2022-05-01 20:00:00-04:00,51.34,55.12,50.79,54.88,38104700
2022-05-02 20:00:00-04:00,54.40,56.95,54.37,55.77,24723400
2022-05-03 20:00:00-04:00,57.07,58.24,55.42,57.96,27975500
2022-05-04 20:00:00-04:00,59.84,60.72,56.90,58.64,42153600
2022-05-05 20:00:00-04:00,59.53,61.17,57.85,61.14,30897900
2022-05-08 20:00:00-04:00,59.41,59.55,53.75,54.45,40093500
2022-05-09 20:00:00-04:00,55.83,56.70,53.58,55.93,30590200
2022-05-10 20:00:00-04:00,56.43,59.71,55.50,56.58,36357100
2022-05-11 20:00:00-04:00,56.62,56.70,53.72,55.75,23862900
2022-05-12 20:00:00-04:00,57.21,60.69,57.19,60.33,35184900
2022-05-15 20:00:00-04:00,60.85,64.70,60.73,63.75,38650700
2022-05-16 20:00:00-04:00,64.84,65.12,63.19,63.96,28834800
2022-05-17 20:00:00-04:00,64.49,64.68,59.53,60.53,28649800
2022-05-18 20:00:00-04:00,59.34,61.88,59.15,60.21,27147600
2022-05-19 20:00:00-04:00,60.64,61.55,57.87,59.55,23803400
2022-05-22 20:00:00-04:00,59.85,61.91,59.12,61.59,24517300
2022-05-23 20:00:00-04:00,60.53,62.58,59.14,61.26,19892900
2022-05-24 20:00:00-04:00,61.76,62.74,61.23,62.50,18245000
2022-05-25 20:00:00-04:00,62.87,65.34,62.82,64.64,22548600
2022-05-26 20:00:00-04:00,64.56,67.10,63.77,66.71,20843900
2022-05-30 20:00:00-04:00,68.79,69.70,64.96,65.25,41019500
2022-05-31 20:00:00-04:00,66.49,66.93,64.19,66.29,28856900
2022-06-01 20:00:00-04:00,65.52,66.64,64.73,65.24,23447600
2022-06-02 20:00:00-04:00,65.37,67.13,65.32,66.17,23397800
2022-06-05 20:00:00-04:00,65.99,66.59,64.46,65.53,25654100
2022-06-06 20:00:00-04:00,64.58,67.28,64.22,66.42,25630500
2022-06-07 20:00:00-04:00,66.45,66.83,64.36,64.99,29262700
2022-06-08 20:00:00-04:00,64.14,64.93,61.45,61.48,25112700
2022-06-09 20:00:00-04:00,61.14,62.36,59.33,60.24,27407900
2022-06-12 20:00:00-04:00,57.88,58.29,55.12,56.43,34448400
2022-06-13 20:00:00-04:00,58.27,60.48,57.44,58.56,31328400
2022-06-14 20:00:00-04:00,57.70,58.46,55.87,56.86,29608900
2022-06-15 20:00:00-04:00,55.43,56.19,52.72,53.58,40604300
2022-06-16 20:00:00-04:00,53.24,53.94,51.26,52.52,51530800
2022-06-20 20:00:00-04:00,54.62,55.40,53.23,54.58,31096600
2022-06-21 20:00:00-04:00,51.89,53.73,51.22,52.60,37726100
2022-06-22 20:00:00-04:00,54.87,54.98,51.81,52.90,36861500
2022-06-23 20:00:00-04:00,54.54,56.53,53.57,54.25,45335600
2022-06-26 20:00:00-04:00,54.90,56.73,54.86,55.55,26793500
2022-06-27 20:00:00-04:00,57.51,59.39,56.74,58.20,39095200
2022-06-28 20:00:00-04:00,58.59,59.21,55.14,55.74,31710700
2022-06-29 20:00:00-04:00,54.66,56.41,54.21,55.54,27244400
2022-06-30 20:00:00-04:00,56.04,57.22,53.84,57.01,28036800
2022-07-04 20:00:00-04:00,55.70,56.17,53.50,55.75,39977000
2022-07-05 20:00:00-04:00,55.25,56.63,53.47,55.75,30682700
2022-07-06 20:00:00-04:00,57.39,58.61,57.39,57.98,25249700
2022-07-07 20:00:00-04:00,59.59,59.64,57.02,57.22,25463700
2022-07-10 20:00:00-04:00,56.20,56.58,55.35,56.14,17894700
