Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,39.70,39.96,38.86,39.28,3434600
2022-04-06 20:00:00-04:00,39.21,39.90,38.18,38.80,3502000
2022-04-07 20:00:00-04:00,38.74,40.40,38.52,39.21,3370600
2022-04-10 20:00:00-04:00,38.69,40.53,38.67,39.98,2118000
2022-04-11 20:00:00-04:00,41.10,41.60,40.05,40.30,7494600
2022-04-12 20:00:00-04:00,40.35,41.43,40.30,41.16,2141900
2022-04-13 20:00:00-04:00,41.27,41.88,40.51,40.69,1834700
2022-04-17 20:00:00-04:00,40.49,41.26,40.18,40.56,1976700
2022-04-18 20:00:00-04:00,40.83,42.33,40.60,42.12,2310700
2022-04-19 20:00:00-04:00,42.43,43.18,41.94,42.33,2251400
2022-04-20 20:00:00-04:00,43.13,43.37,41.51,41.75,1720100
2022-04-21 20:00:00-04:00,41.51,41.60,40.33,40.40,2152900
2022-04-24 20:00:00-04:00,40.19,42.21,39.43,42.10,2262500
2022-04-25 20:00:00-04:00,41.74,42.45,41.00,41.05,1898900
2022-04-26 20:00:00-04:00,41.15,41.61,39.94,40.15,2932700
2022-04-27 20:00:00-04:00,40.99,42.27,39.75,41.95,3014000
2022-04-28 20:00:00-04:00,42.17,42.56,40.13,40.26,2656200
2022-05-01 20:00:00-04:00,40.19,40.99,39.63,40.91,3546500
2022-05-02 20:00:00-04:00,40.92,42.44,40.55,42.04,6817100
2022-05-03 20:00:00-04:00,42.40,44.34,41.10,44.21,3321400
2022-05-04 20:00:00-04:00,43.24,43.49,41.20,41.74,2824900
2022-05-05 20:00:00-04:00,41.26,41.72,39.89,41.25,2262700
2022-05-08 20:00:00-04:00,40.59,42.21,40.52,41.13,3234000
2022-05-09 20:00:00-04:00,41.76,41.88,39.84,40.39,3411000
2022-05-10 20:00:00-04:00,40.19,40.50,38.78,39.03,3908800
2022-05-11 20:00:00-04:00,39.07,41.12,38.85,40.64,2741000
2022-05-12 20:00:00-04:00,40.92,41.61,40.43,41.00,5990900
2022-05-15 20:00:00-04:00,41.09,41.53,39.10,41.19,2827600
2022-05-16 20:00:00-04:00,42.13,42.96,41.24,42.84,6018800
2022-05-17 20:00:00-04:00,41.70,42.04,39.87,40.14,3210900
2022-05-18 20:00:00-04:00,40.14,41.19,39.96,40.17,3300700
2022-05-19 20:00:00-04:00,40.83,41.24,39.78,41.20,2171400
2022-05-22 20:00:00-04:00,41.68,41.82,40.12,40.90,2696800
2022-05-23 20:00:00-04:00,40.61,40.78,38.68,39.46,2940700
2022-05-24 20:00:00-04:00,39.43,41.64,39.33,41.42,2605500
2022-05-25 20:00:00-04:00,41.93,43.57,41.83,43.36,2534100
2022-05-26 20:00:00-04:00,43.54,44.06,43.01,44.04,2189500
2022-05-30 20:00:00-04:00,43.31,44.05,42.73,43.63,3045700
2022-05-31 20:00:00-04:00,43.91,44.05,43.02,43.30,2049200
2022-06-01 20:00:00-04:00,43.54,44.16,43.08,43.87,1691600
2022-06-02 20:00:00-04:00,43.22,44.00,42.91,43.44,1167300
2022-06-05 20:00:00-04:00,43.40,43.96,43.00,43.50,1587100
2022-06-06 20:00:00-04:00,42.73,43.74,42.45,43.67,2085400
2022-06-07 20:00:00-04:00,43.20,43.46,42.28,42.48,1736600
2022-06-08 20:00:00-04:00,42.24,43.37,42.17,42.55,1701100
2022-06-09 20:00:00-04:00,41.95,42.33,40.57,40.63,2270800
2022-06-12 20:00:00-04:00,39.41,40.36,38.31,38.66,4716900
2022-06-13 20:00:00-04:00,38.73,39.40,38.29,38.58,2747900
2022-06-14 20:00:00-04:00,38.90,39.29,37.34,38.14,2793600
2022-06-15 20:00:00-04:00,36.85,37.15,34.69,35.08,3090500
2022-06-16 20:00:00-04:00,34.85,35.44,33.88,35.06,8333200
2022-06-20 20:00:00-04:00,36.19,36.57,34.99,35.95,2909200
2022-06-21 20:00:00-04:00,34.74,37.11,34.66,36.68,4543500
2022-06-22 20:00:00-04:00,37.07,38.51,37.00,38.42,3264500
2022-06-23 20:00:00-04:00,38.58,39.53,38.16,39.07,3589000
2022-06-26 20:00:00-04:00,39.04,39.76,38.69,39.26,2195000
2022-06-27 20:00:00-04:00,39.45,39.89,38.54,38.57,2174800
2022-06-28 20:00:00-04:00,38.57,38.73,37.70,38.29,1920600
2022-06-29 20:00:00-04:00,37.82,38.84,37.41,38.33,2109400
2022-06-30 20:00:00-04:00,38.52,41.11,38.26,40.84,3384300
2022-07-04 20:00:00-04:00,40.17,42.31,39.91,42.29,3319000
2022-07-05 20:00:00-04:00,42.48,42.90,40.76,41.83,2758400
2022-07-06 20:00:00-04:00,41.97,42.49,41.21,42.15,1924700
2022-07-07 20:00:00-04:00,41.73,43.12,41.73,42.75,2341500
2022-07-10 20:00:00-04:00,42.54,43.32,42.37,42.56,2007300
2022-07-11 20:00:00-04:00,42.24,43.98,42.16,42.62,2853200
2022-07-12 20:00:00-04:00,41.49,43.17,40.96,42.88,1874400
2022-07-13 20:00:00-04:00,42.32,42.53,41.32,42.37,2959600
2022-07-14 20:00:00-04:00,43.19,43.29,41.56,42.51,1775900
2022-07-17 20:00:00-04:00,42.39,42.88,41.75,42.04,2118900
2022-07-18 20:00:00-04:00,42.56,43.38,41.79,43.09,2033000
2022-07-19 20:00:00-04:00,43.00,43.30,42.40,42.92,2210800
2022-07-20 20:00:00-04:00,42.42,44.12,41.59,44.09,2773400
2022-07-21 20:00:00-04:00,44.53,45.67,43.77,44.41,1912500
2022-07-24 20:00:00-04:00,43.76,43.89,42.84,43.24,2879200
2022-07-25 20:00:00-04:00,43.71,43.82,41.37,41.40,3209700
2022-07-26 20:00:00-04:00,41.04,42.45,40.25,42.23,3401000
2022-07-27 20:00:00-04:00,42.38,42.94,41.54,42.28,2697500
2022-07-28 20:00:00-04:00,42.27,42.44,41.32,42.19,2154000
2022-07-31 20:00:00-04:00,42.19,43.32,41.75,42.73,2776700
2022-08-01 20:00:00-04:00,42.19,42.43,40.32,40.34,2388200
2022-08-02 20:00:00-04:00,40.63,40.96,39.92,40.49,2340600
2022-08-03 20:00:00-04:00,40.39,41.69,40.03,41.23,2045800
2022-08-04 20:00:00-04:00,40.32,41.09,39.78,40.99,1510300
2022-08-07 20:00:00-04:00,41.31,42.52,41.26,42.10,1685400
2022-08-08 20:00:00-04:00,41.83,42.05,40.64,40.80,1776300
2022-08-09 20:00:00-04:00,42.03,43.27,42.03,42.69,1985400
2022-08-10 20:00:00-04:00,43.17,43.71,42.70,42.82,1975900
2022-08-11 20:00:00-04:00,42.89,43.51,42.61,43.48,1367900
2022-08-14 20:00:00-04:00,43.16,43.68,42.77,42.96,1350200
2022-08-15 20:00:00-04:00,42.68,43.60,42.20,43.09,1315000
2022-08-16 20:00:00-04:00,42.55,42.68,41.84,42.08,1075100
2022-08-17 20:00:00-04:00,42.15,42.42,41.72,42.28,1023300
2022-08-18 20:00:00-04:00,41.87,41.93,40.76,40.93,2217100
2022-08-21 20:00:00-04:00,40.37,40.50,39.58,39.65,1643900
2022-08-22 20:00:00-04:00,39.69,40.39,39.69,39.80,1402900
2022-08-23 20:00:00-04:00,39.48,41.13,39.30,40.71,1880200
2022-08-24 20:00:00-04:00,40.40,41.77,40.40,41.64,1700900
2022-08-25 20:00:00-04:00,41.62,41.78,39.52,39.70,1665700
2022-08-28 20:00:00-04:00,39.29,40.27,39.25,39.57,1969200
2022-08-29 20:00:00-04:00,39.96,40.21,39.21,39.64,1997500
2022-08-30 20:00:00-04:00,39.74,40.00,38.94,39.33,3292600
2022-08-31 20:00:00-04:00,38.94,39.36,38.31,39.23,2839800
2022-09-01 20:00:00-04:00,39.81,40.00,38.78,39.13,1810300
2022-09-05 20:00:00-04:00,39.18,39.27,38.13,38.51,2907600
2022-09-06 20:00:00-04:00,38.66,39.39,38.59,39.30,2029900
2022-09-07 20:00:00-04:00,38.89,39.53,38.51,39.48,2191100
2022-09-08 20:00:00-04:00,39.82,40.63,39.55,40.40,1837200
2022-09-11 20:00:00-04:00,40.74,41.24,40.52,40.75,1641200
2022-09-12 20:00:00-04:00,39.19,39.49,37.79,37.92,3404200
2022-09-13 20:00:00-04:00,38.11,38.18,37.11,37.64,2670800
2022-09-14 20:00:00-04:00,37.74,38.55,37.45,37.59,2290100
2022-09-15 20:00:00-04:00,37.28,38.38,37.16,38.07,6318700
2022-09-18 20:00:00-04:00,38.55,39.61,38.54,39.34,3144400
2022-09-19 20:00:00-04:00,38.60,39.01,38.32,38.67,2918200
2022-09-20 20:00:00-04:00,38.94,39.65,38.12,38.20,2213600
2022-09-21 20:00:00-04:00,37.91,38.55,37.56,37.78,3085500
2022-09-22 20:00:00-04:00,37.37,38.13,37.12,38.01,2625000
2022-09-25 20:00:00-04:00,37.77,38.08,36.77,36.81,1949800
2022-09-26 20:00:00-04:00,37.30,37.53,36.15,36.45,2067500
2022-09-27 20:00:00-04:00,36.97,38.59,36.66,38.29,2496200
2022-09-28 20:00:00-04:00,37.52,37.60,36.83,37.03,1821700
2022-09-29 20:00:00-04:00,36.97,37.18,36.35,36.41,2481600
2022-10-02 20:00:00-04:00,37.15,38.33,36.70,38.11,2542300
2022-10-03 20:00:00-04:00,38.81,39.82,38.81,39.80,2159400
2022-10-04 20:00:00-04:00,39.30,39.90,39.01,39.67,1957100
2022-10-05 20:00:00-04:00,39.51,40.29,39.34,40.07,1732700
2022-10-06 20:00:00-04:00,39.51,39.51,38.37,38.92,1950700
2022-10-09 20:00:00-04:00,39.29,39.42,38.39,38.70,1591800
2022-10-10 20:00:00-04:00,38.48,39.56,38.15,38.79,1647000
2022-10-11 20:00:00-04:00,38.74,38.93,37.84,37.87,2199700
2022-10-12 20:00:00-04:00,36.90,38.06,35.46,37.72,2804700
2022-10-13 20:00:00-04:00,37.96,38.29,36.14,36.49,2140400
2022-10-16 20:00:00-04:00,37.24,37.76,36.96,37.22,2066700
2022-10-17 20:00:00-04:00,37.98,38.53,37.61,38.48,2487000
2022-10-18 20:00:00-04:00,37.85,37.89,35.57,36.08,2849400
2022-10-19 20:00:00-04:00,36.23,37.09,35.44,35.53,2135000
2022-10-20 20:00:00-04:00,35.06,36.52,34.94,36.40,2764000
2022-10-23 20:00:00-04:00,36.73,37.08,36.13,36.86,3586200
2022-10-24 20:00:00-04:00,36.86,39.33,36.68,38.40,5781900
2022-10-25 20:00:00-04:00,37.96,38.75,37.67,37.75,3130300
2022-10-26 20:00:00-04:00,37.85,39.07,37.39,38.09,3234700
2022-10-27 20:00:00-04:00,37.84,39.27,37.66,39.16,2043200
2022-10-30 20:00:00-04:00,38.65,38.95,37.91,38.83,2742700
2022-10-31 20:00:00-04:00,39.72,39.85,38.29,38.64,2860400
2022-11-01 20:00:00-04:00,38.47,39.44,37.50,37.52,2584200
2022-11-02 20:00:00-04:00,36.72,36.97,35.98,36.14,2750900
2022-11-03 20:00:00-04:00,36.80,37.50,36.24,37.15,2192600
2022-11-06 19:00:00-05:00,37.39,37.64,36.54,37.59,2046400
2022-11-07 19:00:00-05:00,37.79,38.25,37.10,37.79,2991700
2022-11-08 19:00:00-05:00,37.48,39.05,37.20,37.46,2829100
2022-11-09 19:00:00-05:00,39.89,42.93,39.84,42.51,4704600
2022-11-10 19:00:00-05:00,42.55,43.57,42.22,43.08,2785300
2022-11-13 19:00:00-05:00,42.92,43.06,41.25,41.27,2646000
2022-11-14 19:00:00-05:00,42.31,43.01,41.46,42.35,2415000
2022-11-15 19:00:00-05:00,42.08,42.52,41.81,42.43,2262400
2022-11-16 19:00:00-05:00,41.31,41.65,40.51,41.59,1918900
2022-11-17 19:00:00-05:00,42.29,42.38,40.96,41.60,1442300
2022-11-20 19:00:00-05:00,41.58,41.59,40.83,41.18,1599200
2022-11-21 19:00:00-05:00,41.86,42.48,41.75,42.46,1540500
2022-11-22 19:00:00-05:00,42.46,43.49,42.06,43.40,1806800
2022-11-24 19:00:00-05:00,42.98,43.28,42.92,43.23,988000
2022-11-27 19:00:00-05:00,42.74,43.10,42.35,42.55,1910500
2022-11-28 19:00:00-05:00,42.22,43.02,42.14,42.81,1924000
2022-11-29 19:00:00-05:00,42.58,43.55,41.56,43.48,6002300
2022-11-30 19:00:00-05:00,44.04,44.79,43.52,43.84,2285500
2022-12-01 19:00:00-05:00,42.92,43.78,42.76,43.29,1467700
2022-12-04 19:00:00-05:00,42.41,42.85,42.19,42.44,1410400
2022-12-05 19:00:00-05:00,42.61,42.77,41.54,42.12,2177900
2022-12-06 19:00:00-05:00,42.42,43.56,42.28,43.30,1568400
2022-12-07 19:00:00-05:00,43.07,43.70,42.80,43.12,1468800
2022-12-08 19:00:00-05:00,42.56,43.18,42.35,42.64,1156300
2022-12-11 19:00:00-05:00,42.78,43.71,42.53,43.52,1944900
2022-12-12 19:00:00-05:00,45.95,46.39,44.28,44.62,2780200
2022-12-13 19:00:00-05:00,45.03,45.63,44.35,45.14,2773300
2022-12-14 19:00:00-05:00,43.98,46.16,43.75,45.85,4093600
2022-12-15 19:00:00-05:00,44.93,45.43,44.61,45.12,4336600
2022-12-18 19:00:00-05:00,44.71,45.02,43.85,43.93,2126600
2022-12-19 19:00:00-05:00,43.58,44.07,43.26,43.63,1616500
2022-12-20 19:00:00-05:00,44.36,44.90,44.18,44.59,1388400
2022-12-21 19:00:00-05:00,43.98,44.87,43.74,44.85,1211800
2022-12-22 19:00:00-05:00,44.54,44.87,44.18,44.62,963800
2022-12-26 19:00:00-05:00,44.43,44.87,44.18,44.70,1092200
2022-12-27 19:00:00-05:00,44.76,44.85,43.65,43.74,1221700
2022-12-28 19:00:00-05:00,43.89,44.97,43.45,44.65,930500
2022-12-29 19:00:00-05:00,44.11,44.59,43.96,44.36,1320800
2023-01-02 19:00:00-05:00,45.21,45.30,44.36,45.02,1500600
2023-01-03 19:00:00-05:00,45.68,46.44,45.33,46.20,2442900
2023-01-04 19:00:00-05:00,45.59,46.70,45.41,46.45,2150800
2023-01-05 19:00:00-05:00,46.79,47.29,46.60,47.07,1952700
2023-01-08 19:00:00-05:00,47.31,47.84,46.86,46.90,1506800
2023-01-09 19:00:00-05:00,46.51,47.27,46.20,47.19,1292900
2023-01-10 19:00:00-05:00,47.75,48.64,47.60,48.55,1848100
2023-01-11 19:00:00-05:00,48.71,49.22,47.86,49.02,2071700
2023-01-12 19:00:00-05:00,48.10,49.63,48.01,49.44,2086000
2023-01-16 19:00:00-05:00,49.51,50.06,49.27,49.76,2638400
2023-01-17 19:00:00-05:00,49.99,50.94,49.58,49.67,2472600
2023-01-18 19:00:00-05:00,49.64,49.75,48.61,48.90,1973300
2023-01-19 19:00:00-05:00,49.13,49.45,48.21,49.41,1945100
2023-01-22 19:00:00-05:00,49.24,50.13,49.13,49.75,1528400
2023-01-23 19:00:00-05:00,50.33,50.67,49.50,50.30,1704400
2023-01-24 19:00:00-05:00,49.81,50.85,49.73,50.65,1662100
2023-01-25 19:00:00-05:00,50.93,51.48,50.07,51.03,1800800
2023-01-26 19:00:00-05:00,50.85,51.83,50.65,51.27,2225200
2023-01-29 19:00:00-05:00,50.83,51.66,50.60,50.66,2971900
2023-01-30 19:00:00-05:00,54.76,55.52,53.66,55.43,7896100
2023-01-31 19:00:00-05:00,55.34,57.15,54.64,56.94,5325100
2023-02-01 19:00:00-05:00,57.61,59.33,57.46,58.73,3653700
2023-02-02 19:00:00-05:00,57.24,58.25,56.77,57.30,2772700
2023-02-05 19:00:00-05:00,56.52,56.67,55.86,56.01,2527300
2023-02-06 19:00:00-05:00,55.52,56.84,55.25,56.58,2849400
2023-02-07 19:00:00-05:00,56.24,56.25,53.85,54.09,3785800
2023-02-08 19:00:00-05:00,54.77,55.18,53.93,54.15,2636100
2023-02-09 19:00:00-05:00,53.83,54.78,53.81,54.55,2657600
2023-02-12 19:00:00-05:00,54.55,55.95,54.24,55.92,2632400
2023-02-13 19:00:00-05:00,55.22,55.95,54.81,55.03,2125300
2023-02-14 19:00:00-05:00,54.53,55.62,54.29,55.29,1496800
2023-02-15 19:00:00-05:00,54.11,54.95,53.82,54.48,2438200
2023-02-16 19:00:00-05:00,53.96,54.04,52.18,52.91,3175300
2023-02-20 19:00:00-05:00,51.50,52.51,51.24,51.41,2617900
2023-02-21 19:00:00-05:00,52.03,52.44,51.48,51.76,2212200
2023-02-22 19:00:00-05:00,52.12,52.83,51.45,52.62,1901100
2023-02-23 19:00:00-05:00,51.42,52.34,51.29,52.21,2756800
2023-02-26 19:00:00-05:00,52.93,53.11,52.13,52.33,1609600
2023-02-27 19:00:00-05:00,52.23,53.54,52.23,53.27,3437300
2023-02-28 19:00:00-05:00,53.01,53.98,52.74,52.83,2327400
2023-03-01 19:00:00-05:00,52.31,53.03,52.03,52.89,2146300
2023-03-02 19:00:00-05:00,53.60,54.15,53.09,53.78,2133200
2023-03-05 19:00:00-05:00,53.49,54.00,53.05,53.39,2817700
2023-03-06 19:00:00-05:00,53.60,53.93,52.64,52.66,2893000
2023-03-07 19:00:00-05:00,53.03,53.39,52.38,53.35,2886800
2023-03-08 19:00:00-05:00,53.43,54.41,53.01,53.05,2944600
2023-03-09 19:00:00-05:00,53.36,53.76,51.07,52.10,3497000
2023-03-12 20:00:00-04:00,51.06,53.24,50.90,52.82,4165700
2023-03-13 20:00:00-04:00,53.49,54.25,53.04,53.61,3146000
2023-03-14 20:00:00-04:00,53.03,54.39,52.18,53.22,3351600
2023-03-15 20:00:00-04:00,53.24,54.75,52.54,54.53,3010400
2023-03-16 20:00:00-04:00,54.68,54.76,53.67,54.16,8678900
2023-03-19 20:00:00-04:00,54.30,54.80,53.90,54.10,2707900
2023-03-20 20:00:00-04:00,54.64,55.21,54.34,54.55,2826800
2023-03-21 20:00:00-04:00,55.25,55.87,54.65,54.66,3243300
2023-03-22 20:00:00-04:00,55.50,56.57,54.59,55.10,2749400
2023-03-23 20:00:00-04:00,54.93,55.64,54.00,55.37,2105700
2023-03-26 20:00:00-04:00,55.63,56.13,55.18,55.26,1953900
2023-03-27 20:00:00-04:00,55.44,56.26,55.42,55.96,1683300
2023-03-28 20:00:00-04:00,56.38,56.63,55.47,55.85,1711500
2023-03-29 20:00:00-04:00,56.01,56.02,55.34,55.49,1456500
2023-03-30 20:00:00-04:00,55.51,57.05,55.51,56.95,2728800
2023-04-02 20:00:00-04:00,56.71,57.80,56.71,57.66,1893900
2023-04-03 20:00:00-04:00,57.53,57.89,56.68,57.09,2290100
2023-04-04 20:00:00-04:00,56.83,57.51,56.74,57.29,1932000
2023-04-05 20:00:00-04:00,57.03,57.24,56.09,56.52,2150700
2023-04-09 20:00:00-04:00,56.30,57.53,55.95,57.00,2976600
2023-04-10 20:00:00-04:00,57.66,58.88,57.55,58.40,3059700
2023-04-11 20:00:00-04:00,58.78,59.02,58.22,58.39,2115300
2023-04-12 20:00:00-04:00,58.71,58.71,57.84,57.86,2584000
2023-04-13 20:00:00-04:00,58.10,58.84,58.00,58.77,2915700
2023-04-16 20:00:00-04:00,58.60,59.41,58.58,59.21,2125000
2023-04-17 20:00:00-04:00,59.73,61.29,59.61,61.16,3667500
2023-04-18 20:00:00-04:00,60.76,61.16,60.33,61.02,2063900
2023-04-19 20:00:00-04:00,62.26,63.02,61.29,61.38,3213600
2023-04-20 20:00:00-04:00,61.42,61.73,60.76,61.40,2301000
2023-04-23 20:00:00-04:00,60.93,62.56,60.93,62.40,4045500
2023-04-24 20:00:00-04:00,63.34,64.57,63.03,63.47,6770700
2023-04-25 20:00:00-04:00,63.23,63.93,62.94,63.16,4256500
2023-04-26 20:00:00-04:00,64.02,64.76,63.38,64.76,3958200
2023-04-27 20:00:00-04:00,64.94,65.67,64.77,65.62,3065800
2023-04-30 20:00:00-04:00,65.52,65.86,64.07,64.28,3758400
2023-05-01 20:00:00-04:00,64.27,64.43,63.23,64.27,3898400
2023-05-02 20:00:00-04:00,64.50,65.68,64.47,64.97,4048100
2023-05-03 20:00:00-04:00,65.03,65.47,64.32,64.86,3393800
2023-05-04 20:00:00-04:00,65.23,65.69,64.54,65.49,2454600
2023-05-07 20:00:00-04:00,65.18,66.36,65.12,66.23,2101400
2023-05-08 20:00:00-04:00,66.41,67.16,66.10,66.19,3538200
2023-05-09 20:00:00-04:00,66.72,66.96,65.49,66.25,3006200
2023-05-10 20:00:00-04:00,66.40,66.70,65.95,66.57,1939100
2023-05-11 20:00:00-04:00,66.68,67.31,66.13,66.87,2560000
2023-05-14 20:00:00-04:00,66.70,67.12,66.28,66.99,2431100
2023-05-15 20:00:00-04:00,66.29,68.09,66.08,67.78,3037400
2023-05-16 20:00:00-04:00,67.66,68.26,67.35,67.92,2595100
2023-05-17 20:00:00-04:00,67.98,68.93,67.57,68.55,2702100
2023-05-18 20:00:00-04:00,68.66,68.76,67.14,67.60,2237400
2023-05-21 20:00:00-04:00,67.63,68.33,65.82,65.88,2771900
2023-05-22 20:00:00-04:00,64.91,64.92,63.67,64.19,4263800
