Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,145.90,150.90,145.02,150.41,3123000
2022-04-06 20:00:00-04:00,148.94,150.22,147.42,149.28,3142100
2022-04-07 20:00:00-04:00,148.73,149.78,147.56,149.12,1839600
2022-04-10 20:00:00-04:00,148.84,149.73,145.38,146.54,2455300
2022-04-11 20:00:00-04:00,146.37,147.49,145.31,146.19,3062200
2022-04-12 20:00:00-04:00,146.13,146.82,144.59,145.90,2556500
2022-04-13 20:00:00-04:00,146.75,147.12,143.69,143.86,2434100
2022-04-17 20:00:00-04:00,143.75,145.09,143.40,144.13,2502200
2022-04-18 20:00:00-04:00,146.91,150.49,146.12,149.93,3839500
2022-04-19 20:00:00-04:00,149.99,153.93,149.99,152.68,4116400
2022-04-20 20:00:00-04:00,154.21,154.33,150.98,151.01,2620300
2022-04-21 20:00:00-04:00,151.31,152.09,149.11,149.19,3139800
2022-04-24 20:00:00-04:00,149.53,149.53,144.49,148.31,2558300
2022-04-25 20:00:00-04:00,148.03,149.80,146.21,146.45,2605300
2022-04-26 20:00:00-04:00,146.77,150.55,146.08,148.26,2790900
2022-04-27 20:00:00-04:00,149.24,153.83,147.48,152.98,4046000
2022-04-28 20:00:00-04:00,150.55,150.55,141.17,141.73,9997100
2022-05-01 20:00:00-04:00,142.32,142.74,132.26,135.40,5868000
2022-05-02 20:00:00-04:00,136.29,136.98,133.28,134.72,4047600
2022-05-03 20:00:00-04:00,134.83,135.14,129.76,134.65,5070200
2022-05-04 20:00:00-04:00,134.54,135.43,127.51,128.19,5461500
2022-05-05 20:00:00-04:00,127.27,128.01,123.29,124.57,6534300
2022-05-08 20:00:00-04:00,123.22,123.30,116.83,117.04,5611100
2022-05-09 20:00:00-04:00,118.54,119.67,109.86,110.89,11362600
2022-05-10 20:00:00-04:00,110.98,114.49,109.22,109.41,8548500
2022-05-11 20:00:00-04:00,109.09,109.66,106.48,109.58,8153100
2022-05-12 20:00:00-04:00,110.80,113.75,110.11,113.49,6521900
2022-05-15 20:00:00-04:00,112.69,113.62,110.51,110.75,3719300
2022-05-16 20:00:00-04:00,111.77,111.81,108.96,111.32,3838000
2022-05-17 20:00:00-04:00,111.46,112.12,105.43,105.69,4898000
2022-05-18 20:00:00-04:00,104.82,107.21,104.52,105.86,5056100
2022-05-19 20:00:00-04:00,107.09,107.34,104.23,105.86,5146000
2022-05-22 20:00:00-04:00,107.62,108.03,104.53,106.53,5979100
2022-05-23 20:00:00-04:00,105.43,106.40,102.90,106.18,5617300
2022-05-24 20:00:00-04:00,105.95,107.15,105.16,106.13,4249500
2022-05-25 20:00:00-04:00,106.65,109.09,105.88,108.19,5025600
2022-05-26 20:00:00-04:00,108.69,113.38,108.64,112.53,4177000
