Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,87.97,88.53,86.64,87.93,2304300
2018-07-02 20:00:00-04:00,88.10,88.92,87.24,87.35,800600
2018-07-04 20:00:00-04:00,87.31,88.11,87.02,88.04,1445500
2018-07-05 20:00:00-04:00,87.66,88.50,87.25,88.21,1025400
2018-07-08 20:00:00-04:00,88.39,89.21,88.28,88.99,1171200
2018-07-09 20:00:00-04:00,89.16,89.81,88.81,89.75,1340700
2018-07-10 20:00:00-04:00,88.98,89.74,88.50,88.85,1683500
2018-07-11 20:00:00-04:00,89.44,89.44,88.46,88.92,1476800
2018-07-12 20:00:00-04:00,88.56,89.19,88.12,89.05,1568700
2018-07-15 20:00:00-04:00,88.93,89.09,87.27,87.67,2177000
2018-07-16 20:00:00-04:00,87.65,90.48,87.42,90.27,2170700
2018-07-17 20:00:00-04:00,91.06,92.02,90.45,91.42,2899700
2018-07-18 20:00:00-04:00,91.42,91.65,88.50,91.11,2543700
2018-07-19 20:00:00-04:00,90.67,90.72,89.75,89.92,1391700
2018-07-22 20:00:00-04:00,89.52,89.96,88.93,89.41,1772600
2018-07-23 20:00:00-04:00,89.73,91.23,89.39,90.82,1375500
2018-07-24 20:00:00-04:00,92.50,93.87,91.96,93.58,1933400
2018-07-25 20:00:00-04:00,93.65,95.06,93.46,94.77,1482900
2018-07-26 20:00:00-04:00,94.43,94.62,92.94,93.72,1259800
2018-07-29 20:00:00-04:00,93.83,95.09,93.39,93.98,1420700
2018-07-30 20:00:00-04:00,94.09,94.92,93.71,94.77,1390300
2018-07-31 20:00:00-04:00,94.41,95.19,93.93,93.97,1155500
2018-08-01 20:00:00-04:00,93.62,94.08,93.04,93.62,975400
2018-08-02 20:00:00-04:00,94.14,95.11,93.91,95.01,1041900
2018-08-05 20:00:00-04:00,94.52,94.92,93.95,94.47,854600
2018-08-06 20:00:00-04:00,94.67,94.91,94.06,94.17,581600
2018-08-07 20:00:00-04:00,94.34,94.34,92.98,93.56,797700
2018-08-08 20:00:00-04:00,93.59,94.63,92.98,93.94,1013200
2018-08-09 20:00:00-04:00,93.48,93.75,92.35,92.43,628200
2018-08-12 20:00:00-04:00,92.28,92.59,90.82,91.24,1272800
2018-08-13 20:00:00-04:00,91.23,92.22,91.23,91.91,771300
2018-08-14 20:00:00-04:00,91.62,92.21,90.69,92.06,1310100
2018-08-15 20:00:00-04:00,92.77,93.30,92.35,92.81,1213400
2018-08-16 20:00:00-04:00,92.91,93.54,92.45,93.26,773200
2018-08-19 20:00:00-04:00,93.63,95.04,93.32,94.38,1488800
2018-08-20 20:00:00-04:00,94.60,96.17,94.36,95.54,1587700
2018-08-21 20:00:00-04:00,95.51,95.76,94.85,95.13,1271900
2018-08-22 20:00:00-04:00,94.84,95.30,94.31,94.42,1389900
2018-08-23 20:00:00-04:00,94.82,95.33,94.39,95.15,869000
2018-08-26 20:00:00-04:00,95.29,95.86,95.10,95.59,1137300
2018-08-27 20:00:00-04:00,95.79,95.79,94.29,94.50,1505700
2018-08-28 20:00:00-04:00,94.61,96.18,94.08,96.04,1406500
2018-08-29 20:00:00-04:00,95.77,95.77,94.80,95.18,887500
2018-08-30 20:00:00-04:00,94.93,95.71,94.49,95.08,956900
2018-09-03 20:00:00-04:00,95.05,95.11,93.82,94.51,924600
2018-09-04 20:00:00-04:00,94.05,95.47,93.55,95.13,1633100
2018-09-05 20:00:00-04:00,95.43,96.52,95.07,96.34,1297300
2018-09-06 20:00:00-04:00,95.84,96.22,95.11,95.91,859500
2018-09-09 20:00:00-04:00,96.44,96.79,95.85,96.41,984600
2018-09-10 20:00:00-04:00,96.03,97.28,95.77,96.84,1288600
2018-09-11 20:00:00-04:00,96.68,96.83,95.92,96.36,1214700
2018-09-12 20:00:00-04:00,97.12,97.88,96.63,97.15,1032600
2018-09-13 20:00:00-04:00,97.04,97.41,95.92,96.48,1316100
2018-09-16 20:00:00-04:00,96.58,97.55,96.25,97.19,1414800
2018-09-17 20:00:00-04:00,97.61,97.84,96.78,97.43,998100
2018-09-18 20:00:00-04:00,97.76,99.11,97.44,98.96,1529700
2018-09-19 20:00:00-04:00,99.43,100.21,99.10,99.71,1259900
2018-09-20 20:00:00-04:00,100.22,100.40,99.40,99.76,3487400
2018-09-23 20:00:00-04:00,97.20,98.06,94.83,96.93,2396500
