Date,Open,High,Low,Close,Volume
2025-10-26 20:00:00-04:00,70.37,101.33,70.37,95.12,69700
2025-10-27 20:00:00-04:00,98.82,103.30,92.83,94.56,172600
2025-10-28 20:00:00-04:00,94.32,96.71,91.94,93.86,91700
2025-10-29 20:00:00-04:00,93.92,94.80,91.50,93.22,122600
2025-10-30 20:00:00-04:00,94.82,95.80,91.23,94.82,282500
2025-11-02 19:00:00-05:00,97.81,100.35,94.82,96.82,10626200
2025-11-03 19:00:00-05:00,99.31,103.80,97.61,100.72,6091300
2025-11-04 19:00:00-05:00,104.81,105.20,93.20,99.46,7108500
2025-11-05 19:00:00-05:00,99.81,100.96,93.15,93.15,4096200
2025-11-06 19:00:00-05:00,91.98,94.82,88.51,92.13,3282800
2025-11-09 19:00:00-05:00,94.75,99.20,93.42,96.42,3220400
2025-11-10 19:00:00-05:00,98.26,101.96,95.32,96.35,2492600
2025-11-11 19:00:00-05:00,96.49,96.49,91.08,91.79,2740700
2025-11-12 19:00:00-05:00,91.33,91.58,84.66,85.74,3926100
2025-11-13 19:00:00-05:00,83.99,86.88,81.47,83.32,2466200
2025-11-16 19:00:00-05:00,81.47,83.94,79.05,81.31,2504600
2025-11-17 19:00:00-05:00,79.35,81.87,77.86,78.83,3116500
2025-11-18 19:00:00-05:00,78.98,80.16,75.58,79.47,3325400
2025-11-19 19:00:00-05:00,81.85,83.34,74.36,74.76,3072500
2025-11-20 19:00:00-05:00,74.83,77.79,73.08,75.66,2736100
2025-11-23 19:00:00-05:00,76.19,76.59,72.67,73.40,5002100
2025-11-24 19:00:00-05:00,72.86,78.91,72.80,77.86,3033500
2025-11-25 19:00:00-05:00,77.80,80.59,76.85,79.08,2234700
2025-11-27 19:00:00-05:00,79.19,81.16,79.19,81.00,947300
2025-11-30 19:00:00-05:00,78.91,81.00,77.33,77.51,1622200
2025-12-01 19:00:00-05:00,78.08,80.40,77.88,79.66,2182000
2025-12-02 19:00:00-05:00,79.88,80.96,78.81,80.19,1244700
2025-12-03 19:00:00-05:00,79.91,83.47,79.72,83.36,1826200
2025-12-04 19:00:00-05:00,83.31,83.75,81.73,81.95,1980300
2025-12-07 19:00:00-05:00,81.86,84.59,81.73,84.20,1653000
2025-12-08 19:00:00-05:00,83.90,85.13,83.62,84.99,1404900
2025-12-09 19:00:00-05:00,83.69,87.85,82.64,86.10,2396800
2025-12-10 19:00:00-05:00,85.66,86.14,83.41,84.70,2563500
2025-12-11 19:00:00-05:00,84.28,84.49,78.26,78.85,2778200
2025-12-14 19:00:00-05:00,79.56,80.63,75.57,76.54,2338300
2025-12-15 19:00:00-05:00,76.41,79.04,76.05,78.41,2971700
2025-12-16 19:00:00-05:00,78.84,78.89,75.58,76.17,2017500
2025-12-17 19:00:00-05:00,78.23,80.60,77.67,78.94,2565700
2025-12-18 19:00:00-05:00,79.28,79.91,77.09,79.61,6553300
2025-12-21 19:00:00-05:00,80.87,82.64,80.45,81.80,1723300
2025-12-22 19:00:00-05:00,81.45,83.16,81.04,83.07,1244100
2025-12-23 19:00:00-05:00,83.27,83.54,82.62,83.27,637000
2025-12-25 19:00:00-05:00,83.53,84.33,83.38,84.11,851200
2025-12-28 19:00:00-05:00,83.90,84.28,82.91,83.49,1117700
2025-12-29 19:00:00-05:00,84.01,84.90,83.38,83.91,1142800
2025-12-30 19:00:00-05:00,83.99,83.99,81.47,81.56,1098000
2026-01-01 19:00:00-05:00,81.60,86.22,81.52,84.88,1221100
2026-01-04 19:00:00-05:00,84.90,86.77,84.88,85.01,1269500
2026-01-05 19:00:00-05:00,85.11,91.80,84.90,91.04,2103900
2026-01-06 19:00:00-05:00,91.89,92.83,89.24,90.21,1655400
2026-01-07 19:00:00-05:00,89.81,90.64,88.23,89.40,2336800
2026-01-08 19:00:00-05:00,90.07,91.78,88.74,90.21,2140500
2026-01-11 19:00:00-05:00,89.85,92.84,89.24,90.81,2865300
2026-01-12 19:00:00-05:00,90.99,91.93,88.83,89.57,2735400
2026-01-13 19:00:00-05:00,88.35,89.84,85.57,89.78,1266400
2026-01-14 19:00:00-05:00,93.53,97.73,92.78,93.01,4533800
2026-01-15 19:00:00-05:00,94.06,100.02,93.85,97.14,4156500
2026-01-19 19:00:00-05:00,93.86,97.52,93.01,95.02,1719400
2026-01-20 19:00:00-05:00,96.51,103.75,95.23,102.58,4158800
2026-01-21 19:00:00-05:00,105.88,107.72,97.79,98.65,3652300
2026-01-22 19:00:00-05:00,97.39,97.89,94.85,96.00,2288600
2026-01-25 19:00:00-05:00,96.21,99.22,95.13,96.63,1813900
2026-01-26 19:00:00-05:00,97.68,100.49,97.68,99.34,1286000
2026-01-27 19:00:00-05:00,100.82,102.98,99.14,102.31,2381800
2026-01-28 19:00:00-05:00,102.56,102.88,96.31,99.80,1573700
2026-01-29 19:00:00-05:00,98.78,99.78,95.90,96.07,2547600
2026-02-01 19:00:00-05:00,96.12,100.71,95.79,100.55,1998200
2026-02-02 19:00:00-05:00,100.19,102.32,97.40,99.77,2412600
2026-02-03 19:00:00-05:00,99.94,100.80,92.74,95.40,2481600
2026-02-04 19:00:00-05:00,94.46,96.89,92.56,92.66,1515000
2026-02-05 19:00:00-05:00,94.88,99.68,93.89,98.11,1739300
2026-02-08 19:00:00-05:00,98.40,106.17,97.52,105.08,2784200
2026-02-09 19:00:00-05:00,108.14,112.28,107.23,109.17,4257600
2026-02-10 19:00:00-05:00,110.49,114.75,108.94,114.38,3003500
2026-02-11 19:00:00-05:00,115.34,117.56,107.45,108.42,2665700
2026-02-12 19:00:00-05:00,108.92,113.75,107.95,111.56,2743800
2026-02-16 19:00:00-05:00,110.80,113.09,107.96,111.81,1940500
2026-02-17 19:00:00-05:00,111.71,117.02,111.52,115.12,3416700
2026-02-18 19:00:00-05:00,114.48,114.97,110.41,112.73,1656500
2026-02-19 19:00:00-05:00,111.54,116.07,111.11,113.33,2209100
2026-02-22 19:00:00-05:00,112.62,113.61,109.97,111.45,2343700
2026-02-23 19:00:00-05:00,112.26,117.78,112.26,116.66,2421600
2026-02-24 19:00:00-05:00,117.87,120.11,116.43,119.72,4119500
2026-02-25 19:00:00-05:00,139.78,140.44,116.87,124.64,8400000
2026-02-26 19:00:00-05:00,122.47,127.12,120.84,126.70,4738800
2026-03-01 19:00:00-05:00,124.37,126.01,121.23,124.01,2131800
2026-03-02 19:00:00-05:00,117.22,119.25,113.65,116.06,3234900
2026-03-03 19:00:00-05:00,118.91,120.58,116.78,119.97,2507700
2026-03-04 19:00:00-05:00,117.05,119.69,113.38,115.86,2172500
2026-03-05 19:00:00-05:00,112.00,115.86,109.22,110.08,2299000
2026-03-08 20:00:00-04:00,106.94,114.29,105.95,114.19,1996000
2026-03-09 20:00:00-04:00,113.40,117.10,112.53,113.91,1973300
2026-03-10 20:00:00-04:00,113.83,116.60,113.73,116.21,2475600
2026-03-11 20:00:00-04:00,113.44,113.73,105.36,106.99,2623300
2026-03-12 20:00:00-04:00,108.85,110.22,106.69,109.00,2173800
2026-03-15 20:00:00-04:00,111.89,113.16,109.84,112.19,1830700
2026-03-16 20:00:00-04:00,112.32,113.53,110.34,113.51,1164300
2026-03-17 20:00:00-04:00,112.48,116.14,112.34,113.92,1307200
2026-03-18 20:00:00-04:00,109.80,113.72,108.52,111.88,2290000
2026-03-19 20:00:00-04:00,111.01,111.89,106.17,107.54,5038800
2026-03-22 20:00:00-04:00,111.95,117.80,110.96,114.86,2830100
2026-03-23 20:00:00-04:00,113.65,119.25,113.65,118.28,1709400
2026-03-24 20:00:00-04:00,119.94,122.58,119.32,120.20,1274800
2026-03-25 20:00:00-04:00,117.04,118.91,112.13,112.72,1603200
2026-03-26 20:00:00-04:00,111.16,113.00,109.64,111.70,1473800
2026-03-29 20:00:00-04:00,113.73,113.91,106.12,107.06,1858300
2026-03-30 20:00:00-04:00,109.06,115.45,108.04,115.32,1560600
2026-03-31 20:00:00-04:00,115.86,120.76,115.86,118.50,1266300
2026-04-01 20:00:00-04:00,113.91,120.37,112.52,116.47,791700
2026-04-05 20:00:00-04:00,116.94,118.99,115.26,118.81,1021500
2026-04-06 20:00:00-04:00,117.06,119.86,116.31,118.93,1312700
2026-04-07 20:00:00-04:00,126.44,131.84,124.56,129.27,2252000
2026-04-08 20:00:00-04:00,128.68,132.42,128.68,129.81,1578400
2026-04-09 20:00:00-04:00,131.39,132.14,130.04,130.58,1390100
2026-04-12 20:00:00-04:00,130.01,134.99,129.71,134.95,1517800
2026-04-13 20:00:00-04:00,135.62,136.24,131.68,132.70,1264200
2026-04-14 20:00:00-04:00,131.66,132.68,129.13,131.72,1307300
2026-04-15 20:00:00-04:00,130.32,132.16,129.19,131.23,1188000
2026-04-16 20:00:00-04:00,134.20,137.73,133.80,136.22,1399900
2026-04-19 20:00:00-04:00,136.18,138.21,134.92,138.03,1032200
2026-04-20 20:00:00-04:00,138.83,139.06,133.74,134.78,1209900
2026-04-21 20:00:00-04:00,137.31,139.72,135.93,139.18,1379200
2026-04-22 20:00:00-04:00,138.53,145.93,138.33,140.06,2629000
2026-04-23 20:00:00-04:00,142.81,146.60,141.36,144.41,1602100
2026-04-26 20:00:00-04:00,143.94,144.77,137.94,143.78,2116000
2026-04-27 20:00:00-04:00,138.78,141.10,135.13,137.52,1423300
2026-04-28 20:00:00-04:00,139.26,141.93,137.30,141.23,1917500
2026-04-29 20:00:00-04:00,143.01,144.82,137.28,140.59,2511000
2026-04-30 20:00:00-04:00,141.03,143.65,138.50,143.26,1220200
2026-05-03 20:00:00-04:00,143.19,143.65,139.73,140.99,1196100
2026-05-04 20:00:00-04:00,143.67,147.92,143.43,146.40,1131400
2026-05-05 20:00:00-04:00,147.97,151.28,145.05,149.36,1859500
2026-05-06 20:00:00-04:00,150.82,150.83,142.44,143.52,1953400
2026-05-07 20:00:00-04:00,147.71,149.23,145.49,147.26,2008400
2026-05-10 20:00:00-04:00,147.73,156.45,147.34,153.16,3341500
2026-05-11 20:00:00-04:00,160.97,168.44,153.38,168.28,4434400
2026-05-12 20:00:00-04:00,170.63,171.43,160.14,161.94,2660600
2026-05-13 20:00:00-04:00,163.52,165.48,160.81,164.04,2162300
2026-05-14 20:00:00-04:00,157.27,159.01,154.44,157.15,1678400
2026-05-17 20:00:00-04:00,157.90,157.93,145.50,148.96,2181100
2026-05-18 20:00:00-04:00,144.23,147.48,141.50,145.17,1618400
2026-05-19 20:00:00-04:00,149.01,154.28,147.93,152.96,1544700
2026-05-20 20:00:00-04:00,152.76,153.80,150.15,152.68,1449500
2026-05-21 20:00:00-04:00,154.92,157.66,153.21,156.85,1564800
2026-05-25 20:00:00-04:00,161.30,165.17,158.92,164.49,1581100
2026-05-26 20:00:00-04:00,166.43,166.98,156.92,159.03,1702200
2026-05-27 20:00:00-04:00,159.92,160.42,155.87,158.88,1396300
2026-05-28 20:00:00-04:00,159.00,160.95,154.50,156.00,2500900
2026-05-31 20:00:00-04:00,152.10,154.50,148.92,151.92,2210400
2026-06-01 20:00:00-04:00,153.37,156.64,152.42,155.74,2460700
2026-06-02 20:00:00-04:00,155.61,159.33,154.95,155.00,1731000
2026-06-03 20:00:00-04:00,151.43,156.89,150.10,154.80,1255800
2026-06-04 20:00:00-04:00,150.00,150.26,141.47,142.05,1863000
2026-06-07 20:00:00-04:00,146.65,146.81,141.91,144.45,1375900
2026-06-08 20:00:00-04:00,146.97,150.96,135.20,144.70,1677200
2026-06-09 20:00:00-04:00,141.67,146.27,137.60,139.74,1918800
2026-06-10 20:00:00-04:00,143.75,150.12,141.84,149.12,1484100
2026-06-11 20:00:00-04:00,148.86,152.49,147.02,150.65,1350700
2026-06-14 20:00:00-04:00,157.40,161.83,153.75,161.02,1637500
2026-06-15 20:00:00-04:00,159.44,160.54,152.17,152.24,1364200
2026-06-16 20:00:00-04:00,156.20,162.85,156.20,156.72,2258400
2026-06-17 20:00:00-04:00,160.45,170.07,159.50,168.98,5672900
2026-06-21 20:00:00-04:00,174.96,177.28,170.37,175.64,4092800
2026-06-22 20:00:00-04:00,163.98,167.13,160.08,161.19,2416700
2026-06-23 20:00:00-04:00,162.16,165.59,156.16,158.73,1780900
2026-06-24 20:00:00-04:00,166.00,170.00,159.40,167.49,1355900
2026-06-25 20:00:00-04:00,161.23,162.52,155.50,158.20,1913400
2026-06-28 20:00:00-04:00,158.00,161.45,149.29,158.23,3859300
