Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,95.65,96.73,95.27,96.50,2806300
2018-07-02 20:00:00-04:00,96.94,97.70,95.77,96.01,1326800
2018-07-04 20:00:00-04:00,96.54,97.07,95.98,96.42,1397800
2018-07-05 20:00:00-04:00,96.52,97.44,96.03,97.22,1633400
2018-07-08 20:00:00-04:00,98.51,100.41,98.05,100.39,2270200
2018-07-09 20:00:00-04:00,100.27,101.59,99.81,101.30,1441000
2018-07-10 20:00:00-04:00,99.96,101.59,99.88,101.40,1525400
2018-07-11 20:00:00-04:00,101.82,102.60,100.86,101.12,1694700
2018-07-12 20:00:00-04:00,101.37,102.38,99.50,100.13,1548500
2018-07-15 20:00:00-04:00,100.68,101.34,99.80,101.25,1309300
2018-07-16 20:00:00-04:00,100.92,102.49,100.58,101.50,1171400
2018-07-17 20:00:00-04:00,104.66,106.16,103.07,104.72,2557100
2018-07-18 20:00:00-04:00,104.43,104.89,103.30,103.48,1283300
2018-07-19 20:00:00-04:00,103.07,103.53,102.21,102.62,1001900
2018-07-22 20:00:00-04:00,102.73,103.21,101.74,101.87,1088900
2018-07-23 20:00:00-04:00,102.11,102.34,100.78,101.34,1205100
2018-07-24 20:00:00-04:00,101.75,102.94,100.61,102.82,1137600
2018-07-25 20:00:00-04:00,102.43,104.27,102.42,103.55,1268000
2018-07-26 20:00:00-04:00,104.19,104.58,103.25,103.75,1283700
2018-07-29 20:00:00-04:00,103.80,103.90,102.21,103.06,1203500
2018-07-30 20:00:00-04:00,103.60,104.93,102.59,104.67,1663500
2018-07-31 20:00:00-04:00,104.97,105.12,102.09,102.09,1864400
2018-08-01 20:00:00-04:00,101.56,108.25,96.76,106.14,5626500
2018-08-02 20:00:00-04:00,106.56,108.05,104.32,104.35,2241200
2018-08-05 20:00:00-04:00,103.88,104.16,102.48,103.67,2501900
2018-08-06 20:00:00-04:00,103.85,104.63,103.53,104.15,1387200
2018-08-07 20:00:00-04:00,104.34,104.75,102.86,103.12,1328200
2018-08-08 20:00:00-04:00,105.18,107.07,104.90,105.98,2041000
2018-08-09 20:00:00-04:00,105.88,107.17,105.40,105.48,1611700
2018-08-12 20:00:00-04:00,105.32,107.10,104.94,105.46,1329800
2018-08-13 20:00:00-04:00,105.47,108.45,105.32,108.03,1824000
2018-08-14 20:00:00-04:00,107.19,107.47,105.39,106.25,1288600
2018-08-15 20:00:00-04:00,107.33,107.92,106.77,107.20,1060800
2018-08-16 20:00:00-04:00,107.02,107.92,106.55,107.41,1068900
2018-08-19 20:00:00-04:00,107.84,108.78,107.51,108.43,1204600
2018-08-20 20:00:00-04:00,108.74,111.14,108.74,109.99,1604300
