Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,687.36,705.53,685.38,703.61,683500
2022-04-06 20:00:00-04:00,701.50,721.10,701.47,716.96,828000
2022-04-07 20:00:00-04:00,720.13,742.40,720.13,733.88,1030100
2022-04-10 20:00:00-04:00,731.70,736.87,717.18,717.52,709000
2022-04-11 20:00:00-04:00,715.82,721.46,706.91,710.99,488800
2022-04-12 20:00:00-04:00,711.55,728.06,711.55,726.98,526200
2022-04-13 20:00:00-04:00,727.34,734.03,726.04,728.10,795700
2022-04-17 20:00:00-04:00,721.93,727.09,714.44,718.35,313300
2022-04-18 20:00:00-04:00,719.34,720.94,705.83,711.41,468000
2022-04-19 20:00:00-04:00,715.24,716.88,708.23,714.79,413700
2022-04-20 20:00:00-04:00,714.18,720.45,700.37,701.37,535200
2022-04-21 20:00:00-04:00,696.82,704.30,681.65,683.46,609400
2022-04-24 20:00:00-04:00,680.11,685.93,668.58,685.70,514300
2022-04-25 20:00:00-04:00,678.43,687.86,669.37,670.29,538500
2022-04-26 20:00:00-04:00,675.55,679.36,667.59,668.99,406600
2022-04-27 20:00:00-04:00,668.99,672.95,656.39,671.05,555600
2022-04-28 20:00:00-04:00,669.43,672.10,651.50,654.69,678300
2022-05-01 20:00:00-04:00,652.56,653.83,636.87,647.64,737400
2022-05-02 20:00:00-04:00,653.68,660.84,645.87,656.06,538700
2022-05-03 20:00:00-04:00,656.86,661.78,632.53,656.43,998100
2022-05-04 20:00:00-04:00,655.56,656.44,625.80,635.08,754700
2022-05-05 20:00:00-04:00,634.75,634.75,617.89,618.87,773800
2022-05-08 20:00:00-04:00,608.56,612.35,593.75,595.75,819400
2022-05-09 20:00:00-04:00,605.18,623.68,604.21,610.96,769500
2022-05-10 20:00:00-04:00,606.27,620.64,600.65,608.94,704000
2022-05-11 20:00:00-04:00,602.72,629.93,602.70,629.71,793100
2022-05-12 20:00:00-04:00,631.12,644.13,624.86,641.19,604500
2022-05-15 20:00:00-04:00,635.88,652.05,635.88,650.61,486900
2022-05-16 20:00:00-04:00,657.43,666.46,647.44,663.08,571800
