Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,87.42,90.96,87.09,90.08,3356700
2022-04-06 20:00:00-04:00,89.17,91.64,88.16,91.19,2811100
2022-04-07 20:00:00-04:00,91.03,94.02,90.96,92.61,2722400
2022-04-10 20:00:00-04:00,94.83,98.02,94.53,95.36,3994400
2022-04-11 20:00:00-04:00,95.88,99.00,95.88,97.73,4825600
2022-04-12 20:00:00-04:00,98.04,99.52,97.99,98.44,2300100
2022-04-13 20:00:00-04:00,98.22,100.12,98.22,98.58,2165800
2022-04-17 20:00:00-04:00,97.94,100.43,97.83,99.93,2969700
2022-04-18 20:00:00-04:00,99.82,103.14,99.77,102.67,3030200
2022-04-19 20:00:00-04:00,103.21,104.58,103.10,103.68,2072700
2022-04-20 20:00:00-04:00,104.63,105.60,102.11,102.50,2536800
2022-04-21 20:00:00-04:00,101.32,101.76,98.78,98.94,2430100
2022-04-24 20:00:00-04:00,98.68,101.26,97.52,101.00,2748200
2022-04-25 20:00:00-04:00,99.73,100.61,98.47,98.53,2425000
2022-04-26 20:00:00-04:00,98.24,98.47,95.98,96.83,2648000
2022-04-27 20:00:00-04:00,97.97,99.93,96.94,99.62,2373300
2022-04-28 20:00:00-04:00,98.04,98.77,95.16,95.41,2696800
2022-05-01 20:00:00-04:00,96.02,97.29,94.56,96.90,3059100
2022-05-02 20:00:00-04:00,97.18,97.24,94.51,96.06,2449700
2022-05-03 20:00:00-04:00,96.10,99.66,94.60,99.38,2449200
2022-05-04 20:00:00-04:00,97.93,98.80,94.18,95.53,2719500
2022-05-05 20:00:00-04:00,94.80,94.89,90.92,92.04,3446300
2022-05-08 20:00:00-04:00,91.33,92.14,88.97,89.33,3225500
2022-05-09 20:00:00-04:00,90.55,90.97,83.99,85.71,5568400
2022-05-10 20:00:00-04:00,85.21,86.54,83.85,84.01,3338000
2022-05-11 20:00:00-04:00,83.34,85.76,83.16,85.23,3092000
2022-05-12 20:00:00-04:00,86.10,88.17,85.79,88.04,2701800
2022-05-15 20:00:00-04:00,87.53,88.34,86.12,87.80,2563900
2022-05-16 20:00:00-04:00,87.50,89.08,85.46,89.00,3958400
2022-05-17 20:00:00-04:00,91.20,94.11,88.14,88.75,7013200
2022-05-18 20:00:00-04:00,88.01,90.54,87.23,88.65,7356600
2022-05-19 20:00:00-04:00,66.94,71.39,66.70,68.73,34575500
2022-05-22 20:00:00-04:00,69.11,76.32,69.09,75.31,12789900
2022-05-23 20:00:00-04:00,74.32,75.16,72.28,74.22,6149500
2022-05-24 20:00:00-04:00,73.98,78.96,73.25,77.81,4410400
2022-05-25 20:00:00-04:00,78.80,83.51,78.78,83.19,5308700
2022-05-26 20:00:00-04:00,83.56,85.32,82.33,83.50,3767500
2022-05-30 20:00:00-04:00,82.58,82.68,80.46,81.31,4228700
2022-05-31 20:00:00-04:00,81.67,82.01,78.76,79.05,3805800
2022-06-01 20:00:00-04:00,78.90,80.13,78.32,79.58,3585300
2022-06-02 20:00:00-04:00,78.90,80.30,78.66,79.11,3059400
2022-06-05 20:00:00-04:00,79.60,79.91,77.87,78.07,2676000
2022-06-06 20:00:00-04:00,76.28,78.15,75.77,77.28,3671800
2022-06-07 20:00:00-04:00,77.34,79.90,76.50,77.80,2557300
2022-06-08 20:00:00-04:00,76.94,77.64,76.49,76.56,2719700
2022-06-09 20:00:00-04:00,75.19,76.17,74.06,74.11,3983400
2022-06-12 20:00:00-04:00,72.24,72.92,71.48,71.83,4753300
2022-06-13 20:00:00-04:00,71.96,72.69,70.42,71.04,3113300
2022-06-14 20:00:00-04:00,71.76,73.89,71.76,72.96,2616400
2022-06-15 20:00:00-04:00,71.19,71.48,70.03,70.66,3303200
2022-06-16 20:00:00-04:00,70.76,72.68,70.49,71.76,5539300
2022-06-20 20:00:00-04:00,72.59,73.25,71.33,72.09,3204600
2022-06-21 20:00:00-04:00,70.95,71.77,69.60,69.89,3335100
2022-06-22 20:00:00-04:00,70.35,71.30,69.33,71.02,2821900
2022-06-23 20:00:00-04:00,71.99,75.13,71.70,74.42,10913200
2022-06-26 20:00:00-04:00,74.40,75.14,72.80,73.28,2123200
2022-06-27 20:00:00-04:00,73.54,74.21,69.75,69.86,3612500
2022-06-28 20:00:00-04:00,69.50,69.80,68.62,68.93,2807200
2022-06-29 20:00:00-04:00,67.66,68.71,66.79,67.42,5531300
2022-06-30 20:00:00-04:00,67.33,68.67,66.47,68.52,2977800
2022-07-04 20:00:00-04:00,67.44,71.22,67.29,70.86,3824500
2022-07-05 20:00:00-04:00,71.52,71.93,70.03,71.03,2470000
2022-07-06 20:00:00-04:00,71.16,73.60,71.16,73.47,2387000
2022-07-07 20:00:00-04:00,72.93,73.39,71.92,72.44,2596400
2022-07-10 20:00:00-04:00,72.33,72.57,70.60,71.61,1969600
2022-07-11 20:00:00-04:00,71.45,72.97,71.25,72.06,2827900
2022-07-12 20:00:00-04:00,70.63,73.54,70.58,73.27,3164600
2022-07-13 20:00:00-04:00,72.33,74.15,72.18,73.89,3095200
2022-07-14 20:00:00-04:00,74.50,75.47,74.46,74.86,2875800
2022-07-17 20:00:00-04:00,75.71,78.00,75.71,75.95,2948700
2022-07-18 20:00:00-04:00,76.71,78.28,76.12,77.92,2424300
2022-07-19 20:00:00-04:00,78.14,79.37,77.67,79.18,2444900
2022-07-20 20:00:00-04:00,78.99,80.36,78.39,80.26,1938100
2022-07-21 20:00:00-04:00,80.44,81.55,79.17,79.91,1680200
2022-07-24 20:00:00-04:00,80.04,80.04,78.35,79.32,1484600
2022-07-25 20:00:00-04:00,75.28,76.25,74.56,74.84,3430100
2022-07-26 20:00:00-04:00,75.15,77.32,74.34,77.05,1889600
2022-07-27 20:00:00-04:00,77.44,78.21,76.30,78.14,1543700
2022-07-28 20:00:00-04:00,78.20,78.43,76.77,78.00,2032400
2022-07-31 20:00:00-04:00,77.75,79.73,77.28,79.00,2394800
2022-08-01 20:00:00-04:00,79.53,79.53,76.06,76.63,4103000
2022-08-02 20:00:00-04:00,77.55,81.68,77.46,81.19,2990800
2022-08-03 20:00:00-04:00,80.76,81.55,79.95,80.40,1677800
2022-08-04 20:00:00-04:00,79.72,81.19,79.50,80.86,1350000
2022-08-07 20:00:00-04:00,81.61,83.51,81.22,81.89,1836200
2022-08-08 20:00:00-04:00,81.73,81.89,79.92,81.08,1834300
2022-08-09 20:00:00-04:00,82.67,83.87,82.64,82.73,1799900
2022-08-10 20:00:00-04:00,83.73,86.07,83.65,84.62,2517600
2022-08-11 20:00:00-04:00,84.78,86.61,84.50,86.51,1908500
2022-08-14 20:00:00-04:00,86.01,87.05,85.63,86.55,2146000
2022-08-15 20:00:00-04:00,86.76,90.61,86.76,88.93,3432400
2022-08-16 20:00:00-04:00,87.57,90.66,86.62,89.10,3846700
2022-08-17 20:00:00-04:00,88.11,88.71,87.13,88.31,3072800
2022-08-18 20:00:00-04:00,88.08,90.01,85.69,87.36,4911300
2022-08-21 20:00:00-04:00,86.43,87.05,84.43,84.58,3668100
2022-08-22 20:00:00-04:00,84.65,85.72,84.23,84.44,2148700
2022-08-23 20:00:00-04:00,84.25,87.12,83.71,86.93,2746700
2022-08-24 20:00:00-04:00,86.28,88.43,85.91,87.27,2475500
2022-08-25 20:00:00-04:00,87.53,87.97,83.64,83.76,2530300
2022-08-28 20:00:00-04:00,82.88,84.73,82.42,83.48,2260900
2022-08-29 20:00:00-04:00,83.91,84.60,82.19,82.87,1960400
2022-08-30 20:00:00-04:00,83.18,83.50,82.20,82.81,2153700
2022-08-31 20:00:00-04:00,82.35,85.07,82.35,84.96,2248600
2022-09-01 20:00:00-04:00,85.48,85.97,83.50,84.18,2094800
2022-09-05 20:00:00-04:00,84.49,84.88,82.51,83.54,1822800
2022-09-06 20:00:00-04:00,84.03,89.38,83.96,88.76,2868000
2022-09-07 20:00:00-04:00,87.88,89.40,87.30,88.87,2144200
2022-09-08 20:00:00-04:00,88.74,90.26,88.74,90.08,2046600
2022-09-11 20:00:00-04:00,90.59,92.31,90.59,91.50,2158700
2022-09-12 20:00:00-04:00,88.83,89.70,86.18,86.56,2602400
2022-09-13 20:00:00-04:00,86.84,87.31,85.07,86.18,2054600
2022-09-14 20:00:00-04:00,86.25,88.32,86.03,86.27,2034400
2022-09-15 20:00:00-04:00,85.49,87.40,84.93,86.94,3962400
2022-09-18 20:00:00-04:00,86.11,87.64,85.96,87.41,2063700
2022-09-19 20:00:00-04:00,86.43,86.54,83.66,85.06,2055200
2022-09-20 20:00:00-04:00,85.69,87.53,84.37,84.63,2319600
2022-09-21 20:00:00-04:00,84.52,85.00,82.86,83.41,3681300
2022-09-22 20:00:00-04:00,82.85,82.89,80.01,81.34,2993800
2022-09-25 20:00:00-04:00,81.70,82.89,79.80,79.89,2630800
2022-09-26 20:00:00-04:00,80.65,82.35,79.50,81.30,2262300
2022-09-27 20:00:00-04:00,82.06,84.42,81.55,83.82,2102600
