Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,162.74,165.20,159.80,164.50,718000
2022-04-06 20:00:00-04:00,164.65,171.96,164.65,170.73,829600
2022-04-07 20:00:00-04:00,170.18,172.41,168.96,170.81,654600
2022-04-10 20:00:00-04:00,169.51,169.95,163.85,164.16,550100
2022-04-11 20:00:00-04:00,164.41,165.56,158.70,159.69,558200
2022-04-12 20:00:00-04:00,159.09,163.20,159.06,162.57,512700
2022-04-13 20:00:00-04:00,162.63,163.10,159.61,159.85,569700
2022-04-17 20:00:00-04:00,159.91,160.28,157.23,158.82,389000
2022-04-18 20:00:00-04:00,158.87,160.09,157.34,159.24,605900
2022-04-19 20:00:00-04:00,159.62,163.62,158.65,162.56,525600
2022-04-20 20:00:00-04:00,163.00,163.00,157.79,157.99,558500
2022-04-21 20:00:00-04:00,156.37,156.72,150.81,151.17,696800
2022-04-24 20:00:00-04:00,149.42,149.42,144.76,148.14,1203400
2022-04-25 20:00:00-04:00,146.69,147.25,140.90,141.26,1073300
2022-04-26 20:00:00-04:00,141.54,144.35,140.61,141.11,712200
2022-04-27 20:00:00-04:00,143.65,146.77,142.33,145.05,734900
2022-04-28 20:00:00-04:00,144.76,149.62,144.27,145.25,1133300
2022-05-01 20:00:00-04:00,144.81,147.48,142.51,146.52,1023200
2022-05-02 20:00:00-04:00,145.79,153.89,145.79,151.44,1346300
2022-05-03 20:00:00-04:00,146.90,156.68,139.23,155.62,2025300
2022-05-04 20:00:00-04:00,154.74,154.77,145.23,146.55,1158500
2022-05-05 20:00:00-04:00,144.77,147.49,141.57,146.50,1311200
2022-05-08 20:00:00-04:00,144.52,145.72,140.28,141.13,1032300
2022-05-09 20:00:00-04:00,143.96,144.94,139.43,143.67,934000
2022-05-10 20:00:00-04:00,143.19,145.08,140.54,140.73,697700
2022-05-11 20:00:00-04:00,140.10,142.89,138.40,141.52,663500
2022-05-12 20:00:00-04:00,144.34,147.43,144.09,147.23,1168000
2022-05-15 20:00:00-04:00,145.69,148.21,144.36,145.43,652100
2022-05-16 20:00:00-04:00,147.49,148.65,144.54,146.26,595200
2022-05-17 20:00:00-04:00,142.75,143.91,139.76,141.17,776400
2022-05-18 20:00:00-04:00,140.43,143.36,138.88,142.22,993500
2022-05-19 20:00:00-04:00,143.05,145.55,141.25,145.37,712700
2022-05-22 20:00:00-04:00,146.91,147.13,143.81,145.12,656900
2022-05-23 20:00:00-04:00,144.19,144.32,140.86,142.77,479200
2022-05-24 20:00:00-04:00,142.17,142.75,139.56,141.40,479300
2022-05-25 20:00:00-04:00,142.31,145.56,141.49,145.29,617400
2022-05-26 20:00:00-04:00,146.47,154.97,146.17,154.73,1152800
2022-05-30 20:00:00-04:00,153.49,153.85,147.79,148.28,1464700
2022-05-31 20:00:00-04:00,148.39,150.39,142.67,144.74,899600
2022-06-01 20:00:00-04:00,145.12,149.59,144.17,149.46,401500
2022-06-02 20:00:00-04:00,147.59,147.87,145.51,146.30,519800
2022-06-05 20:00:00-04:00,147.37,148.95,146.60,147.46,434000
2022-06-06 20:00:00-04:00,146.94,151.03,146.49,150.65,458200
2022-06-07 20:00:00-04:00,149.39,150.46,147.27,147.81,333700
2022-06-08 20:00:00-04:00,147.14,148.07,144.96,145.09,499000
2022-06-09 20:00:00-04:00,142.32,143.52,140.48,140.58,814900
2022-06-12 20:00:00-04:00,136.66,137.71,133.68,136.59,912600
2022-06-13 20:00:00-04:00,136.29,137.53,133.99,136.86,475600
2022-06-14 20:00:00-04:00,139.57,140.75,136.59,139.11,679500
2022-06-15 20:00:00-04:00,135.47,136.57,133.59,136.26,720200
2022-06-16 20:00:00-04:00,135.66,139.66,131.55,133.66,1645700
2022-06-20 20:00:00-04:00,135.78,136.97,134.30,134.38,579400
2022-06-21 20:00:00-04:00,133.30,138.79,132.88,136.96,868400
2022-06-22 20:00:00-04:00,137.78,143.67,137.33,142.97,701000
2022-06-23 20:00:00-04:00,144.01,145.23,142.46,144.18,1077000
2022-06-26 20:00:00-04:00,145.21,145.41,142.22,143.62,393800
2022-06-27 20:00:00-04:00,143.18,144.41,139.55,140.02,388800
2022-06-28 20:00:00-04:00,140.68,141.36,138.07,140.96,361000
