Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,24.52,24.97,24.34,24.62,305700
2022-04-06 20:00:00-04:00,24.59,24.77,23.74,24.03,489500
2022-04-07 20:00:00-04:00,24.02,24.60,23.82,24.38,282200
2022-04-10 20:00:00-04:00,24.30,25.05,24.00,24.42,397700
2022-04-11 20:00:00-04:00,24.41,25.21,24.41,24.69,223800
2022-04-12 20:00:00-04:00,24.65,25.41,24.65,25.37,184500
2022-04-13 20:00:00-04:00,25.10,25.64,24.67,25.48,180300
2022-04-17 20:00:00-04:00,25.22,25.58,24.50,25.07,168400
2022-04-18 20:00:00-04:00,25.01,25.32,24.61,25.16,223400
2022-04-19 20:00:00-04:00,25.30,25.53,24.97,25.10,163800
2022-04-20 20:00:00-04:00,25.39,25.52,24.82,24.87,234800
2022-04-21 20:00:00-04:00,24.79,24.90,24.50,24.66,232600
2022-04-24 20:00:00-04:00,24.39,25.03,23.78,24.53,408600
2022-04-25 20:00:00-04:00,24.25,24.31,23.50,23.67,297200
2022-04-26 20:00:00-04:00,23.83,24.00,23.37,23.51,343800
2022-04-27 20:00:00-04:00,23.62,24.50,23.35,24.31,315600
2022-04-28 20:00:00-04:00,24.27,24.49,23.24,23.35,369400
2022-05-01 20:00:00-04:00,23.21,23.72,22.97,23.25,276000
2022-05-02 20:00:00-04:00,23.21,23.81,23.20,23.55,310100
2022-05-03 20:00:00-04:00,23.61,23.85,23.00,23.73,434000
2022-05-04 20:00:00-04:00,23.88,24.41,22.78,22.97,387800
2022-05-05 20:00:00-04:00,22.76,23.17,21.70,21.94,460900
2022-05-08 20:00:00-04:00,21.94,22.12,21.16,21.55,574300
2022-05-09 20:00:00-04:00,21.96,22.43,20.79,21.00,346700
2022-05-10 20:00:00-04:00,21.19,21.78,21.00,21.23,413800
2022-05-11 20:00:00-04:00,21.33,21.33,20.44,20.70,693200
2022-05-12 20:00:00-04:00,21.04,21.14,20.67,20.79,993500
2022-05-15 20:00:00-04:00,20.99,21.23,20.58,21.00,843300
2022-05-16 20:00:00-04:00,21.19,21.93,20.91,21.31,1655800
2022-05-17 20:00:00-04:00,21.06,21.42,20.74,21.02,756800
2022-05-18 20:00:00-04:00,21.03,22.14,21.01,22.10,810200
2022-05-19 20:00:00-04:00,22.27,22.54,21.51,21.87,280300
2022-05-22 20:00:00-04:00,21.87,22.33,21.73,21.95,300300
2022-05-23 20:00:00-04:00,21.78,22.44,21.58,22.33,491000
2022-05-24 20:00:00-04:00,22.27,23.19,22.13,23.16,331100
2022-05-25 20:00:00-04:00,23.25,23.95,23.25,23.64,344800
2022-05-26 20:00:00-04:00,23.68,24.64,23.68,24.52,311600
2022-05-30 20:00:00-04:00,24.46,24.63,23.98,24.03,372000
2022-05-31 20:00:00-04:00,24.10,24.24,22.90,23.31,278000
2022-06-01 20:00:00-04:00,23.31,23.73,22.95,23.65,253700
2022-06-02 20:00:00-04:00,23.74,23.74,23.14,23.28,180100
2022-06-05 20:00:00-04:00,23.36,23.91,23.24,23.75,238700
2022-06-06 20:00:00-04:00,23.70,23.75,23.34,23.70,201700
2022-06-07 20:00:00-04:00,23.45,23.53,22.86,22.92,247400
2022-06-08 20:00:00-04:00,22.76,22.76,22.15,22.19,210200
2022-06-09 20:00:00-04:00,21.83,21.97,21.11,21.13,301800
2022-06-12 20:00:00-04:00,20.78,20.88,20.00,20.04,278400
2022-06-13 20:00:00-04:00,20.13,20.28,19.91,20.10,348700
2022-06-14 20:00:00-04:00,20.23,20.42,19.80,20.16,349800
2022-06-15 20:00:00-04:00,19.75,19.76,18.90,19.01,479900
2022-06-16 20:00:00-04:00,19.61,20.13,19.31,19.66,559400
2022-06-20 20:00:00-04:00,19.78,20.35,19.59,19.65,297600
2022-06-21 20:00:00-04:00,19.43,20.04,19.43,19.68,304900
2022-06-22 20:00:00-04:00,19.79,20.13,19.59,19.79,228100
2022-06-23 20:00:00-04:00,19.86,20.23,19.75,19.80,570700
2022-06-26 20:00:00-04:00,20.00,20.30,19.82,20.07,231300
2022-06-27 20:00:00-04:00,20.14,20.44,19.48,19.58,202300
2022-06-28 20:00:00-04:00,19.56,19.74,19.10,19.54,238500
2022-06-29 20:00:00-04:00,19.42,19.42,19.02,19.30,266300
2022-06-30 20:00:00-04:00,19.17,19.62,19.02,19.61,228800
2022-07-04 20:00:00-04:00,19.09,19.18,18.61,19.09,288100
2022-07-05 20:00:00-04:00,19.09,19.28,18.87,18.98,290500
2022-07-06 20:00:00-04:00,19.06,19.54,18.92,19.00,218700
2022-07-07 20:00:00-04:00,19.17,19.19,18.76,18.98,186700
2022-07-10 20:00:00-04:00,18.88,19.01,18.45,18.56,235000
2022-07-11 20:00:00-04:00,18.56,19.03,18.56,18.80,222500
2022-07-12 20:00:00-04:00,18.56,18.86,18.34,18.53,196400
2022-07-13 20:00:00-04:00,18.27,18.53,18.10,18.50,219800
2022-07-14 20:00:00-04:00,18.82,18.82,18.43,18.71,272300
2022-07-17 20:00:00-04:00,19.05,19.11,18.69,18.83,184700
2022-07-18 20:00:00-04:00,19.12,19.84,18.85,19.82,294500
2022-07-19 20:00:00-04:00,19.75,19.89,19.51,19.80,219500
2022-07-20 20:00:00-04:00,19.68,19.68,19.17,19.47,147200
2022-07-21 20:00:00-04:00,19.44,19.62,19.31,19.59,199300
2022-07-24 20:00:00-04:00,19.55,19.56,19.18,19.40,185100
2022-07-25 20:00:00-04:00,19.32,19.65,19.21,19.46,158000
2022-07-26 20:00:00-04:00,19.54,19.83,19.42,19.81,169500
2022-07-27 20:00:00-04:00,19.94,20.00,19.44,19.76,210600
2022-07-28 20:00:00-04:00,19.89,20.00,19.58,19.76,234100
2022-07-31 20:00:00-04:00,19.64,20.01,19.52,19.80,171800
2022-08-01 20:00:00-04:00,19.71,20.03,19.71,19.86,148700
2022-08-02 20:00:00-04:00,19.99,20.62,19.71,20.49,213000
2022-08-03 20:00:00-04:00,19.75,20.55,19.75,20.13,192000
2022-08-04 20:00:00-04:00,20.12,20.77,19.72,20.46,170200
2022-08-07 20:00:00-04:00,20.34,21.00,20.33,20.53,251300
2022-08-08 20:00:00-04:00,20.59,20.62,20.33,20.40,190500
2022-08-09 20:00:00-04:00,20.61,20.94,20.27,20.31,243300
2022-08-10 20:00:00-04:00,20.53,20.61,20.35,20.51,124800
2022-08-11 20:00:00-04:00,20.71,20.92,20.43,20.92,178200
2022-08-14 20:00:00-04:00,20.67,20.92,20.53,20.89,181900
2022-08-15 20:00:00-04:00,20.89,21.04,20.71,20.91,193100
2022-08-16 20:00:00-04:00,20.62,20.62,19.74,19.79,145000
2022-08-17 20:00:00-04:00,19.81,20.20,19.65,19.92,150400
2022-08-18 20:00:00-04:00,19.68,19.75,19.34,19.35,194900
2022-08-21 20:00:00-04:00,19.09,19.29,19.01,19.05,145600
2022-08-22 20:00:00-04:00,19.04,20.16,18.95,19.00,152900
2022-08-23 20:00:00-04:00,19.08,19.34,18.92,19.28,118000
2022-08-24 20:00:00-04:00,19.26,19.62,19.13,19.42,134500
2022-08-25 20:00:00-04:00,19.49,19.55,19.04,19.10,136800
2022-08-28 20:00:00-04:00,19.05,19.26,18.92,18.98,145700
2022-08-29 20:00:00-04:00,19.17,19.17,18.57,18.61,194300
2022-08-30 20:00:00-04:00,18.82,18.98,18.39,18.41,243500
2022-08-31 20:00:00-04:00,18.26,18.26,17.90,18.14,150700
2022-09-01 20:00:00-04:00,18.18,18.22,17.70,17.73,205100
2022-09-05 20:00:00-04:00,17.70,18.02,17.60,17.80,202700
2022-09-06 20:00:00-04:00,17.74,18.25,17.51,17.79,149500
2022-09-07 20:00:00-04:00,17.60,17.60,17.07,17.13,210200
2022-09-08 20:00:00-04:00,17.27,17.54,17.06,17.54,183900
2022-09-11 20:00:00-04:00,17.75,18.11,17.68,17.91,188300
2022-09-12 20:00:00-04:00,17.52,17.63,17.04,17.11,177200
2022-09-13 20:00:00-04:00,17.01,17.20,16.79,17.14,334900
2022-09-14 20:00:00-04:00,17.02,17.49,16.76,16.96,399500
2022-09-15 20:00:00-04:00,16.89,17.16,16.68,16.82,646100
2022-09-18 20:00:00-04:00,16.71,17.03,16.59,16.95,219100
2022-09-19 20:00:00-04:00,16.77,16.91,16.47,16.54,233900
2022-09-20 20:00:00-04:00,16.51,16.66,16.20,16.30,227300
2022-09-21 20:00:00-04:00,16.34,16.34,15.84,15.96,258000
2022-09-22 20:00:00-04:00,15.80,15.84,15.26,15.48,207600
2022-09-25 20:00:00-04:00,15.50,16.27,15.45,16.08,659100
2022-09-26 20:00:00-04:00,16.21,16.43,15.84,16.18,345000
2022-09-27 20:00:00-04:00,16.17,16.98,16.15,16.81,241200
2022-09-28 20:00:00-04:00,16.59,16.59,16.31,16.52,228800
2022-09-29 20:00:00-04:00,16.46,16.93,16.44,16.47,296100
2022-10-02 20:00:00-04:00,16.77,17.36,16.65,17.25,211900
2022-10-03 20:00:00-04:00,17.25,17.45,16.99,17.13,254400
2022-10-04 20:00:00-04:00,16.83,16.96,16.48,16.72,118000
2022-10-05 20:00:00-04:00,16.72,17.67,16.66,17.64,350300
2022-10-06 20:00:00-04:00,17.40,17.53,17.11,17.21,314700
2022-10-09 20:00:00-04:00,17.20,17.95,17.18,17.70,209300
2022-10-10 20:00:00-04:00,17.49,17.77,17.31,17.59,238900
2022-10-11 20:00:00-04:00,17.55,17.87,17.30,17.70,191800
2022-10-12 20:00:00-04:00,17.57,18.22,17.32,18.20,220100
2022-10-13 20:00:00-04:00,18.34,18.44,17.54,17.56,170700
2022-10-16 20:00:00-04:00,17.74,18.25,17.74,18.10,209200
2022-10-17 20:00:00-04:00,18.33,18.64,18.08,18.20,128300
2022-10-18 20:00:00-04:00,18.07,18.17,17.62,17.76,141600
2022-10-19 20:00:00-04:00,17.83,18.11,17.67,17.79,131800
2022-10-20 20:00:00-04:00,17.84,18.33,17.70,18.29,194900
2022-10-23 20:00:00-04:00,18.32,18.53,18.09,18.42,147600
2022-10-24 20:00:00-04:00,18.39,18.97,18.39,18.61,171600
2022-10-25 20:00:00-04:00,18.71,18.79,18.46,18.50,157000
2022-10-26 20:00:00-04:00,18.69,18.92,18.38,18.53,176300
2022-10-27 20:00:00-04:00,18.61,18.99,18.61,18.81,188800
2022-10-30 20:00:00-04:00,18.81,18.92,18.55,18.87,267900
2022-10-31 20:00:00-04:00,19.15,19.20,18.73,18.98,302600
2022-11-01 20:00:00-04:00,18.95,19.41,18.74,19.07,390000
2022-11-02 20:00:00-04:00,18.78,18.78,16.91,17.11,547900
2022-11-03 20:00:00-04:00,16.40,17.16,15.79,17.16,411500
2022-11-06 19:00:00-05:00,17.18,17.45,16.95,17.41,267800
2022-11-07 19:00:00-05:00,17.48,18.18,17.27,17.78,324200
2022-11-08 19:00:00-05:00,17.58,17.58,16.92,17.26,269100
2022-11-09 19:00:00-05:00,17.55,17.97,17.31,17.91,240800
2022-11-10 19:00:00-05:00,17.94,18.02,17.56,17.70,254000
2022-11-13 19:00:00-05:00,17.71,18.05,17.60,17.87,297500
2022-11-14 19:00:00-05:00,17.88,18.38,17.85,17.91,209600
2022-11-15 19:00:00-05:00,17.74,18.00,17.40,17.47,231600
2022-11-16 19:00:00-05:00,17.20,17.42,17.02,17.34,183500
2022-11-17 19:00:00-05:00,17.62,17.69,17.25,17.51,212600
2022-11-20 19:00:00-05:00,17.49,17.58,17.20,17.43,215300
2022-11-21 19:00:00-05:00,17.48,17.72,17.20,17.37,215800
2022-11-22 19:00:00-05:00,17.33,17.75,17.21,17.52,188100
2022-11-24 19:00:00-05:00,17.39,17.68,16.86,17.44,146700
2022-11-27 19:00:00-05:00,17.33,17.35,16.94,17.04,662700
2022-11-28 19:00:00-05:00,16.91,17.36,16.73,17.21,263100
2022-11-29 19:00:00-05:00,17.19,17.47,16.76,17.40,368700
2022-11-30 19:00:00-05:00,17.38,17.83,17.08,17.10,255700
2022-12-01 19:00:00-05:00,16.89,17.17,16.86,17.08,283300
2022-12-04 19:00:00-05:00,16.90,17.35,16.43,16.59,434400
2022-12-05 19:00:00-05:00,16.50,16.63,16.00,16.37,412900
2022-12-06 19:00:00-05:00,16.44,16.66,16.23,16.33,310600
2022-12-07 19:00:00-05:00,16.36,16.77,16.28,16.54,342700
2022-12-08 19:00:00-05:00,16.44,16.91,16.30,16.63,227700
2022-12-11 19:00:00-05:00,16.64,16.88,16.30,16.39,216600
2022-12-12 19:00:00-05:00,16.82,17.01,16.21,16.25,378400
2022-12-13 19:00:00-05:00,16.14,16.53,16.11,16.33,355100
