Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,335.96,349.24,335.09,346.08,861300
2022-04-06 20:00:00-04:00,345.97,347.84,342.84,345.33,867700
2022-04-07 20:00:00-04:00,344.90,351.56,343.16,348.54,629900
2022-04-10 20:00:00-04:00,343.26,349.74,337.38,337.86,581000
2022-04-11 20:00:00-04:00,338.38,339.11,330.05,331.48,771600
2022-04-12 20:00:00-04:00,332.63,333.38,326.62,331.61,554500
2022-04-13 20:00:00-04:00,332.59,334.59,330.23,332.33,400100
2022-04-17 20:00:00-04:00,333.84,337.03,330.90,332.87,566800
2022-04-18 20:00:00-04:00,333.39,340.56,331.66,337.50,493400
2022-04-19 20:00:00-04:00,337.83,349.00,337.54,347.93,578100
2022-04-20 20:00:00-04:00,346.76,352.64,344.86,346.15,434900
2022-04-21 20:00:00-04:00,346.29,346.29,340.55,342.59,546100
2022-04-24 20:00:00-04:00,343.80,344.85,331.98,336.59,965100
2022-04-25 20:00:00-04:00,355.34,355.34,327.25,328.42,832000
2022-04-26 20:00:00-04:00,328.54,335.07,325.63,326.24,957200
2022-04-27 20:00:00-04:00,327.11,336.24,322.63,335.94,723900
2022-04-28 20:00:00-04:00,334.82,334.82,323.98,324.59,690300
2022-05-01 20:00:00-04:00,325.43,329.34,312.05,315.96,827900
2022-05-02 20:00:00-04:00,318.56,329.60,315.04,326.27,1000400
2022-05-03 20:00:00-04:00,328.19,329.23,319.74,328.92,692400
2022-05-04 20:00:00-04:00,328.25,331.12,317.25,320.16,584900
2022-05-05 20:00:00-04:00,320.28,322.79,315.72,319.90,625400
2022-05-08 20:00:00-04:00,319.11,321.89,301.07,302.14,513500
2022-05-09 20:00:00-04:00,305.92,305.92,290.71,294.88,714700
2022-05-10 20:00:00-04:00,297.50,300.83,293.57,294.61,573800
2022-05-11 20:00:00-04:00,297.28,302.84,294.03,302.42,783700
2022-05-12 20:00:00-04:00,304.87,312.65,303.54,312.49,526300
2022-05-15 20:00:00-04:00,309.24,311.89,305.75,307.12,436500
2022-05-16 20:00:00-04:00,309.29,309.29,300.45,304.26,523300
2022-05-17 20:00:00-04:00,302.74,303.91,293.14,294.36,680500
2022-05-18 20:00:00-04:00,293.47,302.32,292.84,299.06,652500
2022-05-19 20:00:00-04:00,302.44,306.62,299.63,306.10,821400
2022-05-22 20:00:00-04:00,307.53,314.31,306.29,313.11,599000
2022-05-23 20:00:00-04:00,313.11,326.41,312.12,325.27,745100
2022-05-24 20:00:00-04:00,324.70,326.00,319.28,324.60,732100
2022-05-25 20:00:00-04:00,325.81,327.87,314.11,317.19,641400
2022-05-26 20:00:00-04:00,319.27,325.72,317.15,325.72,658100
2022-05-30 20:00:00-04:00,320.30,322.47,313.62,315.46,1335300
2022-05-31 20:00:00-04:00,314.33,316.06,308.81,310.28,669400
2022-06-01 20:00:00-04:00,302.10,314.98,295.43,314.86,1228700
2022-06-02 20:00:00-04:00,313.01,313.01,308.15,308.86,795100
2022-06-05 20:00:00-04:00,310.42,314.51,306.68,312.71,446100
2022-06-06 20:00:00-04:00,312.32,316.92,305.99,316.62,591200
2022-06-07 20:00:00-04:00,316.10,324.02,314.88,316.62,660200
2022-06-08 20:00:00-04:00,316.92,322.54,311.95,312.69,590300
2022-06-09 20:00:00-04:00,311.73,311.73,301.55,305.08,853700
2022-06-12 20:00:00-04:00,300.39,300.93,287.85,289.31,639600
2022-06-13 20:00:00-04:00,292.06,292.06,276.05,278.40,986600
2022-06-14 20:00:00-04:00,281.10,286.90,277.16,282.46,864900
2022-06-15 20:00:00-04:00,279.39,279.39,271.12,272.60,809600
2022-06-16 20:00:00-04:00,270.20,276.19,268.67,273.69,1292600
2022-06-20 20:00:00-04:00,276.47,284.84,275.53,284.19,623400
2022-06-21 20:00:00-04:00,281.88,297.81,281.74,292.15,700600
2022-06-22 20:00:00-04:00,294.64,307.25,292.35,305.37,869100
2022-06-23 20:00:00-04:00,307.08,308.45,300.54,307.14,933600
2022-06-26 20:00:00-04:00,308.63,309.37,303.32,304.04,501600
2022-06-27 20:00:00-04:00,304.62,305.83,294.18,295.22,540800
2022-06-28 20:00:00-04:00,290.96,298.22,285.78,297.30,862800
2022-06-29 20:00:00-04:00,296.77,301.55,295.85,299.94,790200
2022-06-30 20:00:00-04:00,298.87,310.75,297.37,309.70,614700
2022-07-04 20:00:00-04:00,307.95,308.26,298.09,304.31,514300
2022-07-05 20:00:00-04:00,306.47,309.33,304.52,306.58,323200
2022-07-06 20:00:00-04:00,308.33,310.34,305.15,305.83,350100
2022-07-07 20:00:00-04:00,305.38,306.85,302.26,303.84,252200
2022-07-10 20:00:00-04:00,303.53,306.44,299.33,303.94,311600
2022-07-11 20:00:00-04:00,302.28,303.72,296.60,298.42,576800
2022-07-12 20:00:00-04:00,294.75,302.63,293.84,299.95,430800
2022-07-13 20:00:00-04:00,294.20,299.25,294.20,298.03,453100
2022-07-14 20:00:00-04:00,303.18,304.89,299.35,300.60,461100
2022-07-17 20:00:00-04:00,300.49,301.61,292.87,293.81,631500
2022-07-18 20:00:00-04:00,297.43,303.35,294.82,302.49,496200
2022-07-19 20:00:00-04:00,302.02,304.72,294.76,295.08,563400
2022-07-20 20:00:00-04:00,294.67,301.58,293.37,300.40,595900
2022-07-21 20:00:00-04:00,302.68,305.28,297.20,300.65,447500
2022-07-24 20:00:00-04:00,300.80,302.89,297.72,300.31,519000
2022-07-25 20:00:00-04:00,301.13,305.07,299.64,303.51,603000
2022-07-26 20:00:00-04:00,304.12,305.71,296.80,300.33,669600
2022-07-27 20:00:00-04:00,302.07,314.50,302.07,313.64,474100
2022-07-28 20:00:00-04:00,311.39,316.36,310.41,314.69,608600
2022-07-31 20:00:00-04:00,312.77,314.97,308.93,311.94,530600
2022-08-01 20:00:00-04:00,323.33,323.46,314.70,316.92,988700
2022-08-02 20:00:00-04:00,317.36,323.10,317.33,322.27,589600
2022-08-03 20:00:00-04:00,321.05,325.33,319.00,324.52,397200
2022-08-04 20:00:00-04:00,321.36,323.74,319.63,323.70,439400
2022-08-07 20:00:00-04:00,325.87,328.55,320.23,323.31,368500
2022-08-08 20:00:00-04:00,323.07,326.16,321.57,323.86,580000
2022-08-09 20:00:00-04:00,328.95,329.28,324.08,328.35,395700
2022-08-10 20:00:00-04:00,327.94,327.94,320.76,321.91,413100
2022-08-11 20:00:00-04:00,322.98,328.37,321.27,328.05,524000
2022-08-14 20:00:00-04:00,327.57,334.19,326.07,332.82,496600
2022-08-15 20:00:00-04:00,329.99,330.34,324.93,326.16,726600
2022-08-16 20:00:00-04:00,322.89,328.52,322.89,324.98,332800
2022-08-17 20:00:00-04:00,325.53,326.85,320.27,322.73,540900
2022-08-18 20:00:00-04:00,324.06,325.87,321.46,322.85,407700
2022-08-21 20:00:00-04:00,322.65,323.39,316.40,317.68,377900
2022-08-22 20:00:00-04:00,317.76,318.64,309.76,312.78,462200
2022-08-23 20:00:00-04:00,312.07,316.67,311.84,312.72,424900
2022-08-24 20:00:00-04:00,313.82,318.54,310.63,318.33,588700
2022-08-25 20:00:00-04:00,317.13,317.89,309.83,310.19,586500
2022-08-28 20:00:00-04:00,309.28,315.14,306.28,311.26,516600
2022-08-29 20:00:00-04:00,310.94,313.97,303.87,304.87,341200
2022-08-30 20:00:00-04:00,306.02,309.08,303.78,305.47,692200
2022-08-31 20:00:00-04:00,304.52,306.84,301.30,306.55,579700
2022-09-01 20:00:00-04:00,309.59,309.92,298.19,298.85,441000
2022-09-05 20:00:00-04:00,298.79,302.61,296.82,300.13,559300
2022-09-06 20:00:00-04:00,301.09,308.48,299.76,307.26,384400
2022-09-07 20:00:00-04:00,305.46,309.65,304.17,309.18,369400
2022-09-08 20:00:00-04:00,309.87,312.33,307.98,310.65,470600
2022-09-11 20:00:00-04:00,311.82,314.17,309.45,313.10,308900
2022-09-12 20:00:00-04:00,307.44,308.02,297.54,298.22,333500
2022-09-13 20:00:00-04:00,296.09,300.03,294.60,296.99,470100
2022-09-14 20:00:00-04:00,296.35,297.43,287.57,288.80,671700
2022-09-15 20:00:00-04:00,292.35,293.93,287.38,292.79,782500
2022-09-18 20:00:00-04:00,292.53,292.95,286.66,292.66,417700
2022-09-19 20:00:00-04:00,291.70,291.70,283.15,284.03,576000
2022-09-20 20:00:00-04:00,285.72,290.84,282.00,282.00,387100
2022-09-21 20:00:00-04:00,279.92,281.34,276.66,277.33,453500
2022-09-22 20:00:00-04:00,276.39,277.70,274.03,276.84,684100
2022-09-25 20:00:00-04:00,276.34,276.34,264.77,269.05,584400
2022-09-26 20:00:00-04:00,270.14,274.62,266.19,266.92,537200
2022-09-27 20:00:00-04:00,269.25,274.55,268.21,273.78,705600
2022-09-28 20:00:00-04:00,271.65,271.65,263.83,265.10,603900
2022-09-29 20:00:00-04:00,268.10,271.01,264.03,267.34,1038600
2022-10-02 20:00:00-04:00,269.59,274.57,265.29,271.36,571100
2022-10-03 20:00:00-04:00,273.15,279.23,272.72,275.57,534100
2022-10-04 20:00:00-04:00,272.04,272.25,262.49,265.90,676100
2022-10-05 20:00:00-04:00,265.71,267.03,250.72,251.72,794700
2022-10-06 20:00:00-04:00,249.04,251.35,245.11,246.44,855600
2022-10-09 20:00:00-04:00,247.53,249.12,240.39,240.85,650600
2022-10-10 20:00:00-04:00,239.60,245.21,235.40,239.71,776300
2022-10-11 20:00:00-04:00,237.31,237.36,227.88,229.70,1066500
2022-10-12 20:00:00-04:00,222.57,236.05,221.83,234.56,1444000
2022-10-13 20:00:00-04:00,239.05,239.27,226.27,227.37,990600
2022-10-16 20:00:00-04:00,227.53,240.80,227.53,237.74,868600
2022-10-17 20:00:00-04:00,241.82,244.49,239.65,242.55,979100
2022-10-18 20:00:00-04:00,237.26,241.56,235.63,237.13,635300
2022-10-19 20:00:00-04:00,235.76,237.10,229.25,232.88,1619500
2022-10-20 20:00:00-04:00,234.43,234.43,225.96,233.10,909800
2022-10-23 20:00:00-04:00,234.24,238.60,230.18,232.29,1065300
2022-10-24 20:00:00-04:00,232.84,241.49,232.84,240.99,802700
2022-10-25 20:00:00-04:00,241.01,245.47,239.22,243.04,931900
2022-10-26 20:00:00-04:00,245.61,249.22,242.40,244.41,811300
2022-10-27 20:00:00-04:00,242.31,254.91,241.67,253.59,1000800
2022-10-30 20:00:00-04:00,249.95,255.68,248.94,253.48,1142800
2022-10-31 20:00:00-04:00,261.91,267.70,256.67,258.99,1092100
2022-11-01 20:00:00-04:00,256.70,261.61,250.79,252.03,925400
2022-11-02 20:00:00-04:00,249.75,256.26,247.09,253.86,597000
2022-11-03 20:00:00-04:00,255.10,255.99,250.36,255.75,543200
2022-11-06 19:00:00-05:00,257.90,262.84,256.82,260.28,858100
2022-11-07 19:00:00-05:00,260.28,265.83,256.67,261.80,884800
2022-11-08 19:00:00-05:00,261.53,264.65,257.63,258.02,505200
2022-11-09 19:00:00-05:00,272.37,279.10,269.98,278.81,1265800
2022-11-10 19:00:00-05:00,278.81,283.49,278.61,279.85,775500
2022-11-13 19:00:00-05:00,281.07,281.07,271.63,271.81,945600
2022-11-14 19:00:00-05:00,275.37,278.30,273.29,277.22,543600
2022-11-15 19:00:00-05:00,278.28,281.22,277.27,278.68,439700
2022-11-16 19:00:00-05:00,273.51,278.61,268.70,271.00,582400
2022-11-17 19:00:00-05:00,274.36,275.68,269.18,273.66,622300
2022-11-20 19:00:00-05:00,272.71,278.93,271.93,278.31,739100
2022-11-21 19:00:00-05:00,278.19,278.82,272.97,276.84,886900
2022-11-22 19:00:00-05:00,276.65,281.34,276.47,280.18,588000
2022-11-24 19:00:00-05:00,280.30,281.73,277.84,279.17,313900
2022-11-27 19:00:00-05:00,278.63,279.94,273.74,276.09,605700
2022-11-28 19:00:00-05:00,275.65,281.37,274.09,277.30,449100
2022-11-29 19:00:00-05:00,276.03,282.53,273.60,281.77,1987700
2022-11-30 19:00:00-05:00,284.55,289.43,281.59,283.57,586700
2022-12-01 19:00:00-05:00,280.83,282.16,274.42,277.96,757300
2022-12-04 19:00:00-05:00,276.39,279.82,272.68,276.33,510100
2022-12-05 19:00:00-05:00,274.65,277.86,269.89,271.77,602700
2022-12-06 19:00:00-05:00,272.50,278.22,268.86,270.85,573700
2022-12-07 19:00:00-05:00,271.50,274.24,270.25,272.33,474000
2022-12-08 19:00:00-05:00,271.15,276.04,270.46,271.31,490300
2022-12-11 19:00:00-05:00,272.68,273.68,269.94,273.52,572000
2022-12-12 19:00:00-05:00,283.73,291.29,282.20,283.82,894800
2022-12-13 19:00:00-05:00,283.05,285.70,276.26,277.15,481400
2022-12-14 19:00:00-05:00,272.67,277.51,271.37,271.75,556200
2022-12-15 19:00:00-05:00,268.85,268.85,258.68,263.88,1252700
2022-12-18 19:00:00-05:00,263.09,265.88,258.51,261.21,766900
2022-12-19 19:00:00-05:00,257.79,263.93,256.69,262.06,634200
