Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,75.87,76.09,74.44,75.61,10567000
2022-04-06 20:00:00-04:00,75.27,75.74,73.88,75.39,10869100
2022-04-07 20:00:00-04:00,75.46,75.46,73.78,73.94,9286800
2022-04-10 20:00:00-04:00,73.36,74.14,72.83,73.18,8623200
2022-04-11 20:00:00-04:00,73.32,73.71,72.25,72.37,8472500
2022-04-12 20:00:00-04:00,72.45,73.75,72.21,73.40,8604400
2022-04-13 20:00:00-04:00,73.24,73.54,71.88,72.11,9567200
2022-04-17 20:00:00-04:00,71.69,72.54,71.55,72.20,7797300
2022-04-18 20:00:00-04:00,72.22,73.96,72.03,73.67,8622100
2022-04-19 20:00:00-04:00,73.75,73.94,72.56,72.72,8368800
2022-04-20 20:00:00-04:00,73.52,73.64,71.41,71.62,8152500
2022-04-21 20:00:00-04:00,71.56,72.09,70.55,70.68,10315500
2022-04-24 20:00:00-04:00,70.19,70.82,69.60,70.73,10259000
2022-04-25 20:00:00-04:00,70.29,70.37,68.60,68.60,8800500
2022-04-26 20:00:00-04:00,68.37,69.32,67.74,67.79,8467300
2022-04-27 20:00:00-04:00,68.59,69.93,67.90,69.46,8818500
2022-04-28 20:00:00-04:00,68.95,69.63,67.56,67.70,9199300
2022-05-01 20:00:00-04:00,68.25,68.68,66.64,68.36,12379000
2022-05-02 20:00:00-04:00,68.68,68.74,66.56,67.42,15570100
2022-05-03 20:00:00-04:00,71.94,75.17,70.68,74.05,30199700
2022-05-04 20:00:00-04:00,72.95,73.67,69.96,70.28,19114700
2022-05-05 20:00:00-04:00,69.87,70.02,68.22,69.41,11165800
2022-05-08 20:00:00-04:00,68.25,69.43,66.51,66.66,12863600
2022-05-09 20:00:00-04:00,67.89,68.07,64.95,65.18,14085900
2022-05-10 20:00:00-04:00,64.90,65.26,63.46,63.55,12118100
2022-05-11 20:00:00-04:00,63.16,63.97,62.47,63.85,15460600
2022-05-12 20:00:00-04:00,65.66,69.17,65.66,69.05,18156300
2022-05-15 20:00:00-04:00,68.45,68.91,66.05,66.15,11435300
