Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,37.34,37.68,36.75,37.17,8726600
2022-04-06 20:00:00-04:00,37.38,37.79,36.22,37.34,8895800
2022-04-07 20:00:00-04:00,37.67,38.94,37.47,38.78,10526400
2022-04-10 20:00:00-04:00,38.86,38.86,37.62,37.67,7999000
2022-04-11 20:00:00-04:00,38.27,39.11,37.64,37.85,8112800
2022-04-12 20:00:00-04:00,38.37,38.89,37.83,38.80,8596100
2022-04-13 20:00:00-04:00,38.61,39.62,38.41,39.42,10714500
2022-04-17 20:00:00-04:00,39.69,40.51,39.33,39.81,11127900
2022-04-18 20:00:00-04:00,39.31,40.57,39.19,39.58,10033700
2022-04-19 20:00:00-04:00,39.71,39.99,38.08,38.90,11945100
2022-04-20 20:00:00-04:00,39.50,39.58,36.57,37.05,18181500
2022-04-21 20:00:00-04:00,36.43,39.64,36.18,37.96,20746000
2022-04-24 20:00:00-04:00,36.46,36.49,33.68,35.26,23976100
2022-04-25 20:00:00-04:00,35.36,37.03,34.65,36.04,19941000
2022-04-26 20:00:00-04:00,36.60,36.88,35.81,36.41,10619400
2022-04-27 20:00:00-04:00,36.79,36.90,35.13,36.56,11502600
2022-04-28 20:00:00-04:00,36.93,37.29,35.39,35.56,10611900
2022-05-01 20:00:00-04:00,34.95,36.02,34.79,35.65,11445200
2022-05-02 20:00:00-04:00,35.54,36.90,35.46,36.60,8876500
2022-05-03 20:00:00-04:00,37.63,38.91,36.87,38.83,11713700
2022-05-04 20:00:00-04:00,39.41,39.58,37.75,38.35,16281500
2022-05-05 20:00:00-04:00,38.81,39.74,37.83,39.22,12396000
2022-05-08 20:00:00-04:00,38.14,38.44,34.66,34.67,14845900
2022-05-09 20:00:00-04:00,35.06,35.68,33.69,34.54,11063400
2022-05-10 20:00:00-04:00,35.02,36.39,34.87,34.97,11569100
2022-05-11 20:00:00-04:00,34.62,35.61,33.80,35.57,13434300
2022-05-12 20:00:00-04:00,36.18,37.21,36.07,37.13,9798900
2022-05-15 20:00:00-04:00,37.24,38.81,37.19,38.41,10181600
2022-05-16 20:00:00-04:00,38.76,39.58,38.65,39.15,9936900
2022-05-17 20:00:00-04:00,39.50,39.67,36.93,37.49,9734900
2022-05-18 20:00:00-04:00,36.49,37.75,36.47,37.23,12123900
2022-05-19 20:00:00-04:00,37.73,38.35,36.85,37.48,9870700
2022-05-22 20:00:00-04:00,38.20,40.10,37.79,39.93,13288000
2022-05-23 20:00:00-04:00,39.17,40.29,38.70,40.01,11259800
2022-05-24 20:00:00-04:00,39.83,41.30,39.71,41.06,17205000
2022-05-25 20:00:00-04:00,41.47,42.91,41.39,42.56,16282900
2022-05-26 20:00:00-04:00,42.16,44.13,42.05,43.94,13950700
2022-05-30 20:00:00-04:00,44.54,44.54,41.56,42.04,28706600
2022-05-31 20:00:00-04:00,43.03,43.30,42.08,42.70,15207500
2022-06-01 20:00:00-04:00,42.73,42.88,42.01,42.35,8155100
2022-06-02 20:00:00-04:00,42.45,43.66,42.38,43.42,8854400
2022-06-05 20:00:00-04:00,43.72,43.91,42.88,43.20,6697000
2022-06-06 20:00:00-04:00,42.99,44.90,42.88,44.76,14735800
2022-06-07 20:00:00-04:00,44.82,45.58,43.98,45.35,15101200
2022-06-08 20:00:00-04:00,44.63,44.97,44.00,44.04,11473800
2022-06-09 20:00:00-04:00,43.15,43.80,42.56,43.19,11294000
2022-06-12 20:00:00-04:00,41.46,41.68,39.84,40.54,12470100
2022-06-13 20:00:00-04:00,41.20,41.54,38.89,39.54,13488800
2022-06-14 20:00:00-04:00,39.88,39.88,37.64,37.98,15091800
2022-06-15 20:00:00-04:00,37.08,37.19,35.05,35.20,21591700
2022-06-16 20:00:00-04:00,35.31,35.81,33.36,33.52,32283000
2022-06-20 20:00:00-04:00,34.66,35.92,34.40,35.51,18172900
2022-06-21 20:00:00-04:00,33.36,35.05,33.01,34.32,17335000
2022-06-22 20:00:00-04:00,34.46,34.54,31.44,32.00,28165700
2022-06-23 20:00:00-04:00,32.22,33.39,31.71,32.07,22910700
2022-06-26 20:00:00-04:00,32.73,32.91,31.94,32.83,29428500
2022-06-27 20:00:00-04:00,33.67,34.51,33.36,33.82,13896200
2022-06-28 20:00:00-04:00,34.32,34.42,32.89,33.10,12475300
2022-06-29 20:00:00-04:00,32.35,33.79,32.31,32.71,15332400
2022-06-30 20:00:00-04:00,32.90,32.97,31.20,32.61,10823800
2022-07-04 20:00:00-04:00,31.59,32.15,29.91,30.49,17642100
2022-07-05 20:00:00-04:00,30.09,30.75,28.93,29.94,13030900
2022-07-06 20:00:00-04:00,31.05,31.95,30.90,31.45,10077500
2022-07-07 20:00:00-04:00,31.93,32.22,30.99,31.40,11027700
2022-07-10 20:00:00-04:00,30.75,31.08,30.26,30.53,8918700
2022-07-11 20:00:00-04:00,29.43,30.35,29.36,29.94,10281400
2022-07-12 20:00:00-04:00,29.44,30.58,29.29,29.54,9137200
2022-07-13 20:00:00-04:00,28.36,28.76,28.04,28.66,14827800
2022-07-14 20:00:00-04:00,29.33,29.60,28.67,29.55,10672600
2022-07-17 20:00:00-04:00,30.37,30.71,30.10,30.31,11493100
