Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,76.41,77.13,75.45,75.89,1544200
2022-04-06 20:00:00-04:00,76.15,76.73,75.03,76.27,1476700
2022-04-07 20:00:00-04:00,75.97,76.12,74.78,74.96,1117500
2022-04-10 20:00:00-04:00,74.86,75.15,73.21,74.50,1376600
2022-04-11 20:00:00-04:00,75.31,76.53,73.17,73.29,1891200
2022-04-12 20:00:00-04:00,73.57,74.57,72.91,74.13,1519400
2022-04-13 20:00:00-04:00,71.56,72.97,71.30,71.76,2806400
2022-04-17 20:00:00-04:00,71.75,73.39,71.64,72.55,1909400
2022-04-18 20:00:00-04:00,71.85,74.43,71.65,74.16,1865400
2022-04-19 20:00:00-04:00,74.94,76.65,74.65,75.60,1863100
2022-04-20 20:00:00-04:00,76.00,76.58,73.96,74.26,1310500
2022-04-21 20:00:00-04:00,73.93,74.12,72.47,72.65,1564400
2022-04-24 20:00:00-04:00,71.86,72.95,71.22,72.76,2155300
2022-04-25 20:00:00-04:00,72.19,72.32,69.59,69.85,2797600
2022-04-26 20:00:00-04:00,70.52,74.78,70.32,71.97,3259100
2022-04-27 20:00:00-04:00,72.00,73.27,70.51,72.43,2145600
2022-04-28 20:00:00-04:00,73.14,74.85,72.18,72.32,2798400
2022-05-01 20:00:00-04:00,72.37,72.74,70.55,72.68,1960800
2022-05-02 20:00:00-04:00,73.14,74.22,72.23,73.95,2309900
2022-05-03 20:00:00-04:00,74.15,76.46,72.77,76.20,2099700
2022-05-04 20:00:00-04:00,75.05,75.19,72.10,72.92,2042600
2022-05-05 20:00:00-04:00,72.28,73.92,71.61,72.83,1479600
2022-05-08 20:00:00-04:00,71.41,72.76,70.48,70.84,1592100
2022-05-09 20:00:00-04:00,71.88,72.43,70.34,71.22,1867400
2022-05-10 20:00:00-04:00,70.69,72.10,67.80,67.99,1611500
2022-05-11 20:00:00-04:00,67.50,69.06,67.24,68.84,1780200
2022-05-12 20:00:00-04:00,69.90,71.55,69.70,71.14,1399300
2022-05-15 20:00:00-04:00,71.10,73.86,70.89,73.01,3144500
2022-05-16 20:00:00-04:00,73.69,76.91,73.69,76.78,1895700
2022-05-17 20:00:00-04:00,75.72,76.26,73.34,74.13,1892500
2022-05-18 20:00:00-04:00,73.34,74.48,72.44,72.73,1584800
2022-05-19 20:00:00-04:00,73.22,73.59,68.84,70.62,2312700
2022-05-22 20:00:00-04:00,71.14,72.35,70.59,72.22,1274900
2022-05-23 20:00:00-04:00,71.89,72.08,69.05,70.12,1959700
2022-05-24 20:00:00-04:00,69.90,73.63,69.72,72.86,1806600
2022-05-25 20:00:00-04:00,72.32,75.81,72.32,75.57,1640400
2022-05-26 20:00:00-04:00,76.70,77.79,75.82,77.72,1451800
2022-05-30 20:00:00-04:00,76.52,76.71,72.33,74.63,4015100
2022-05-31 20:00:00-04:00,75.01,76.19,73.75,73.76,1904800
2022-06-01 20:00:00-04:00,73.76,75.17,73.63,74.61,1086400
2022-06-02 20:00:00-04:00,73.51,73.81,72.07,72.91,1159700
2022-06-05 20:00:00-04:00,73.77,74.38,72.40,72.76,1175500
2022-06-06 20:00:00-04:00,72.03,74.62,71.86,74.48,1305200
2022-06-07 20:00:00-04:00,74.30,74.34,72.69,73.77,1841000
2022-06-08 20:00:00-04:00,73.28,75.10,72.99,73.03,1613800
2022-06-09 20:00:00-04:00,71.87,72.46,70.63,71.06,1540500
2022-06-12 20:00:00-04:00,69.33,70.05,67.58,67.91,2376300
2022-06-13 20:00:00-04:00,68.31,68.41,66.00,66.67,1558900
