Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,78.58,80.02,78.25,79.90,2029100
2018-07-02 20:00:00-04:00,80.02,80.56,78.45,78.58,1060600
2018-07-04 20:00:00-04:00,79.44,82.12,79.44,82.04,2248500
2018-07-05 20:00:00-04:00,81.84,82.69,81.16,82.43,1438400
2018-07-08 20:00:00-04:00,82.74,82.85,81.72,82.68,994200
2018-07-09 20:00:00-04:00,82.70,84.05,82.44,83.67,1217500
2018-07-10 20:00:00-04:00,82.63,83.16,81.00,81.13,1252400
2018-07-11 20:00:00-04:00,82.03,82.54,80.58,82.17,1762300
2018-07-12 20:00:00-04:00,82.03,82.51,81.52,81.99,1118400
2018-07-15 20:00:00-04:00,82.24,82.83,81.59,82.12,1476300
2018-07-16 20:00:00-04:00,81.45,83.75,81.44,83.71,1942000
2018-07-17 20:00:00-04:00,83.94,84.71,83.43,83.99,2163100
2018-07-18 20:00:00-04:00,83.94,84.70,82.91,84.36,2113800
2018-07-19 20:00:00-04:00,85.00,85.57,79.44,79.84,7018900
2018-07-22 20:00:00-04:00,79.57,79.79,77.23,79.39,3257600
2018-07-23 20:00:00-04:00,80.12,80.18,77.63,77.77,2330400
2018-07-24 20:00:00-04:00,77.58,78.38,76.33,78.06,2559300
2018-07-25 20:00:00-04:00,78.02,78.67,77.38,78.59,1829800
2018-07-26 20:00:00-04:00,79.03,79.52,77.95,78.37,1704300
2018-07-29 20:00:00-04:00,78.34,78.54,77.32,77.74,1199500
2018-07-30 20:00:00-04:00,78.28,78.79,77.42,77.86,1176400
2018-07-31 20:00:00-04:00,78.50,78.95,77.65,77.91,1459000
2018-08-01 20:00:00-04:00,77.09,78.87,76.48,78.72,1219800
2018-08-02 20:00:00-04:00,78.75,78.96,78.17,78.71,1278700
2018-08-05 20:00:00-04:00,77.73,78.63,76.86,78.59,1742200
2018-08-06 20:00:00-04:00,78.86,79.44,78.55,79.40,1345900
2018-08-07 20:00:00-04:00,79.39,79.55,78.84,78.86,1062000
