Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,77.70,79.00,77.13,78.94,1671100
2018-07-02 20:00:00-04:00,79.30,79.77,78.16,78.25,815400
2018-07-04 20:00:00-04:00,78.79,79.61,78.00,79.61,1521900
2018-07-05 20:00:00-04:00,79.52,79.92,78.88,79.58,986000
2018-07-08 20:00:00-04:00,80.45,81.05,79.64,80.93,1140300
2018-07-09 20:00:00-04:00,81.05,81.72,80.69,81.60,1044000
2018-07-10 20:00:00-04:00,80.78,80.78,79.50,79.60,988400
2018-07-11 20:00:00-04:00,80.14,80.80,80.10,80.42,1630200
2018-07-12 20:00:00-04:00,80.25,80.65,80.00,80.13,1004700
2018-07-15 20:00:00-04:00,80.34,80.34,79.41,79.61,572800
2018-07-16 20:00:00-04:00,79.40,80.70,78.82,80.56,1897700
2018-07-17 20:00:00-04:00,80.91,81.10,80.37,80.65,1410500
2018-07-18 20:00:00-04:00,80.35,81.02,80.20,80.54,757400
2018-07-19 20:00:00-04:00,80.23,80.47,79.86,79.99,846000
2018-07-22 20:00:00-04:00,79.88,80.12,79.35,80.00,1369500
2018-07-23 20:00:00-04:00,80.57,82.38,80.57,82.01,2820000
2018-07-24 20:00:00-04:00,79.23,82.27,78.55,82.00,4383900
2018-07-25 20:00:00-04:00,82.35,83.57,81.90,82.23,2992000
2018-07-26 20:00:00-04:00,82.23,82.99,81.60,82.01,1907100
2018-07-29 20:00:00-04:00,82.15,82.62,81.28,81.34,1999000
2018-07-30 20:00:00-04:00,81.84,82.38,81.40,81.63,3044500
2018-07-31 20:00:00-04:00,81.61,82.15,80.23,80.84,1959500
2018-08-01 20:00:00-04:00,80.21,81.32,79.85,80.71,1548700
2018-08-02 20:00:00-04:00,80.71,81.27,80.57,81.21,1243300
2018-08-05 20:00:00-04:00,81.13,82.07,81.13,82.03,1023700
2018-08-06 20:00:00-04:00,82.55,83.20,82.35,82.81,1568000
2018-08-07 20:00:00-04:00,82.62,82.90,82.11,82.62,974400
2018-08-08 20:00:00-04:00,82.65,83.07,81.53,81.70,1391400
2018-08-09 20:00:00-04:00,80.85,80.85,80.02,80.39,1648600
2018-08-12 20:00:00-04:00,80.64,81.57,80.28,80.58,1425300
2018-08-13 20:00:00-04:00,80.65,81.55,80.39,81.34,1159800
2018-08-14 20:00:00-04:00,80.68,80.88,79.99,80.70,1277100
2018-08-15 20:00:00-04:00,81.27,81.78,80.84,80.95,1064300
2018-08-16 20:00:00-04:00,80.88,81.18,80.56,81.09,2747800
2018-08-19 20:00:00-04:00,81.25,82.07,81.25,81.80,2366200
2018-08-20 20:00:00-04:00,81.98,82.51,81.48,81.67,1226400
2018-08-21 20:00:00-04:00,81.00,81.02,79.74,80.41,2700400
2018-08-22 20:00:00-04:00,80.25,80.53,79.46,79.75,1682300
2018-08-23 20:00:00-04:00,80.05,80.36,79.49,80.24,1328700
2018-08-26 20:00:00-04:00,80.51,81.47,80.51,81.16,1219100
2018-08-27 20:00:00-04:00,81.67,81.67,80.91,81.07,1742200
2018-08-28 20:00:00-04:00,81.08,81.17,80.58,80.65,1779400
2018-08-29 20:00:00-04:00,80.39,80.58,79.74,80.09,3169600
2018-08-30 20:00:00-04:00,79.90,80.48,79.75,80.36,2221000
2018-09-03 20:00:00-04:00,80.37,80.37,79.06,79.20,1771900
2018-09-04 20:00:00-04:00,79.12,79.84,78.74,79.43,2271800
2018-09-05 20:00:00-04:00,79.06,79.38,78.38,78.54,1927900
2018-09-06 20:00:00-04:00,78.44,79.21,78.10,79.17,2063600
2018-09-09 20:00:00-04:00,79.74,80.11,79.49,79.90,1276300
2018-09-10 20:00:00-04:00,79.51,79.83,78.96,79.67,1314600
2018-09-11 20:00:00-04:00,79.58,79.85,78.96,79.53,1153100
2018-09-12 20:00:00-04:00,79.77,80.79,79.67,80.41,1608200
2018-09-13 20:00:00-04:00,80.42,80.77,80.01,80.44,1460300
2018-09-16 20:00:00-04:00,81.07,81.27,80.38,80.54,2282700
2018-09-17 20:00:00-04:00,80.38,80.53,77.88,78.68,2313800
2018-09-18 20:00:00-04:00,78.94,81.00,78.49,80.70,2172100
2018-09-19 20:00:00-04:00,81.30,81.52,80.76,81.20,1710300
2018-09-20 20:00:00-04:00,81.81,82.28,81.02,81.18,3198300
2018-09-23 20:00:00-04:00,80.45,80.77,78.53,79.40,1818200
2018-09-24 20:00:00-04:00,79.12,79.12,77.89,78.35,2148400
2018-09-25 20:00:00-04:00,78.18,78.53,77.77,78.01,1508100
2018-09-26 20:00:00-04:00,78.08,78.24,77.15,77.22,1993100
2018-09-27 20:00:00-04:00,76.91,77.68,76.59,77.08,2119300
2018-09-30 20:00:00-04:00,76.18,76.80,75.25,76.11,2774500
2018-10-01 20:00:00-04:00,75.94,76.73,75.89,76.18,2545600
2018-10-02 20:00:00-04:00,76.17,76.95,74.95,76.09,1702400
2018-10-03 20:00:00-04:00,76.11,76.15,74.80,75.53,1565500
2018-10-04 20:00:00-04:00,75.18,75.72,73.49,73.80,1915600
2018-10-07 20:00:00-04:00,73.70,73.98,72.81,73.62,2040700
2018-10-08 20:00:00-04:00,73.61,73.68,71.90,72.21,3562200
2018-10-09 20:00:00-04:00,72.20,72.23,70.45,70.90,5172900
2018-10-10 20:00:00-04:00,70.99,71.34,68.89,68.95,2532700
2018-10-11 20:00:00-04:00,69.76,70.20,68.11,69.17,1879300
2018-10-14 20:00:00-04:00,69.00,69.53,68.84,68.92,1986100
2018-10-15 20:00:00-04:00,69.32,70.26,69.21,70.18,1505400
2018-10-16 20:00:00-04:00,70.32,70.32,69.13,69.73,1476100
2018-10-17 20:00:00-04:00,69.36,69.82,68.59,68.91,2069800
2018-10-18 20:00:00-04:00,69.07,69.21,67.96,67.98,1988500
2018-10-21 20:00:00-04:00,68.25,68.37,67.59,67.92,1100500
2018-10-22 20:00:00-04:00,66.61,67.55,65.49,67.25,3045600
2018-10-23 20:00:00-04:00,67.46,67.75,64.89,65.00,2325100
2018-10-24 20:00:00-04:00,65.45,66.65,65.45,66.46,1961700
2018-10-25 20:00:00-04:00,65.04,66.88,64.60,65.62,2750700
2018-10-28 20:00:00-04:00,66.87,68.01,65.43,66.34,2496400
2018-10-29 20:00:00-04:00,66.46,68.60,65.94,68.52,4322200
2018-10-30 20:00:00-04:00,66.61,70.44,66.04,66.11,5473100
2018-10-31 20:00:00-04:00,66.78,68.10,66.51,67.72,5263600
2018-11-01 20:00:00-04:00,68.09,68.65,67.49,67.88,2714800
2018-11-04 19:00:00-05:00,67.92,69.15,67.30,68.96,2232200
2018-11-05 19:00:00-05:00,68.72,69.26,68.44,68.72,2093800
2018-11-06 19:00:00-05:00,69.19,70.40,68.84,70.33,2693300
2018-11-07 19:00:00-05:00,70.04,70.78,69.92,70.38,1343600
2018-11-08 19:00:00-05:00,69.84,70.42,69.07,69.36,2170200
2018-11-11 19:00:00-05:00,68.72,69.13,67.06,67.20,2500500
2018-11-12 19:00:00-05:00,67.59,68.74,67.14,67.34,2665300
2018-11-13 19:00:00-05:00,67.74,68.08,66.51,66.69,3191800
2018-11-14 19:00:00-05:00,66.26,67.79,66.23,67.35,3921300
2018-11-15 19:00:00-05:00,66.96,68.76,66.67,68.07,3995100
2018-11-18 19:00:00-05:00,67.79,67.95,65.10,65.41,2314000
2018-11-19 19:00:00-05:00,64.47,65.31,64.22,65.23,2093100
2018-11-20 19:00:00-05:00,65.61,67.24,65.49,66.26,1941300
2018-11-22 19:00:00-05:00,65.56,66.53,65.39,66.10,724700
2018-11-25 19:00:00-05:00,66.92,67.10,66.13,66.51,1460500
2018-11-26 19:00:00-05:00,65.89,66.36,64.93,65.23,2277700
2018-11-27 19:00:00-05:00,65.65,67.00,64.74,67.00,2386600
2018-11-28 19:00:00-05:00,66.72,67.28,66.41,66.75,1361600
2018-11-29 19:00:00-05:00,66.73,67.89,66.61,67.84,2259600
2018-12-02 19:00:00-05:00,68.82,69.43,67.65,68.63,2242900
2018-12-03 19:00:00-05:00,68.50,68.50,65.15,65.40,3166500
2018-12-05 19:00:00-05:00,64.47,66.81,64.02,66.75,3321800
2018-12-06 19:00:00-05:00,66.50,66.95,64.39,64.66,2990200
2018-12-09 19:00:00-05:00,64.57,65.67,64.44,65.33,1852500
2018-12-10 19:00:00-05:00,66.70,66.70,64.73,65.12,2044000
2018-12-11 19:00:00-05:00,66.35,66.95,65.62,65.92,1770000
2018-12-12 19:00:00-05:00,66.45,66.56,64.60,64.88,1467800
2018-12-13 19:00:00-05:00,64.06,64.60,63.95,64.37,2283200
2018-12-16 19:00:00-05:00,64.18,64.89,63.20,63.50,2270200
2018-12-17 19:00:00-05:00,64.16,64.96,63.30,64.49,2788300
2018-12-18 19:00:00-05:00,64.54,65.69,63.32,63.74,3288600
2018-12-19 19:00:00-05:00,63.63,64.18,62.22,63.14,2811300
2018-12-20 19:00:00-05:00,62.79,64.51,62.37,63.48,5081300
2018-12-23 19:00:00-05:00,63.12,63.56,62.20,62.36,1451100
2018-12-25 19:00:00-05:00,62.55,64.54,61.58,64.49,1732500
2018-12-26 19:00:00-05:00,63.71,66.32,63.33,66.32,1952500
2018-12-27 19:00:00-05:00,66.51,66.78,65.44,65.91,1651900
2018-12-30 19:00:00-05:00,66.14,66.73,65.91,66.69,1683600
2019-01-01 19:00:00-05:00,65.71,66.98,65.39,66.35,1536600
2019-01-02 19:00:00-05:00,65.17,65.53,63.70,63.87,3610900
2019-01-03 19:00:00-05:00,64.94,66.07,64.57,65.54,1919500
2019-01-06 19:00:00-05:00,65.34,66.95,65.18,66.84,2723900
2019-01-07 19:00:00-05:00,67.12,67.42,65.49,66.62,2801000
2019-01-08 19:00:00-05:00,66.82,68.31,66.61,67.96,1766800
2019-01-09 19:00:00-05:00,67.60,68.89,67.27,68.89,1270300
2019-01-10 19:00:00-05:00,68.28,69.21,68.26,69.19,1458100
2019-01-13 19:00:00-05:00,68.62,68.86,67.90,68.48,1235100
2019-01-14 19:00:00-05:00,68.72,68.89,67.82,68.18,1274900
2019-01-15 19:00:00-05:00,68.17,69.41,68.17,69.21,2071000
2019-01-16 19:00:00-05:00,68.71,70.50,68.44,70.31,1928400
2019-01-17 19:00:00-05:00,70.39,71.75,70.14,71.65,1737300
2019-01-21 19:00:00-05:00,71.13,71.20,69.58,70.09,2931400
2019-01-22 19:00:00-05:00,67.90,71.31,65.99,67.02,6593300
2019-01-23 19:00:00-05:00,66.77,70.01,66.68,69.45,2725300
2019-01-24 19:00:00-05:00,70.33,71.61,70.00,70.68,2001500
2019-01-27 19:00:00-05:00,69.64,70.57,69.51,70.41,1193500
