Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,146.17,147.40,143.65,144.80,1378100
2022-04-06 20:00:00-04:00,142.97,146.48,142.91,145.17,1411600
2022-04-07 20:00:00-04:00,144.65,145.27,141.96,142.72,1014200
2022-04-10 20:00:00-04:00,141.79,142.79,140.30,140.87,1775900
2022-04-11 20:00:00-04:00,140.58,144.31,139.04,139.96,1422100
2022-04-12 20:00:00-04:00,140.05,142.66,140.05,141.95,1064000
2022-04-13 20:00:00-04:00,142.13,143.17,140.55,141.05,3455200
2022-04-17 20:00:00-04:00,141.05,141.86,138.39,139.06,724700
2022-04-18 20:00:00-04:00,139.63,142.77,139.45,142.65,951700
2022-04-19 20:00:00-04:00,144.08,148.47,143.75,147.23,1569900
2022-04-20 20:00:00-04:00,150.39,151.08,145.36,145.59,1754500
2022-04-21 20:00:00-04:00,144.90,144.92,141.55,141.85,1196300
2022-04-24 20:00:00-04:00,140.43,142.50,137.57,142.37,924000
2022-04-25 20:00:00-04:00,140.57,141.23,137.37,137.87,1063500
2022-04-26 20:00:00-04:00,137.03,140.11,136.88,137.83,1140500
2022-04-27 20:00:00-04:00,136.72,139.89,133.86,138.78,1568800
2022-04-28 20:00:00-04:00,137.75,139.01,132.75,133.28,1880400
2022-05-01 20:00:00-04:00,133.30,136.01,131.21,133.89,1548800
2022-05-02 20:00:00-04:00,133.86,135.17,132.17,132.90,2827200
2022-05-03 20:00:00-04:00,131.82,134.89,127.48,134.53,2391000
2022-05-04 20:00:00-04:00,133.60,134.91,129.11,130.23,1656900
2022-05-05 20:00:00-04:00,129.31,129.58,125.26,127.87,1496900
2022-05-08 20:00:00-04:00,126.30,130.03,124.81,128.17,1446500
2022-05-09 20:00:00-04:00,129.86,130.14,125.50,127.01,1417700
2022-05-10 20:00:00-04:00,126.96,128.86,124.84,124.97,1374700
2022-05-11 20:00:00-04:00,124.23,129.01,123.86,128.07,1780800
2022-05-12 20:00:00-04:00,128.97,131.78,128.97,131.46,1355400
2022-05-15 20:00:00-04:00,130.52,131.27,127.70,129.01,911900
2022-05-16 20:00:00-04:00,130.80,131.43,128.10,130.34,1408500
2022-05-17 20:00:00-04:00,127.51,129.07,123.61,123.96,1509900
2022-05-18 20:00:00-04:00,123.30,126.44,122.60,124.67,992100
2022-05-19 20:00:00-04:00,125.97,126.54,122.07,124.54,1407200
2022-05-22 20:00:00-04:00,126.41,126.41,122.48,125.29,1194500
2022-05-23 20:00:00-04:00,124.90,125.95,122.11,125.50,1024100
2022-05-24 20:00:00-04:00,124.89,128.36,124.43,127.57,1500300
2022-05-25 20:00:00-04:00,129.19,130.86,129.12,130.34,1025500
2022-05-26 20:00:00-04:00,131.68,133.92,131.23,133.86,989400
2022-05-30 20:00:00-04:00,132.09,132.49,130.07,131.53,2507900
2022-05-31 20:00:00-04:00,131.89,132.29,128.81,129.89,1280200
2022-06-01 20:00:00-04:00,131.09,133.61,130.32,133.42,950400
2022-06-02 20:00:00-04:00,132.17,133.11,131.65,132.55,689300
2022-06-05 20:00:00-04:00,132.95,133.78,131.98,132.35,1123400
2022-06-06 20:00:00-04:00,131.28,133.98,130.59,133.80,873900
2022-06-07 20:00:00-04:00,132.74,133.77,131.61,132.00,746900
2022-06-08 20:00:00-04:00,131.22,132.12,128.37,128.57,1305400
2022-06-09 20:00:00-04:00,126.24,126.39,123.57,124.67,923400
2022-06-12 20:00:00-04:00,122.22,124.02,121.32,122.18,1342500
2022-06-13 20:00:00-04:00,122.12,123.87,120.18,121.29,1186400
2022-06-14 20:00:00-04:00,122.35,124.34,120.78,122.38,1084600
2022-06-15 20:00:00-04:00,119.75,120.01,115.93,116.74,1224200
2022-06-16 20:00:00-04:00,116.19,118.09,115.50,115.82,2309900
2022-06-20 20:00:00-04:00,117.35,119.46,116.82,118.86,1604600
2022-06-21 20:00:00-04:00,117.16,120.36,116.88,119.64,1591300
2022-06-22 20:00:00-04:00,119.29,122.19,118.73,122.09,1457200
2022-06-23 20:00:00-04:00,123.14,126.04,122.34,125.89,1883800
2022-06-26 20:00:00-04:00,126.32,126.56,124.22,125.88,962200
2022-06-27 20:00:00-04:00,126.08,127.04,123.28,123.42,984900
2022-06-28 20:00:00-04:00,123.21,124.88,121.18,124.54,1113600
2022-06-29 20:00:00-04:00,123.27,125.99,122.49,124.34,1496600
2022-06-30 20:00:00-04:00,124.72,126.49,124.09,125.78,1197600
2022-07-04 20:00:00-04:00,123.66,126.23,122.79,126.11,1197800
2022-07-05 20:00:00-04:00,126.97,126.97,124.58,125.82,1722100
2022-07-06 20:00:00-04:00,125.81,126.39,123.87,125.20,1579500
2022-07-07 20:00:00-04:00,125.86,126.79,124.38,125.50,1410400
2022-07-10 20:00:00-04:00,124.81,125.68,124.47,125.08,1214100
2022-07-11 20:00:00-04:00,124.94,126.58,124.01,124.44,1275500
2022-07-12 20:00:00-04:00,121.94,123.79,120.87,122.18,1549300
2022-07-13 20:00:00-04:00,120.03,122.56,119.93,121.92,1971800
2022-07-14 20:00:00-04:00,124.11,125.50,122.51,124.04,4404300
2022-07-17 20:00:00-04:00,124.02,124.37,120.43,121.09,1105400
2022-07-18 20:00:00-04:00,122.65,127.24,122.14,126.99,1165500
2022-07-19 20:00:00-04:00,127.11,128.47,126.16,127.48,1172000
2022-07-20 20:00:00-04:00,127.86,132.57,127.62,132.46,1501300
2022-07-21 20:00:00-04:00,132.58,133.97,132.09,133.29,1566000
2022-07-24 20:00:00-04:00,133.02,133.42,132.12,133.27,1212400
