Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,214.15,216.54,213.38,216.32,1793300
2018-07-02 20:00:00-04:00,217.03,217.43,215.67,215.88,1248000
2018-07-04 20:00:00-04:00,217.74,219.33,216.40,218.96,2182900
2018-07-05 20:00:00-04:00,219.40,220.03,218.01,219.18,1572300
2018-07-08 20:00:00-04:00,220.38,222.02,219.44,221.73,2039600
2018-07-09 20:00:00-04:00,222.17,224.55,221.80,223.36,2012200
2018-07-10 20:00:00-04:00,223.01,223.76,221.79,222.53,1486000
2018-07-11 20:00:00-04:00,223.92,224.48,222.82,223.81,1592700
2018-07-12 20:00:00-04:00,224.10,226.39,223.78,226.12,2356200
2018-07-15 20:00:00-04:00,225.77,225.91,224.15,224.62,3625400
2018-07-16 20:00:00-04:00,219.87,220.72,215.26,218.77,6932300
2018-07-17 20:00:00-04:00,219.49,224.30,218.90,223.26,3359800
2018-07-18 20:00:00-04:00,223.17,224.20,220.14,221.08,2307600
2018-07-19 20:00:00-04:00,219.54,221.62,219.54,220.88,1959600
2018-07-22 20:00:00-04:00,221.06,223.09,220.64,220.91,1479600
2018-07-23 20:00:00-04:00,222.77,222.85,220.28,221.81,2476500
2018-07-24 20:00:00-04:00,222.72,223.13,220.94,222.77,3016900
2018-07-25 20:00:00-04:00,223.98,225.40,223.59,224.64,2021300
2018-07-26 20:00:00-04:00,225.33,225.33,223.23,223.72,1656800
2018-07-29 20:00:00-04:00,223.69,224.54,221.24,221.88,1681500
2018-07-30 20:00:00-04:00,222.14,223.06,221.01,221.33,2355900
2018-07-31 20:00:00-04:00,223.85,223.85,220.98,221.46,3006700
2018-08-01 20:00:00-04:00,221.58,224.03,220.47,223.83,1854400
2018-08-02 20:00:00-04:00,224.16,225.13,222.28,224.83,1422300
2018-08-05 20:00:00-04:00,224.20,225.11,223.30,224.43,1398100
2018-08-06 20:00:00-04:00,225.20,226.25,224.75,225.21,1462800
2018-08-07 20:00:00-04:00,225.61,226.82,225.44,226.22,1494300
2018-08-08 20:00:00-04:00,227.18,229.90,226.66,228.65,2315000
2018-08-09 20:00:00-04:00,227.69,228.57,226.48,227.57,1625000
2018-08-12 20:00:00-04:00,228.13,229.49,227.52,228.06,1635100
2018-08-13 20:00:00-04:00,228.04,231.02,228.00,230.30,1941600
2018-08-14 20:00:00-04:00,228.99,229.61,226.55,227.79,2017700
2018-08-15 20:00:00-04:00,228.63,230.54,228.53,229.97,2115900
2018-08-16 20:00:00-04:00,230.36,230.87,228.76,229.30,1969700
2018-08-19 20:00:00-04:00,229.88,230.31,228.63,229.36,1786200
2018-08-20 20:00:00-04:00,228.88,229.46,227.90,228.74,1559300
2018-08-21 20:00:00-04:00,228.96,228.96,227.48,227.91,2148500
2018-08-22 20:00:00-04:00,228.15,229.50,226.88,228.50,1603500
2018-08-23 20:00:00-04:00,228.79,231.44,228.79,231.00,2238600
2018-08-26 20:00:00-04:00,231.63,233.77,231.12,233.45,2614000
2018-08-27 20:00:00-04:00,234.72,235.25,233.67,234.70,2603900
2018-08-28 20:00:00-04:00,234.59,235.41,233.60,235.13,2880600
2018-08-29 20:00:00-04:00,235.53,236.15,234.35,234.59,2976300
2018-08-30 20:00:00-04:00,234.50,235.31,233.55,234.65,2961500
2018-09-03 20:00:00-04:00,234.25,235.49,233.00,234.70,2097300
2018-09-04 20:00:00-04:00,234.74,234.95,233.32,233.94,2230600
2018-09-05 20:00:00-04:00,234.69,236.81,234.11,236.49,2556100
2018-09-06 20:00:00-04:00,236.48,237.81,234.61,235.29,2958000
2018-09-09 20:00:00-04:00,233.97,233.99,226.93,227.79,4146200
2018-09-10 20:00:00-04:00,226.20,229.27,225.82,228.94,2283300
2018-09-11 20:00:00-04:00,229.01,231.96,228.77,230.37,2236300
2018-09-12 20:00:00-04:00,231.68,233.02,231.03,232.84,2734500
2018-09-13 20:00:00-04:00,232.76,233.86,230.90,232.68,2084600
2018-09-16 20:00:00-04:00,233.73,233.87,231.02,231.42,1940400
2018-09-17 20:00:00-04:00,230.60,231.61,229.78,230.91,3557000
2018-09-18 20:00:00-04:00,231.95,232.95,230.80,232.70,2274300
2018-09-19 20:00:00-04:00,233.36,234.99,233.34,233.63,2095000
2018-09-20 20:00:00-04:00,233.38,234.90,233.16,233.88,5671600
2018-09-23 20:00:00-04:00,234.17,236.38,233.88,234.48,2699800
2018-09-24 20:00:00-04:00,234.43,234.46,230.68,231.11,3789700
2018-09-25 20:00:00-04:00,231.97,232.84,230.18,230.58,2238000
2018-09-26 20:00:00-04:00,230.66,232.77,230.60,232.11,2761400
2018-09-27 20:00:00-04:00,231.87,233.46,231.40,233.32,2875100
2018-09-30 20:00:00-04:00,234.39,236.81,234.18,236.01,3314500
2018-10-01 20:00:00-04:00,235.92,238.06,234.60,237.35,2777300
2018-10-02 20:00:00-04:00,238.55,238.61,236.60,237.59,3002200
2018-10-03 20:00:00-04:00,237.67,238.22,234.44,235.32,2186600
2018-10-04 20:00:00-04:00,235.61,237.67,235.00,236.10,2045700
2018-10-07 20:00:00-04:00,235.78,236.49,232.98,235.93,1865000
2018-10-08 20:00:00-04:00,236.09,238.52,235.46,236.89,2510100
2018-10-09 20:00:00-04:00,237.32,238.04,230.24,230.73,4267300
