Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,119.04,119.96,117.73,118.63,1111900
2018-07-02 20:00:00-04:00,119.42,120.54,119.08,119.84,789900
2018-07-04 20:00:00-04:00,120.66,120.83,118.96,120.69,559900
2018-07-05 20:00:00-04:00,120.61,122.63,120.53,121.63,735600
2018-07-08 20:00:00-04:00,121.70,122.01,120.15,120.56,865900
2018-07-09 20:00:00-04:00,120.31,120.84,118.42,118.75,1194600
2018-07-10 20:00:00-04:00,117.68,120.24,117.03,118.57,1691800
2018-07-11 20:00:00-04:00,119.72,119.72,117.11,118.69,1361500
2018-07-12 20:00:00-04:00,119.01,119.53,117.38,117.64,916700
2018-07-15 20:00:00-04:00,117.39,117.39,113.54,114.61,1607600
2018-07-16 20:00:00-04:00,114.36,116.06,114.09,115.30,1323500
2018-07-17 20:00:00-04:00,115.54,116.55,115.36,116.02,1513000
2018-07-18 20:00:00-04:00,115.86,116.61,115.18,116.49,715700
2018-07-19 20:00:00-04:00,116.02,116.50,115.21,115.51,797300
2018-07-22 20:00:00-04:00,114.84,115.90,114.58,115.29,963900
2018-07-23 20:00:00-04:00,115.87,116.24,113.93,114.30,1172900
2018-07-24 20:00:00-04:00,113.69,113.69,109.70,112.36,2339000
2018-07-25 20:00:00-04:00,112.83,112.83,108.18,108.90,2585700
2018-07-26 20:00:00-04:00,109.38,111.45,109.02,110.38,1662900
2018-07-29 20:00:00-04:00,109.96,110.37,107.63,109.31,2148500
2018-07-30 20:00:00-04:00,107.78,107.86,103.58,104.43,4311800
2018-07-31 20:00:00-04:00,106.21,107.09,104.44,105.76,2804300
2018-08-01 20:00:00-04:00,105.31,107.29,104.56,106.92,1223300
2018-08-02 20:00:00-04:00,106.80,107.76,106.35,106.76,1240000
2018-08-05 20:00:00-04:00,106.48,107.21,105.87,107.03,752400
2018-08-06 20:00:00-04:00,106.76,109.50,106.76,108.00,883400
2018-08-07 20:00:00-04:00,108.21,108.24,106.19,106.26,779300
2018-08-08 20:00:00-04:00,106.15,106.72,105.20,105.28,953300
2018-08-09 20:00:00-04:00,104.60,104.88,102.96,103.04,1116000
2018-08-12 20:00:00-04:00,103.04,103.72,102.07,102.89,959200
2018-08-13 20:00:00-04:00,102.89,104.28,102.58,103.84,798700
2018-08-14 20:00:00-04:00,103.50,103.50,101.78,102.40,984400
2018-08-15 20:00:00-04:00,103.03,103.46,102.24,102.41,2213800
2018-08-16 20:00:00-04:00,102.34,103.25,102.24,102.89,845400
2018-08-19 20:00:00-04:00,102.59,103.02,101.99,102.61,862500
2018-08-20 20:00:00-04:00,102.93,104.91,102.93,104.48,1028800
2018-08-21 20:00:00-04:00,104.52,105.80,104.38,105.11,896600
2018-08-22 20:00:00-04:00,105.23,105.44,103.10,103.86,911300
2018-08-23 20:00:00-04:00,104.17,104.82,103.77,104.34,685400
2018-08-26 20:00:00-04:00,105.72,107.21,104.62,106.18,1435300
2018-08-27 20:00:00-04:00,106.14,106.70,104.66,104.88,941100
2018-08-28 20:00:00-04:00,104.63,106.24,104.01,105.99,811900
2018-08-29 20:00:00-04:00,105.96,105.96,104.70,104.84,801700
2018-08-30 20:00:00-04:00,104.51,104.84,102.83,103.58,984200
2018-09-03 20:00:00-04:00,102.83,103.76,102.20,103.47,858400
2018-09-04 20:00:00-04:00,103.17,103.94,102.11,102.83,895800
2018-09-05 20:00:00-04:00,103.30,104.18,102.29,103.04,793500
