Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,218.98,219.91,214.78,217.29,628700
2022-04-06 20:00:00-04:00,216.23,219.49,215.71,217.98,433500
2022-04-07 20:00:00-04:00,217.11,219.07,215.29,216.08,454300
2022-04-10 20:00:00-04:00,214.63,215.38,210.97,211.21,469500
2022-04-11 20:00:00-04:00,214.07,214.79,210.51,210.71,377500
2022-04-12 20:00:00-04:00,211.21,213.12,210.71,212.68,362900
2022-04-13 20:00:00-04:00,212.91,213.67,210.96,212.75,590100
2022-04-17 20:00:00-04:00,212.70,213.44,208.53,210.69,414600
2022-04-18 20:00:00-04:00,210.10,215.92,209.55,215.59,356900
2022-04-19 20:00:00-04:00,217.29,218.13,216.05,216.73,428900
2022-04-20 20:00:00-04:00,217.16,218.08,209.20,209.93,519200
2022-04-21 20:00:00-04:00,209.46,209.62,203.12,203.31,592800
2022-04-24 20:00:00-04:00,203.75,208.68,203.40,208.57,655900
2022-04-25 20:00:00-04:00,207.57,207.57,202.86,203.05,801200
2022-04-26 20:00:00-04:00,203.80,205.67,200.46,201.10,515500
2022-04-27 20:00:00-04:00,203.49,206.96,201.87,205.85,1087400
2022-04-28 20:00:00-04:00,182.93,187.66,175.95,176.49,2316200
2022-05-01 20:00:00-04:00,176.57,178.78,171.02,172.84,1697400
2022-05-02 20:00:00-04:00,173.34,181.16,172.25,180.88,1545000
2022-05-03 20:00:00-04:00,179.71,184.44,176.60,184.18,987600
2022-05-04 20:00:00-04:00,181.88,181.88,171.88,173.58,1114800
2022-05-05 20:00:00-04:00,171.54,173.14,168.32,169.93,939800
2022-05-08 20:00:00-04:00,167.35,168.21,162.38,162.83,1194200
2022-05-09 20:00:00-04:00,165.98,167.24,162.82,165.62,1259600
2022-05-10 20:00:00-04:00,163.88,168.44,163.88,164.88,977000
2022-05-11 20:00:00-04:00,163.87,164.81,160.64,162.38,1140400
2022-05-12 20:00:00-04:00,164.92,166.53,162.45,163.08,1675400
2022-05-15 20:00:00-04:00,161.67,164.08,160.65,162.52,974800
2022-05-16 20:00:00-04:00,165.41,166.57,162.79,166.44,914100
2022-05-17 20:00:00-04:00,164.11,164.93,160.30,160.52,912000
2022-05-18 20:00:00-04:00,160.09,163.97,160.05,161.44,842300
2022-05-19 20:00:00-04:00,163.55,164.38,157.72,163.52,1649000
2022-05-22 20:00:00-04:00,164.66,165.54,162.71,164.66,610200
2022-05-23 20:00:00-04:00,162.96,165.56,162.08,164.57,573400
2022-05-24 20:00:00-04:00,164.32,170.51,163.90,168.87,697500
2022-05-25 20:00:00-04:00,169.08,172.45,168.76,170.58,451100
2022-05-26 20:00:00-04:00,171.71,174.52,171.71,174.15,510300
2022-05-30 20:00:00-04:00,173.04,174.02,170.83,172.40,1080000
2022-05-31 20:00:00-04:00,173.30,174.64,169.93,172.22,815100
2022-06-01 20:00:00-04:00,172.31,180.02,172.31,178.11,795100
2022-06-02 20:00:00-04:00,176.03,176.90,174.30,175.51,612400
2022-06-05 20:00:00-04:00,176.93,178.56,174.83,175.57,541400
2022-06-06 20:00:00-04:00,173.98,177.29,173.70,176.87,512400
2022-06-07 20:00:00-04:00,176.30,178.20,174.34,175.03,385500
2022-06-08 20:00:00-04:00,174.74,175.67,171.32,171.47,571800
2022-06-09 20:00:00-04:00,169.88,169.94,166.41,167.02,504100
2022-06-12 20:00:00-04:00,163.09,164.24,159.99,160.67,668600
2022-06-13 20:00:00-04:00,161.26,162.02,157.97,159.19,519100
2022-06-14 20:00:00-04:00,161.77,168.21,159.48,161.86,647500
2022-06-15 20:00:00-04:00,158.14,158.82,153.65,154.58,1155500
2022-06-16 20:00:00-04:00,154.58,157.24,153.34,155.60,1554000
2022-06-20 20:00:00-04:00,157.82,161.04,157.82,158.70,807200
2022-06-21 20:00:00-04:00,157.60,159.05,155.40,155.83,1244100
2022-06-22 20:00:00-04:00,158.21,162.46,157.72,161.87,653600
2022-06-23 20:00:00-04:00,162.52,167.57,161.92,167.18,1048400
2022-06-26 20:00:00-04:00,167.00,168.06,165.46,166.77,477500
2022-06-27 20:00:00-04:00,166.89,168.52,161.65,162.24,529800
2022-06-28 20:00:00-04:00,162.47,164.82,161.10,164.21,564000
2022-06-29 20:00:00-04:00,163.15,167.74,162.94,165.27,841200
2022-06-30 20:00:00-04:00,164.95,169.77,160.84,168.71,535400
2022-07-04 20:00:00-04:00,167.10,170.27,164.75,170.18,625900
2022-07-05 20:00:00-04:00,171.30,175.34,170.50,173.89,611100
2022-07-06 20:00:00-04:00,173.40,177.17,171.95,176.42,508000
2022-07-07 20:00:00-04:00,175.15,176.86,173.61,176.43,516600
2022-07-10 20:00:00-04:00,174.79,175.39,173.09,173.67,414000
2022-07-11 20:00:00-04:00,174.50,175.82,171.62,172.28,574200
2022-07-12 20:00:00-04:00,169.38,174.15,168.92,173.11,448200
2022-07-13 20:00:00-04:00,171.77,172.77,169.07,171.85,494100
2022-07-14 20:00:00-04:00,173.74,175.34,173.22,175.29,463400
2022-07-17 20:00:00-04:00,175.56,177.23,172.83,173.47,582300
2022-07-18 20:00:00-04:00,175.10,180.07,175.10,179.58,538900
2022-07-19 20:00:00-04:00,180.40,182.82,179.82,181.32,651600
2022-07-20 20:00:00-04:00,181.73,184.70,181.21,184.46,487000
2022-07-21 20:00:00-04:00,184.46,186.30,181.67,183.02,611700
2022-07-24 20:00:00-04:00,183.54,183.54,177.81,179.20,550400
2022-07-25 20:00:00-04:00,178.69,179.35,174.20,175.10,717200
2022-07-26 20:00:00-04:00,176.05,179.96,175.82,179.15,581400
2022-07-27 20:00:00-04:00,179.06,180.92,176.68,180.29,731100
2022-07-28 20:00:00-04:00,178.62,187.51,176.91,186.83,1397900
2022-07-31 20:00:00-04:00,185.16,191.06,184.47,190.74,868600
2022-08-01 20:00:00-04:00,189.63,192.27,188.95,190.73,715200
2022-08-02 20:00:00-04:00,190.57,193.79,190.50,193.13,450600
2022-08-03 20:00:00-04:00,193.13,194.80,192.26,194.77,489200
2022-08-04 20:00:00-04:00,191.48,196.56,191.41,196.25,527900
2022-08-07 20:00:00-04:00,197.61,198.21,194.77,195.21,470400
2022-08-08 20:00:00-04:00,195.39,195.39,192.79,193.82,481900
2022-08-09 20:00:00-04:00,197.60,197.96,195.96,197.39,442100
2022-08-10 20:00:00-04:00,198.52,198.52,194.50,194.85,433900
2022-08-11 20:00:00-04:00,196.25,200.06,195.71,199.60,389000
2022-08-14 20:00:00-04:00,199.35,202.78,196.28,201.81,448800
2022-08-15 20:00:00-04:00,201.69,202.69,200.20,201.49,372900
2022-08-16 20:00:00-04:00,199.99,203.78,198.91,202.26,531300
2022-08-17 20:00:00-04:00,202.10,204.05,201.43,203.93,616600
2022-08-18 20:00:00-04:00,201.77,201.77,197.40,198.99,606700
2022-08-21 20:00:00-04:00,197.51,198.03,193.11,193.59,542900
2022-08-22 20:00:00-04:00,193.45,194.67,191.66,191.79,338100
2022-08-23 20:00:00-04:00,191.72,192.68,190.95,191.00,307700
2022-08-24 20:00:00-04:00,192.11,192.29,189.66,192.21,355300
2022-08-25 20:00:00-04:00,192.40,192.54,185.02,185.20,408800
2022-08-28 20:00:00-04:00,183.40,184.92,181.25,181.81,445400
2022-08-29 20:00:00-04:00,181.75,182.47,177.76,179.51,439700
2022-08-30 20:00:00-04:00,180.81,181.31,178.23,179.97,966100
2022-08-31 20:00:00-04:00,178.90,182.46,176.76,180.18,489400
2022-09-01 20:00:00-04:00,180.88,183.25,178.03,179.21,467700
2022-09-05 20:00:00-04:00,179.61,181.66,177.71,180.04,441900
2022-09-06 20:00:00-04:00,181.27,184.98,180.94,184.23,689100
2022-09-07 20:00:00-04:00,182.92,187.31,181.63,185.02,453900
2022-09-08 20:00:00-04:00,185.48,188.46,185.48,188.21,423000
2022-09-11 20:00:00-04:00,187.91,189.40,185.18,186.71,738900
2022-09-12 20:00:00-04:00,181.88,182.20,175.99,176.55,732200
2022-09-13 20:00:00-04:00,177.52,179.87,174.90,176.14,614000
2022-09-14 20:00:00-04:00,175.66,176.41,172.24,172.47,838600
2022-09-15 20:00:00-04:00,171.60,174.04,169.81,172.87,2255300
2022-09-18 20:00:00-04:00,172.27,174.72,172.17,174.10,854600
2022-09-19 20:00:00-04:00,172.94,173.71,171.02,172.58,905900
2022-09-20 20:00:00-04:00,175.02,179.91,174.07,174.54,1059100
2022-09-21 20:00:00-04:00,173.12,174.84,172.44,172.49,602400
2022-09-22 20:00:00-04:00,172.22,173.29,169.03,171.56,627800
2022-09-25 20:00:00-04:00,171.71,176.01,171.12,171.24,803600
2022-09-26 20:00:00-04:00,172.64,174.73,169.47,170.40,550200
2022-09-27 20:00:00-04:00,172.39,175.72,171.85,175.11,659900
2022-09-28 20:00:00-04:00,173.73,174.12,171.95,174.00,769900
2022-09-29 20:00:00-04:00,174.32,176.73,171.35,171.56,762200
2022-10-02 20:00:00-04:00,172.64,177.80,172.27,177.09,565000
2022-10-03 20:00:00-04:00,172.82,181.39,172.82,181.20,1061000
2022-10-04 20:00:00-04:00,180.34,182.86,177.98,181.60,797700
2022-10-05 20:00:00-04:00,181.87,182.76,178.54,179.84,663000
2022-10-06 20:00:00-04:00,177.86,178.45,174.87,175.67,731800
2022-10-09 20:00:00-04:00,176.55,176.55,172.91,174.81,437800
2022-10-10 20:00:00-04:00,174.85,175.36,171.77,172.73,647300
