Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,120.00,124.38,119.60,124.26,1297000
2018-07-02 20:00:00-04:00,124.11,124.86,123.00,123.74,935700
2018-07-04 20:00:00-04:00,124.12,126.57,123.23,126.39,2573600
2018-07-05 20:00:00-04:00,126.21,129.55,125.99,128.75,1929200
2018-07-08 20:00:00-04:00,128.98,129.94,125.69,129.10,2956200
2018-07-09 20:00:00-04:00,129.15,130.57,128.76,129.14,1815600
2018-07-10 20:00:00-04:00,128.25,132.00,127.00,131.62,1514600
2018-07-11 20:00:00-04:00,132.01,137.43,131.53,137.31,2666100
2018-07-12 20:00:00-04:00,137.00,137.16,133.38,134.76,2090000
2018-07-15 20:00:00-04:00,135.25,135.61,132.44,132.88,1302300
2018-07-16 20:00:00-04:00,130.73,133.68,129.32,133.20,1275500
2018-07-17 20:00:00-04:00,133.02,133.84,131.78,133.19,1503200
2018-07-18 20:00:00-04:00,132.53,135.50,131.86,132.98,814100
2018-07-19 20:00:00-04:00,133.03,133.59,132.12,132.33,1041000
2018-07-22 20:00:00-04:00,132.18,134.03,130.72,133.92,1400200
2018-07-23 20:00:00-04:00,134.81,134.83,129.60,130.91,1535000
2018-07-24 20:00:00-04:00,131.32,134.14,131.32,133.67,1205300
2018-07-25 20:00:00-04:00,132.80,135.78,131.55,134.41,1420100
2018-07-26 20:00:00-04:00,134.35,134.52,128.25,130.55,1901300
2018-07-29 20:00:00-04:00,130.47,130.47,122.30,123.90,2061000
2018-07-30 20:00:00-04:00,124.63,126.16,122.30,124.02,1335200
2018-07-31 20:00:00-04:00,123.61,127.26,122.92,126.38,1446700
2018-08-01 20:00:00-04:00,125.33,131.16,125.01,130.78,1200300
2018-08-02 20:00:00-04:00,130.80,130.99,127.68,129.16,819600
2018-08-05 20:00:00-04:00,129.09,132.13,128.53,131.55,803700
2018-08-06 20:00:00-04:00,131.54,133.55,131.03,132.75,1663500
2018-08-07 20:00:00-04:00,132.76,135.29,131.73,135.01,1321200
2018-08-08 20:00:00-04:00,135.00,138.13,134.09,136.53,1258800
2018-08-09 20:00:00-04:00,135.93,138.54,135.06,137.17,1054900
2018-08-12 20:00:00-04:00,137.00,139.38,136.90,137.09,1410200
2018-08-13 20:00:00-04:00,137.48,138.78,135.52,137.40,1078500
2018-08-14 20:00:00-04:00,136.55,142.50,135.85,139.20,4244000
2018-08-15 20:00:00-04:00,139.73,141.83,139.16,140.05,1949600
2018-08-16 20:00:00-04:00,139.45,142.77,138.64,142.65,1538700
2018-08-19 20:00:00-04:00,142.70,144.22,141.66,143.29,2192300
2018-08-20 20:00:00-04:00,144.00,147.80,143.85,145.01,1758300
2018-08-21 20:00:00-04:00,144.39,146.97,144.39,146.14,1026200
2018-08-22 20:00:00-04:00,146.14,147.73,145.20,145.68,1154300
2018-08-23 20:00:00-04:00,147.65,151.72,147.50,151.00,1875100
2018-08-26 20:00:00-04:00,151.55,152.80,149.69,151.68,1292100
2018-08-27 20:00:00-04:00,152.00,153.22,150.91,152.26,2610400
2018-08-28 20:00:00-04:00,152.98,154.58,152.28,153.78,1754500
2018-08-29 20:00:00-04:00,154.00,155.81,152.88,153.81,1595100
2018-08-30 20:00:00-04:00,152.89,155.35,152.50,154.54,1471900
2018-09-03 20:00:00-04:00,154.42,157.12,152.40,156.69,3368900
2018-09-04 20:00:00-04:00,153.00,155.47,141.02,142.21,6446300
2018-09-05 20:00:00-04:00,143.30,146.24,143.03,144.52,2438000
2018-09-06 20:00:00-04:00,144.00,147.43,142.14,144.93,2405100
2018-09-09 20:00:00-04:00,145.19,145.26,141.41,143.66,1817500
2018-09-10 20:00:00-04:00,143.80,147.80,143.26,146.15,1737000
2018-09-11 20:00:00-04:00,147.00,148.42,144.15,148.21,1551200
2018-09-12 20:00:00-04:00,148.96,152.18,148.78,150.54,1648000
2018-09-13 20:00:00-04:00,151.79,153.08,150.47,151.07,827100
2018-09-16 20:00:00-04:00,151.47,151.47,144.54,144.73,1828000
2018-09-17 20:00:00-04:00,145.00,147.36,143.31,143.68,1743600
2018-09-18 20:00:00-04:00,143.20,143.77,138.40,140.66,2006600
2018-09-19 20:00:00-04:00,140.84,142.38,139.52,141.66,1244000
2018-09-20 20:00:00-04:00,141.76,142.79,138.48,138.63,1819100
2018-09-23 20:00:00-04:00,137.65,141.64,135.83,141.50,1463000
2018-09-24 20:00:00-04:00,142.00,144.82,141.25,143.79,1557000
2018-09-25 20:00:00-04:00,143.78,145.71,142.79,144.51,1429800
2018-09-26 20:00:00-04:00,145.25,147.30,145.02,145.97,1054000
2018-09-27 20:00:00-04:00,145.93,147.19,144.49,145.98,1122600
2018-09-30 20:00:00-04:00,147.19,148.39,145.52,145.87,1614600
2018-10-01 20:00:00-04:00,145.50,145.65,141.81,142.90,1481800
2018-10-02 20:00:00-04:00,144.63,147.48,143.38,145.66,1513500
2018-10-03 20:00:00-04:00,144.45,145.61,137.90,139.76,1808900
2018-10-04 20:00:00-04:00,139.76,142.00,135.83,139.97,1430500
2018-10-07 20:00:00-04:00,138.43,138.78,130.58,132.42,3009700
2018-10-08 20:00:00-04:00,131.55,134.27,129.79,131.67,2919800
2018-10-09 20:00:00-04:00,131.26,131.32,122.89,124.30,4187100
2018-10-10 20:00:00-04:00,124.05,127.28,121.78,124.75,2748700
2018-10-11 20:00:00-04:00,127.33,130.35,125.01,128.31,2083900
2018-10-14 20:00:00-04:00,127.51,128.55,125.22,127.00,2207400
2018-10-15 20:00:00-04:00,130.37,134.61,129.18,134.19,2185500
2018-10-16 20:00:00-04:00,138.15,139.12,134.54,137.25,2491200
2018-10-17 20:00:00-04:00,136.19,136.77,129.18,130.43,2142600
