Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,25.67,25.81,25.26,25.63,2151000
2018-07-02 20:00:00-04:00,25.77,26.16,25.64,25.83,1603800
2018-07-04 20:00:00-04:00,26.05,26.05,25.51,25.80,2278600
2018-07-05 20:00:00-04:00,25.70,25.98,25.55,25.63,1760000
2018-07-08 20:00:00-04:00,25.70,25.92,25.52,25.82,1783400
2018-07-09 20:00:00-04:00,25.88,26.38,25.66,25.87,2561600
2018-07-10 20:00:00-04:00,25.47,25.51,24.31,25.42,7040200
2018-07-11 20:00:00-04:00,25.37,25.49,25.14,25.41,1632000
2018-07-12 20:00:00-04:00,25.62,26.13,25.44,25.72,2244600
2018-07-15 20:00:00-04:00,25.78,25.84,25.53,25.76,1811400
2018-07-16 20:00:00-04:00,25.74,26.11,25.59,26.02,1986800
2018-07-17 20:00:00-04:00,26.05,26.20,25.61,25.94,2650000
2018-07-18 20:00:00-04:00,25.96,26.73,25.92,26.55,2847800
2018-07-19 20:00:00-04:00,26.49,26.53,26.02,26.05,1381200
2018-07-22 20:00:00-04:00,25.95,26.05,25.52,25.58,2623600
2018-07-23 20:00:00-04:00,25.79,25.79,24.98,25.14,3788400
2018-07-24 20:00:00-04:00,25.12,25.49,24.91,25.47,1883600
2018-07-25 20:00:00-04:00,25.34,25.71,25.28,25.39,2730000
2018-07-26 20:00:00-04:00,25.40,25.47,24.56,24.61,2469000
2018-07-29 20:00:00-04:00,24.67,25.08,24.57,24.88,2513800
2018-07-30 20:00:00-04:00,24.90,25.06,24.51,24.75,2174600
2018-07-31 20:00:00-04:00,24.63,24.76,23.94,23.97,3997600
2018-08-01 20:00:00-04:00,23.90,24.70,23.80,24.41,2427400
2018-08-02 20:00:00-04:00,24.45,24.66,24.18,24.49,1913800
2018-08-05 20:00:00-04:00,24.50,24.57,24.35,24.51,1255400
2018-08-06 20:00:00-04:00,24.51,24.84,24.44,24.81,1823400
2018-08-07 20:00:00-04:00,24.81,25.22,24.76,25.05,2918600
2018-08-08 20:00:00-04:00,25.09,25.41,25.02,25.17,2494800
2018-08-09 20:00:00-04:00,24.96,25.09,24.46,24.64,4042000
2018-08-12 20:00:00-04:00,24.76,24.94,24.47,24.53,3458800
2018-08-13 20:00:00-04:00,24.62,25.34,24.57,25.23,3710600
2018-08-14 20:00:00-04:00,25.08,25.11,24.32,24.88,4261000
2018-08-15 20:00:00-04:00,25.04,25.17,24.35,24.51,3282200
2018-08-16 20:00:00-04:00,24.56,25.14,24.56,25.10,2744200
2018-08-19 20:00:00-04:00,25.14,25.56,25.09,25.39,3689600
2018-08-20 20:00:00-04:00,25.43,25.61,24.59,25.50,4840000
2018-08-21 20:00:00-04:00,25.58,26.62,25.57,26.49,12573200
2018-08-22 20:00:00-04:00,28.68,30.98,28.66,30.86,32088800
2018-08-23 20:00:00-04:00,30.87,31.31,29.96,30.19,11298000
2018-08-26 20:00:00-04:00,30.38,30.44,28.94,29.12,6551800
2018-08-27 20:00:00-04:00,29.01,29.25,28.48,29.03,4662200
2018-08-28 20:00:00-04:00,29.05,29.05,28.59,28.84,3553600
2018-08-29 20:00:00-04:00,28.73,29.05,28.64,28.89,2798000
2018-08-30 20:00:00-04:00,28.94,29.76,28.92,29.71,3677200
2018-09-03 20:00:00-04:00,29.53,30.64,29.53,30.59,4640600
2018-09-04 20:00:00-04:00,30.46,30.57,29.86,30.20,3793600
2018-09-05 20:00:00-04:00,30.24,30.46,29.90,30.01,2500800
2018-09-06 20:00:00-04:00,29.77,30.67,29.38,29.59,3520000
2018-09-09 20:00:00-04:00,29.75,29.99,29.22,29.38,2926400
2018-09-10 20:00:00-04:00,29.44,29.66,29.00,29.03,2647600
2018-09-11 20:00:00-04:00,29.10,29.53,29.10,29.43,2520600
2018-09-12 20:00:00-04:00,29.49,29.56,28.50,28.69,3275000
2018-09-13 20:00:00-04:00,28.64,28.98,28.36,28.72,2534600
2018-09-16 20:00:00-04:00,28.77,29.00,28.14,28.26,4266600
2018-09-17 20:00:00-04:00,28.11,28.61,27.88,28.50,2000600
2018-09-18 20:00:00-04:00,28.52,28.59,27.85,28.25,3181000
2018-09-19 20:00:00-04:00,28.25,28.25,27.89,28.13,2543600
2018-09-20 20:00:00-04:00,28.29,28.50,27.84,27.93,4409000
2018-09-23 20:00:00-04:00,27.93,28.05,27.23,27.72,2401200
2018-09-24 20:00:00-04:00,27.80,27.85,27.49,27.71,3091200
2018-09-25 20:00:00-04:00,27.87,28.23,27.74,27.90,1969000
2018-09-26 20:00:00-04:00,27.72,28.05,27.39,27.70,2667400
2018-09-27 20:00:00-04:00,27.70,28.21,27.66,27.81,2608200
2018-09-30 20:00:00-04:00,27.82,27.92,27.43,27.51,2755000
2018-10-01 20:00:00-04:00,27.40,27.91,26.64,26.69,3878600
2018-10-02 20:00:00-04:00,26.87,27.01,26.48,26.71,2008200
2018-10-03 20:00:00-04:00,26.71,26.78,26.10,26.28,2997400
2018-10-04 20:00:00-04:00,26.38,26.69,25.93,26.50,2461200
2018-10-07 20:00:00-04:00,26.35,26.89,26.34,26.75,2502000
2018-10-08 20:00:00-04:00,26.72,27.04,25.83,26.05,2241200
2018-10-09 20:00:00-04:00,25.98,26.19,25.44,25.62,4061800
2018-10-10 20:00:00-04:00,25.57,26.13,25.40,25.65,3042000
2018-10-11 20:00:00-04:00,26.06,26.09,25.44,25.76,2179400
2018-10-14 20:00:00-04:00,25.75,26.05,25.58,25.92,1498000
2018-10-15 20:00:00-04:00,26.08,26.56,25.82,26.49,2122600
2018-10-16 20:00:00-04:00,26.47,26.48,25.64,25.98,2884600
2018-10-17 20:00:00-04:00,25.72,26.10,25.30,25.45,2183600
2018-10-18 20:00:00-04:00,25.66,25.70,24.84,24.89,4534800
2018-10-21 20:00:00-04:00,24.68,25.21,24.68,24.76,2597200
2018-10-22 20:00:00-04:00,24.51,24.85,24.11,24.73,2137000
2018-10-23 20:00:00-04:00,24.66,25.01,23.71,23.76,3859400
2018-10-24 20:00:00-04:00,23.59,24.44,23.56,24.25,3637600
2018-10-25 20:00:00-04:00,24.04,24.38,23.63,24.26,2070600
2018-10-28 20:00:00-04:00,24.55,24.76,23.80,24.15,2837200
2018-10-29 20:00:00-04:00,24.26,25.59,24.24,25.51,5259200
2018-10-30 20:00:00-04:00,25.70,26.17,25.20,25.32,2910200
2018-10-31 20:00:00-04:00,25.26,26.22,24.64,26.11,4144400
2018-11-01 20:00:00-04:00,26.37,27.26,26.35,26.92,4995000
2018-11-04 19:00:00-05:00,26.93,27.23,25.98,26.71,3433400
2018-11-05 19:00:00-05:00,26.69,27.19,26.58,27.16,2392600
2018-11-06 19:00:00-05:00,27.40,27.48,26.24,26.75,3388600
2018-11-07 19:00:00-05:00,26.72,27.51,26.66,27.31,2417200
2018-11-08 19:00:00-05:00,27.16,27.56,26.83,27.29,2972800
2018-11-11 19:00:00-05:00,27.21,27.65,26.93,27.40,5001600
2018-11-12 19:00:00-05:00,27.45,27.98,27.16,27.71,5469000
2018-11-13 19:00:00-05:00,27.85,28.17,26.05,26.34,7261400
2018-11-14 19:00:00-05:00,26.05,26.16,25.12,25.82,8608000
2018-11-15 19:00:00-05:00,22.90,23.45,22.11,22.92,23045000
2018-11-18 19:00:00-05:00,22.82,23.19,22.39,22.48,5705200
2018-11-19 19:00:00-05:00,21.84,22.31,21.66,21.86,4497600
2018-11-20 19:00:00-05:00,21.87,22.74,21.87,22.44,2403200
2018-11-22 19:00:00-05:00,22.32,23.04,22.28,22.80,1546000
2018-11-25 19:00:00-05:00,22.96,23.62,22.93,23.57,3380400
2018-11-26 19:00:00-05:00,23.30,23.82,23.09,23.58,4226000
2018-11-27 19:00:00-05:00,23.64,24.31,23.40,24.29,4436800
2018-11-28 19:00:00-05:00,24.09,24.24,23.21,23.84,3275800
2018-11-29 19:00:00-05:00,23.67,24.24,23.39,24.15,3476200
2018-12-02 19:00:00-05:00,24.66,25.74,24.15,25.05,5500400
2018-12-03 19:00:00-05:00,25.10,25.11,23.32,23.49,4027000
2018-12-05 19:00:00-05:00,23.05,23.68,22.60,23.66,2772400
2018-12-06 19:00:00-05:00,23.55,23.86,22.81,23.02,3450400
2018-12-09 19:00:00-05:00,23.04,23.39,22.29,22.70,3707200
2018-12-10 19:00:00-05:00,22.84,23.10,22.30,22.36,3592800
2018-12-11 19:00:00-05:00,22.55,22.95,22.19,22.67,3054200
2018-12-12 19:00:00-05:00,22.54,22.81,22.14,22.34,2974600
2018-12-13 19:00:00-05:00,22.17,22.63,22.12,22.25,2005400
2018-12-16 19:00:00-05:00,22.04,22.09,21.01,21.19,3826000
2018-12-17 19:00:00-05:00,21.36,21.62,21.15,21.34,3425000
2018-12-18 19:00:00-05:00,21.47,21.84,20.90,21.02,2675000
2018-12-19 19:00:00-05:00,20.92,21.10,20.27,20.40,3622600
2018-12-20 19:00:00-05:00,20.41,20.93,19.95,20.04,5245000
2018-12-23 19:00:00-05:00,19.95,20.01,19.19,19.42,3960000
2018-12-25 19:00:00-05:00,19.55,21.27,19.55,21.24,2758000
2018-12-26 19:00:00-05:00,20.97,21.38,20.31,21.24,2578800
2018-12-27 19:00:00-05:00,21.28,21.71,21.15,21.27,1967200
2018-12-30 19:00:00-05:00,21.36,21.53,21.13,21.51,1738800
2019-01-01 19:00:00-05:00,21.22,21.64,21.02,21.39,2865200
2019-01-02 19:00:00-05:00,21.18,21.89,20.97,21.25,2156000
2019-01-03 19:00:00-05:00,21.55,21.99,21.34,21.56,2063400
2019-01-06 19:00:00-05:00,21.57,22.50,21.57,22.13,1836000
2019-01-07 19:00:00-05:00,22.48,22.83,22.23,22.73,1997800
2019-01-08 19:00:00-05:00,22.69,23.22,22.54,22.83,2744000
2019-01-09 19:00:00-05:00,22.58,22.58,21.66,22.28,3938800
2019-01-10 19:00:00-05:00,22.12,22.54,22.00,22.52,2394000
2019-01-13 19:00:00-05:00,22.36,22.94,22.18,22.74,1679800
2019-01-14 19:00:00-05:00,22.72,23.24,22.55,23.07,2580800
2019-01-15 19:00:00-05:00,23.03,23.06,22.26,22.38,3345400
2019-01-16 19:00:00-05:00,22.24,23.07,22.23,22.59,3078600
2019-01-17 19:00:00-05:00,22.68,23.28,22.57,22.98,2612800
2019-01-21 19:00:00-05:00,22.84,22.91,22.16,22.39,2922400
2019-01-22 19:00:00-05:00,21.74,22.23,21.56,21.96,3698600
