Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,66.94,67.49,66.57,67.45,1599100
2018-07-02 20:00:00-04:00,67.55,67.80,67.16,67.22,968300
2018-07-04 20:00:00-04:00,67.45,67.50,66.82,67.13,1431000
2018-07-05 20:00:00-04:00,67.30,67.77,67.17,67.59,1392600
2018-07-08 20:00:00-04:00,67.81,68.60,67.74,68.37,1598400
2018-07-09 20:00:00-04:00,68.43,68.89,68.12,68.49,1232200
2018-07-10 20:00:00-04:00,67.92,68.38,67.76,68.04,1278000
2018-07-11 20:00:00-04:00,68.56,68.64,68.11,68.32,1176800
2018-07-12 20:00:00-04:00,68.19,68.42,67.83,68.34,936800
2018-07-15 20:00:00-04:00,68.18,68.38,67.79,67.93,762600
2018-07-16 20:00:00-04:00,67.94,68.11,67.72,67.98,770700
2018-07-17 20:00:00-04:00,68.19,68.75,68.11,68.64,1650900
2018-07-18 20:00:00-04:00,68.39,68.82,68.25,68.50,1585500
2018-07-19 20:00:00-04:00,68.29,68.89,68.15,68.49,1426700
2018-07-22 20:00:00-04:00,68.48,68.61,68.08,68.18,1019300
2018-07-23 20:00:00-04:00,68.21,68.52,67.32,67.57,1492100
2018-07-24 20:00:00-04:00,67.08,67.98,67.08,67.93,1286300
2018-07-25 20:00:00-04:00,67.93,69.61,67.81,68.18,2195100
2018-07-26 20:00:00-04:00,68.62,68.70,67.66,68.14,1376600
2018-07-29 20:00:00-04:00,68.17,68.19,67.60,68.00,1441200
2018-07-30 20:00:00-04:00,68.09,69.02,68.00,68.47,2030000
2018-07-31 20:00:00-04:00,68.18,68.76,67.62,68.63,2766100
2018-08-01 20:00:00-04:00,68.22,70.07,67.55,69.63,2732500
2018-08-02 20:00:00-04:00,69.86,70.90,69.66,70.69,2194000
2018-08-05 20:00:00-04:00,70.71,71.52,70.32,70.46,1749000
2018-08-06 20:00:00-04:00,70.44,70.80,69.78,70.23,2181900
2018-08-07 20:00:00-04:00,70.25,70.95,70.15,70.74,1531700
2018-08-08 20:00:00-04:00,70.91,71.73,70.91,71.44,1367000
2018-08-09 20:00:00-04:00,71.06,71.93,70.87,71.62,1915500
2018-08-12 20:00:00-04:00,71.65,71.97,70.82,71.14,1343300
2018-08-13 20:00:00-04:00,71.38,72.05,71.08,71.75,1727600
2018-08-14 20:00:00-04:00,71.53,71.92,70.93,71.56,1529100
2018-08-15 20:00:00-04:00,71.78,72.89,71.73,72.71,1722700
2018-08-16 20:00:00-04:00,72.83,72.95,72.58,72.68,1664700
2018-08-19 20:00:00-04:00,72.72,73.16,72.59,72.94,1739700
