,ic_mean,ic_std,ic_ir,n,ic_se,t_stat,p_value,family,ic_ir_annualized
amihud_illiq,0.007680735436066015,0.125547440645588,0.06117795310338675,1993,0.0028122518714347195,2.7311691083158753,0.006366647519697524,reversal,0.43432038183163535
intraday_position,0.008777328192935942,0.14299743363502485,0.06138101901421874,2002,0.0031959222603198064,2.746414799231575,0.006079004216172734,reversal,0.43576200678728716
median_reversion,0.009781519305071033,0.19087851905774636,0.05124473593653478,1984,0.004285349258223756,2.2825489162405863,0.02256239859799019,reversal,0.36380153551729416
min_ret_reversal,0.011979721181261338,0.23961679129810012,0.04999533261572526,1876,0.005532237691597422,2.1654386252160864,0.030479846312732636,reversal,0.3549316518446797
momentum_126d,0.0036203781162967904,0.22704058489779816,0.015945951328157897,1872,0.005247477374745809,0.6899273417967168,0.4903254444287545,momentum,0.1132050243297665
momentum_63d,-0.005332530442522863,0.21179943040946597,-0.025177265265603547,1935,0.004814867088077542,-1.107513529444488,0.2682096879849203,momentum,-0.178740852037888
price_volume_corr,0.01180285093017364,0.14827300973423144,0.07960215383318509,1885,0.0034151235974734335,3.4560538127831126,0.000560301707686897,momentum,0.5651192315804303
reversal_5d,0.014878318888371909,0.18898920819419457,0.07872575916125218,1998,0.00422804171498792,3.51896217949553,0.0004429345995711893,reversal,0.5588974466196641
short_reversal_1d,0.015201431972385717,0.18744602200119323,0.08109765046008258,2002,0.0041893263333033625,3.628610130354563,0.0002920970510937129,reversal,0.5757362044125286
stoch_reversal,0.01079212320011463,0.17531765142607889,0.061557539200010516,1996,0.003924147974456227,2.750182528886441,0.00600996797780699,reversal,0.43701517579025323
ts_rank_close,0.01435622765765912,0.17257845885373344,0.08318667203898575,1994,0.003864773168647829,3.7146365468796567,0.00020909563328786124,reversal,0.590566786407818
vwap_reversion,0.013925777568458836,0.19047207097971006,0.07311191345182713,1994,0.004265488023178296,3.264755988713919,0.0011141425359197856,reversal,0.5190430956913
weekly_range_reversal,0.012177160595345163,0.1646015350603359,0.07397962959993985,2002,0.00367876329392593,3.3101234361697274,0.0009491111391202834,reversal,0.5252032692448826
earnings_yield,0.015108176987226165,0.10485190871394483,0.14409062431513797,264,0.006453188887814179,2.3411955313683057,0.01996931316564531,value,1.0229419553339878
book_to_market,0.03329322671611117,0.09786887745702574,0.340181961632596,264,0.006023413023329452,5.527302641735214,7.825928608978665e-08,value,2.415052350947725
roe_ttm,-0.017507993715131235,0.06241124095563314,-0.2805262873650807,264,0.003841146351549639,-4.558012664127718,7.916304684928358e-06,value,-1.9915390767702565
gross_profitability,-0.027865000496424878,0.1121135754769607,-0.24854260849214577,264,0.0069001135822415235,-4.038339393157184,7.067699114500247e-05,value,-1.7644774816070719
asset_growth_penalty,-0.048750820873416346,0.10849315295170318,-0.4493446779550988,12,0.031319275530948536,-1.5565756246578122,0.14785668143759553,value,-3.1900307578722815
eps_momentum,-0.038927172807232145,0.049378370949317726,-0.7883446144302176,12,0.014254307879866894,-2.7309058521328673,0.019546664286408316,value,-5.596691562655287
