,group_1,group_2,group_3,group_4,group_5
amihud_illiq,0.002742426985975745,0.0028031265510151,0.0028591297367216045,0.0031304400596218673,0.004218344165942329
intraday_position,0.002799844887528149,0.002863063462325335,0.003052032158432694,0.0033370899770687854,0.003812355245861693
median_reversion,0.003003885486425037,0.002739380772394612,0.0029011295103969275,0.0031711201042364336,0.003968414274277842
min_ret_reversal,0.0026476431283260888,0.002755217893250858,0.0031861513406857642,0.003929658516501177,0.005250548843299764
momentum_126d,0.003966054176836019,0.003404669132129108,0.00333691845717152,0.003163023604216985,0.00354708243099787
momentum_63d,0.003980291675930715,0.0033818713551536663,0.002917161531147485,0.0029751774244835315,0.0030455566352277424
price_volume_corr,0.0028855529445056026,0.0036529123516955975,0.004104776987205783,0.003537097726060663,0.004057805756576274
reversal_5d,0.0026493360321432017,0.002680876624047974,0.0029171161696533556,0.0032214348045550923,0.0042909858372811825
short_reversal_1d,0.0025000974349889287,0.002724009307248124,0.0029363733169196393,0.0033554820898380306,0.004335865148292051
stoch_reversal,0.0024984181098171004,0.0028202983186360686,0.0031868172789578956,0.0035602904906394985,0.0036772590664662826
ts_rank_close,0.0023925853787359038,0.002670751813254106,0.0031963463134907994,0.003578707715489256,0.003911766663336575
vwap_reversion,0.0027583610421584915,0.002786061167479899,0.0027048748648010076,0.0033905246493561424,0.004108225934608841
weekly_range_reversal,0.002477479537981408,0.0028700917749813555,0.0031075479637140864,0.003424510669479846,0.003973454018393268
earnings_yield,0.003764517261134577,0.002379013721385571,0.0025208384597126135,0.002875774015432783,0.004546775055119439
book_to_market,0.0018948606497611485,0.003048184044287155,0.00256855553171749,0.003517885182027899,0.005064961542215782
roe_ttm,0.004074296581468451,0.0036127724305169777,0.0027676825607826218,0.002911972879288586,0.0027270880259982577
gross_profitability,0.003597415439286962,0.0048596887231343346,0.0035814809526872925,0.0015229555839085646,0.0021111187884804692
asset_growth_penalty,0.0015775087963498357,0.012025116012818277,0.007209562939326374,0.0026677635255010837,-0.0005133026275117658
eps_momentum,0.009169020197275026,0.0033507841908522774,0.005685052395992564,0.0024301680171269825,0.001811080487350945
