,ic_mean,ic_std,ic_count,ic_se,t_stat,ic_ir,ic_ir_annualized,p_value,ci_lower,ci_upper,alpha,is_significant,significance_label,abs_ic_mean,abs_t_stat,abs_ic_ir_annualized,ic_rank_score,t_rank_score,significance_score,selection_score,composite_weight
momentum_126d,0.034143519947737296,0.194858866298398,507,0.00865398607010503,3.945409626401549,0.17522179306663657,1.2439513290239919,9.091804509491722e-05,0.017141351020242425,0.051145688875232166,0.05,True,significant,0.034143519947737296,3.945409626401549,1.2439513290239919,1.0,0.9130434782608695,1.0,0.9608695652173912,0.011420856351071556
reversal_5d,0.023556544706756177,0.1617735271677107,633,0.0064299204445340055,3.6635826072749156,0.14561433578891492,1.0337592337083341,0.00026956947336668785,0.01092995140132069,0.03618313801219166,0.05,True,significant,0.023556544706756177,3.6635826072749156,1.0337592337083341,0.9130434782608695,0.8260869565217391,1.0,0.8826086956521738,0.009799455392619874
momentum_63d,0.02597553392287336,0.17616961826441932,570,0.007378933313230809,3.52022884883617,0.1474461611416206,1.046763903630708,0.0004656946122034517,0.011482261751248836,0.040468806094497885,0.05,True,significant,0.02597553392287336,3.52022884883617,1.046763903630708,0.9565217391304348,0.6956521739130435,1.0,0.8434782608695652,-0.050224399701390934
short_reversal_1d,0.023041535377076008,0.16489779031018842,637,0.006533488331583443,3.5266819511548295,0.13973222645211128,0.9920003999529996,0.0004510761763955453,0.010211718077920356,0.03587135267623166,0.05,True,significant,0.023041535377076008,3.5266819511548295,0.9920003999529996,0.8695652173913043,0.7391304347826086,1.0,0.8239130434782608,0.033039606611737736
price_volume_corr_penalty,-0.02143876525866931,0.12253608097524615,520,0.005373562623689757,-3.9896744041196976,-0.1749587965278587,-1.242084238816685,7.568128516814312e-05,-0.03199537262454465,-0.010882157892793965,0.05,True,significant,0.02143876525866931,3.9896744041196976,1.242084238816685,0.43478260869565216,0.9565217391304348,1.0,0.7260869565217392,-0.08236963768304473
vol_of_vol_penalty,-0.026544479688025806,0.16671925068515267,599,0.0068119639117945,-3.8967440273818332,-0.15921664462225027,-1.1303260468591814,0.0001085114580350867,-0.03992276058654935,-0.01316619878950226,0.05,True,significant,0.026544479688025806,3.8967440273818332,1.1303260468591814,0.34782608695652173,0.8695652173913043,1.0,0.6478260869565218,-0.07903846091914761
vwap_reversion,0.01750122683196249,0.16668420531087544,629,0.006646134501781318,2.6332941091203854,0.10499631203401495,0.7453998707093458,0.008664287071306025,0.004449889152738766,0.030552564511186216,0.05,True,significant,0.01750122683196249,2.6332941091203854,0.7453998707093458,0.8260869565217391,0.391304347826087,1.0,0.6478260869565218,0.0721004228733286
upside_volatility_penalty,-0.044097785232455014,0.24153843367046038,513,0.010664182362377787,-4.135130452009877,-0.1825704694790694,-1.2961217561713536,4.145458714131744e-05,-0.06504872441828312,-0.023146846046626906,0.05,True,significant,0.044097785232455014,4.135130452009877,1.2961217561713536,0.043478260869565216,1.0,1.0,0.5695652173913044,0.02348173934990688
min_ret_reversal,-0.03270607853539623,0.2081708567413098,511,0.009208936525481869,-3.5515586892032402,-0.15711170644812922,-1.1153824682472706,0.0004184560377379139,-0.05079819805125829,-0.014613959019534165,0.05,True,significant,0.03270607853539623,3.5515586892032402,1.1153824682472706,0.13043478260869565,0.782608695652174,1.0,0.5108695652173914,-0.18325825110563468
ts_rank_close,-0.02385870509726791,0.1834080122913741,519,0.008050718199711223,-2.9635498977126926,-0.13008540248156875,-0.9235147436371026,0.003181028351218208,-0.03967477731840831,-0.008042632876127515,0.05,True,significant,0.02385870509726791,2.9635498977126926,0.9235147436371026,0.391304347826087,0.4782608695652174,1.0,0.491304347826087,-0.20585788288445023
mad_ratio_penalty,-0.0271323159975741,0.18409945943847922,519,0.008081069360828952,-3.357515544798007,-0.14737857503943919,-1.0462840899034271,0.0008442856542790894,-0.04300801471964588,-0.011256617275502315,0.05,True,significant,0.0271323159975741,3.357515544798007,1.0462840899034271,0.30434782608695654,0.5652173913043478,1.0,0.4913043478260869,0.05717053932957126
max_ret_penalty,-0.02894166918918447,0.20689095510767663,628,0.008255847889320817,-3.505596224298339,-0.13988851844258607,-0.9931099630151295,0.00048808733493915465,-0.045154129294032216,-0.012729209084336727,0.05,True,significant,0.02894166918918447,3.505596224298339,0.9931099630151295,0.17391304347826086,0.6521739130434783,1.0,0.47173913043478266,-3.0664428465633094e-05
intraday_position,-0.013137886440141437,0.13053326932788314,637,0.005171916436435533,-2.5402356363661633,-0.10064780042504505,-0.7145285007696648,0.011314497553797312,-0.023293983703712495,-0.0029817891765703767,0.05,True,significant,0.013137886440141437,2.5402356363661633,0.7145285007696648,0.4782608695652174,0.34782608695652173,1.0,0.47173913043478266,-0.04751326887110344
median_reversion,-0.02773049146117269,0.19314011897972078,519,0.008477910269777013,-3.2709111772543045,-0.1435770652294375,-1.01929604750478,0.001143380344272617,-0.04438580565611629,-0.011075177266229096,0.05,True,significant,0.02773049146117269,3.2709111772543045,1.01929604750478,0.2608695652173913,0.5217391304347826,1.0,0.4521739130434783,0.07243962122456735
ivol_penalty,-0.035064142722828075,0.24705040698582995,579,0.010267064534144967,-3.4152062262992473,-0.14193112713568307,-1.007611046207947,0.0006820472105422459,-0.05522944517499582,-0.014898840270660331,0.05,True,significant,0.035064142722828075,3.4152062262992473,1.007611046207947,0.08695652173913043,0.6086956521739131,1.0,0.4130434782608696,0.07225519327395945
